% Arquivo utilizado para teste de utilização de arquivos arff, para o sistema de previsão de séries temporais.
@relation TimeSeriesData

@attribute date date  "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'12/12/2012', 5925.00, 5948.50, 5915.90, 5945.90, 629912400, 5945.90
'11/12/2012', 5921.60, 5937.90, 5908.30, 5925.00, 516458000, 5925.00
'10/12/2012', 5914.40, 5924.00, 5891.30, 5921.60, 463904000, 5921.60
'07/12/2012', 5901.40, 5923.10, 5889.90, 5914.40, 584102400, 5914.40
'06/12/2012', 5892.10, 5923.90, 5889.60, 5901.40, 637268600, 5901.40
'05/12/2012', 5869.00, 5902.70, 5869.00, 5892.10, 610548400, 5892.10
'04/12/2012', 5871.20, 5885.40, 5852.90, 5869.00, 598705000, 5869.00
'03/12/2012', 5866.80, 5902.00, 5859.60, 5871.20, 512099800, 5871.20
'30/11/2012', 5870.30, 5904.40, 5860.30, 5866.80, 699208800, 5866.80
'29/11/2012', 5803.30, 5884.00, 5803.30, 5870.30, 652938200, 5870.30
'28/11/2012', 5799.70, 5808.30, 5755.20, 5803.30, 610194800, 5803.30
'27/11/2012', 5786.70, 5823.20, 5786.70, 5799.70, 659091000, 5799.70
'26/11/2012', 5819.10, 5819.10, 5773.90, 5786.70, 601954400, 5786.70
'23/11/2012', 5791.00, 5830.50, 5781.40, 5819.10, 427505000, 5819.10
'22/11/2012', 5752.00, 5796.50, 5752.00, 5791.00, 511821600, 5791.00
'21/11/2012', 5748.10, 5760.10, 5727.90, 5752.00, 640338800, 5752.00
'20/11/2012', 5737.70, 5751.80, 5706.70, 5748.10, 803636400, 5748.10
'19/11/2012', 5605.60, 5739.70, 5605.60, 5737.70, 748670800, 5737.70
'16/11/2012', 5677.80, 5682.70, 5605.60, 5605.60, 939484400, 5605.60
'15/11/2012', 5722.00, 5722.00, 5674.30, 5677.80, 800053200, 5677.80
'14/11/2012', 5786.30, 5786.30, 5719.60, 5722.00, 865457600, 5722.00
'13/11/2012', 5767.30, 5786.30, 5711.00, 5786.30, 950553800, 5786.30
'12/11/2012', 5769.70, 5795.30, 5762.00, 5767.30, 654357600, 5767.30
'09/11/2012', 5776.00, 5786.40, 5715.20, 5769.70, 708900000, 5769.70
'08/11/2012', 5791.60, 5824.40, 5770.70, 5776.00, 729478400, 5776.00
'07/11/2012', 5884.90, 5921.80, 5789.40, 5791.60, 922666000, 5791.60
'06/11/2012', 5839.10, 5885.20, 5839.10, 5884.90, 774892600, 5884.90
'05/11/2012', 5868.50, 5868.50, 5825.50, 5839.10, 568662200, 5839.10
'02/11/2012', 5861.90, 5890.10, 5844.30, 5868.50, 855128600, 5868.50
'01/11/2012', 5782.70, 5866.80, 5778.00, 5861.90, 1042673900, 5861.90
'31/10/2012', 5849.90, 5866.70, 5782.70, 5782.70, 874664200, 5782.70
'30/10/2012', 5795.10, 5852.20, 5794.90, 5849.90, 403992200, 5849.90
'29/10/2012', 5806.70, 5812.70, 5763.50, 5795.10, 432888800, 5795.10
'26/10/2012', 5805.00, 5817.90, 5753.30, 5806.70, 622849800, 5806.70
'25/10/2012', 5804.80, 5840.60, 5802.20, 5805.00, 654435200, 5805.00
'24/10/2012', 5797.90, 5823.20, 5776.60, 5804.80, 957930400, 5804.80
'23/10/2012', 5882.90, 5893.40, 5789.00, 5797.90, 654156800, 5797.90
'22/10/2012', 5896.10, 5911.00, 5869.90, 5882.90, 540570400, 5882.90
