@relation TimeSeriesData
@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'03/12/2012', 5866.80, 5948.50, 5852.90, 5945.90, 647863800, 5945.90
'01/11/2012', 5782.70, 5921.80, 5605.60, 5866.80, 766676200, 5866.80
'01/10/2012', 5742.10, 5928.30, 5738.60, 5782.70, 749381600, 5782.70
'03/09/2012', 5711.50, 5932.60, 5634.90, 5742.10, 864449300, 5742.10
'01/08/2012', 5635.30, 5876.20, 5633.00, 5711.50, 650225000, 5711.50
'02/07/2012', 5571.10, 5727.50, 5478.00, 5635.30, 698263900, 5635.30
'01/06/2012', 5320.90, 5623.90, 5229.80, 5571.10, 1024491900, 5571.10
'01/05/2012', 5737.80, 5819.90, 5253.90, 5320.90, 967574100, 5320.90
'02/04/2012', 5768.50, 5890.20, 5576.40, 5737.80, 963545000, 5737.80
'01/03/2012', 5871.50, 5989.10, 5726.50, 5768.50, 1009943900, 5768.50
'01/02/2012', 5681.60, 5964.00, 5680.70, 5871.50, 966777500, 5871.50
'03/01/2012', 5572.30, 5806.20, 5572.30, 5681.60, 989530200, 5681.60
'01/12/2011', 5505.40, 5631.90, 5328.70, 5572.30, 753211800, 5572.30
'01/11/2011', 5544.20, 5616.00, 5075.20, 5505.40, 1037997400, 5505.40
'03/10/2011', 5128.50, 5747.30, 4868.60, 5544.20, 907649300, 5544.20
'01/09/2011', 5394.50, 5449.70, 4928.10, 5128.50, 981980500, 5128.50
'01/08/2011', 5815.20, 5913.50, 4791.00, 5394.50, 1232405500, 5394.50
'01/07/2011', 5945.70, 6084.10, 5752.80, 5815.20, 858918500, 5815.20
'01/06/2011', 5990.00, 5995.20, 5644.40, 5945.70, 921906300, 5945.70
'03/05/2011', 6069.90, 6103.70, 5810.50, 5990.00, 942955800, 5990.00
'01/04/2011', 5908.80, 6091.80, 5858.30, 6069.90, 760782900, 6069.90
'01/03/2011', 5994.00, 6052.10, 5591.60, 5908.80, 904076700, 5908.80
'01/02/2011', 5862.90, 6105.80, 5861.00, 5994.00, 897500900, 5994.00
'04/01/2011', 5899.90, 6090.50, 5815.40, 5862.90, 939491400, 5862.90
'01/12/2010', 5528.30, 6021.50, 5528.30, 5899.90, 667441600, 5899.90
'01/11/2010', 5675.20, 5902.10, 5519.20, 5528.30, 940455100, 5528.30
'01/10/2010', 5548.60, 5794.30, 5547.50, 5675.20, 846543400, 5675.20
'01/09/2010', 5225.20, 5650.30, 5225.20, 5548.60, 860118500, 5548.60
'02/08/2010', 5258.00, 5418.60, 5070.90, 5225.20, 922769100, 5225.20
'01/07/2010', 4916.90, 5411.50, 4790.00, 5258.00, 989418400, 5258.00
'01/06/2010', 5188.40, 5331.50, 4898.50, 4916.90, 1167363700, 4916.90
'04/05/2010', 5553.30, 5566.00, 4898.50, 5188.40, 1682602400, 5188.40
'01/04/2010', 5679.60, 5833.70, 5533.60, 5553.30, 1082696100, 5553.30
'01/03/2010', 5354.50, 5742.80, 5354.50, 5679.60, 1137274200, 5679.60
'01/02/2010', 5188.50, 5395.50, 5033.00, 5354.50, 1360249000, 5354.50
'04/01/2010', 5412.90, 5600.50, 5145.70, 5188.50, 1185835600, 5188.50
'01/12/2009', 5190.70, 5445.20, 5175.70, 5412.90, 982503800, 5412.90
'02/11/2009', 5044.50, 5397.00, 4985.10, 5190.70, 1100711300, 5190.70
'01/10/2009', 5133.90, 5299.60, 4955.00, 5044.50, 1175992900, 5044.50
'01/09/2009', 4908.90, 5190.00, 4776.50, 5133.90, 1080214200, 5133.90
'03/08/2009', 4608.40, 4944.20, 4595.60, 4908.90, 1084924000, 4908.90
'01/07/2009', 4249.20, 4646.90, 4096.10, 4608.40, 1036404000, 4608.40
'01/06/2009', 4417.90, 4517.60, 4213.40, 4249.20, 1212136600, 4249.20
'01/05/2009', 4243.70, 4520.80, 4210.80, 4417.90, 1266231100, 4417.90
'01/04/2009', 3926.10, 4293.60, 3838.20, 4243.70, 1331381800, 4243.70
'02/03/2009', 3830.10, 3992.40, 3460.70, 3926.10, 1547110800, 3926.10
'02/02/2009', 4149.60, 4334.00, 3760.70, 3830.10, 1315004600, 3830.10
'02/01/2009', 4434.20, 4675.70, 3956.70, 4149.60, 1381094300, 4149.60
'01/12/2008', 4288.00, 4456.20, 3973.30, 4434.20, 967711700, 4434.20
'03/11/2008', 4377.30, 4639.50, 3734.10, 4288.00, 1386575900, 4288.00
'01/10/2008', 4902.50, 5052.00, 3665.20, 4377.30, 1788654400, 4377.30
'01/09/2008', 5636.60, 5646.50, 4671.00, 4902.50, 1628366000, 4902.50
'01/08/2008', 5411.90, 5649.10, 5299.70, 5636.60, 1230898300, 5636.60
'01/07/2008', 5625.90, 5625.90, 5071.10, 5411.90, 1735849400, 5411.90
'02/06/2008', 6053.50, 6074.50, 5470.90, 5625.90, 1542828100, 5625.90
'01/05/2008', 6087.30, 6377.00, 6041.10, 6053.50, 1248136200, 6053.50
'01/04/2008', 5702.10, 6134.50, 5670.40, 6087.30, 1201736300, 6087.30
'03/03/2008', 5884.30, 5884.30, 5414.40, 5702.10, 1663850600, 5702.10
'01/02/2008', 5879.80, 6104.50, 5681.50, 5884.30, 1453034900, 5884.30
'02/01/2008', 6456.90, 6534.70, 5338.70, 5879.80, 1649831500, 5879.80
'03/12/2007', 6432.50, 6610.90, 6251.80, 6456.90, 1043486400, 6456.90
'01/11/2007', 6721.60, 6723.70, 6026.90, 6432.50, 1552055200, 6432.50
'01/10/2007', 6466.80, 6751.70, 6413.40, 6721.60, 1876738600, 6721.60
'03/09/2007', 6303.30, 6512.40, 6123.10, 6466.80, 1893980400, 6466.80
'01/08/2007', 6360.10, 6406.30, 5821.70, 6303.30, 1812830100, 6303.30
'02/07/2007', 6607.90, 6754.10, 6186.20, 6360.10, 1846057500, 6360.10
'01/06/2007', 6621.40, 6751.30, 6451.40, 6607.90, 1982709100, 6607.90
'01/05/2007', 6449.20, 6675.00, 6395.50, 6621.40, 2005402100, 6621.40
'02/04/2007', 6308.00, 6516.20, 6293.90, 6449.20, 1733620500, 6449.20
'01/03/2007', 6171.50, 6355.30, 5989.60, 6308.00, 1937028700, 6308.00
'01/02/2007', 6203.10, 6451.40, 6166.20, 6171.50, 1763028400, 6171.50
'02/01/2007', 6220.80, 6335.10, 6130.20, 6203.10, 1774774900, 6203.10
'01/12/2006', 6048.80, 6271.40, 5985.20, 6220.80, 1366647500, 6220.80
'01/11/2006', 6129.20, 6256.80, 6011.80, 6048.80, 1690671800, 6048.80
'02/10/2006', 5960.80, 6244.60, 5897.30, 6129.20, 1661140200, 6129.20
'01/09/2006', 5906.10, 6002.90, 5774.50, 5960.80, 1593479500, 5960.80
'01/08/2006', 5928.30, 5949.80, 5752.60, 5906.10, 1416730100, 5906.10
'03/07/2006', 5833.40, 5982.50, 5654.60, 5928.30, 1403843000, 5928.30
'01/06/2006', 5723.80, 5865.70, 5467.40, 5833.40, 1709102100, 5833.40
'02/05/2006', 6023.10, 6133.50, 5510.50, 5723.80, 2008162400, 5723.80
'03/04/2006', 5964.60, 6137.10, 5964.60, 6023.10, 1801112900, 6023.10
'01/03/2006', 5791.50, 6047.00, 5783.90, 5964.60, 1991586200, 5964.60
