Date	Open	High	Low	Close	Volume	Adj Close
2012-12-03	5866.80	5948.50	5852.90	5945.90	647863800	5945.90
2012-11-01	5782.70	5921.80	5605.60	5866.80	766676200	5866.80
2012-10-01	5742.10	5928.30	5738.60	5782.70	749381600	5782.70
2012-09-03	5711.50	5932.60	5634.90	5742.10	864449300	5742.10
2012-08-01	5635.30	5876.20	5633.00	5711.50	650225000	5711.50
2012-07-02	5571.10	5727.50	5478.00	5635.30	698263900	5635.30
2012-06-01	5320.90	5623.90	5229.80	5571.10	1024491900	5571.10
2012-05-01	5737.80	5819.90	5253.90	5320.90	967574100	5320.90
2012-04-02	5768.50	5890.20	5576.40	5737.80	963545000	5737.80
2012-03-01	5871.50	5989.10	5726.50	5768.50	1009943900	5768.50
2012-02-01	5681.60	5964.00	5680.70	5871.50	966777500	5871.50
2012-01-03	5572.30	5806.20	5572.30	5681.60	989530200	5681.60
2011-12-01	5505.40	5631.90	5328.70	5572.30	753211800	5572.30
2011-11-01	5544.20	5616.00	5075.20	5505.40	1037997400	5505.40
2011-10-03	5128.50	5747.30	4868.60	5544.20	907649300	5544.20
2011-09-01	5394.50	5449.70	4928.10	5128.50	981980500	5128.50
2011-08-01	5815.20	5913.50	4791.00	5394.50	1232405500	5394.50
2011-07-01	5945.70	6084.10	5752.80	5815.20	858918500	5815.20
2011-06-01	5990.00	5995.20	5644.40	5945.70	921906300	5945.70
2011-05-03	6069.90	6103.70	5810.50	5990.00	942955800	5990.00
2011-04-01	5908.80	6091.80	5858.30	6069.90	760782900	6069.90
2011-03-01	5994.00	6052.10	5591.60	5908.80	904076700	5908.80
2011-02-01	5862.90	6105.80	5861.00	5994.00	897500900	5994.00
2011-01-04	5899.90	6090.50	5815.40	5862.90	939491400	5862.90
2010-12-01	5528.30	6021.50	5528.30	5899.90	667441600	5899.90
2010-11-01	5675.20	5902.10	5519.20	5528.30	940455100	5528.30
2010-10-01	5548.60	5794.30	5547.50	5675.20	846543400	5675.20
2010-09-01	5225.20	5650.30	5225.20	5548.60	860118500	5548.60
2010-08-02	5258.00	5418.60	5070.90	5225.20	922769100	5225.20
2010-07-01	4916.90	5411.50	4790.00	5258.00	989418400	5258.00
2010-06-01	5188.40	5331.50	4898.50	4916.90	1167363700	4916.90
2010-05-04	5553.30	5566.00	4898.50	5188.40	1682602400	5188.40
2010-04-01	5679.60	5833.70	5533.60	5553.30	1082696100	5553.30
2010-03-01	5354.50	5742.80	5354.50	5679.60	1137274200	5679.60
2010-02-01	5188.50	5395.50	5033.00	5354.50	1360249000	5354.50
2010-01-04	5412.90	5600.50	5145.70	5188.50	1185835600	5188.50
2009-12-01	5190.70	5445.20	5175.70	5412.90	982503800	5412.90
2009-11-02	5044.50	5397.00	4985.10	5190.70	1100711300	5190.70
2009-10-01	5133.90	5299.60	4955.00	5044.50	1175992900	5044.50
2009-09-01	4908.90	5190.00	4776.50	5133.90	1080214200	5133.90
2009-08-03	4608.40	4944.20	4595.60	4908.90	1084924000	4908.90
2009-07-01	4249.20	4646.90	4096.10	4608.40	1036404000	4608.40
2009-06-01	4417.90	4517.60	4213.40	4249.20	1212136600	4249.20
2009-05-01	4243.70	4520.80	4210.80	4417.90	1266231100	4417.90
2009-04-01	3926.10	4293.60	3838.20	4243.70	1331381800	4243.70
2009-03-02	3830.10	3992.40	3460.70	3926.10	1547110800	3926.10
2009-02-02	4149.60	4334.00	3760.70	3830.10	1315004600	3830.10
2009-01-02	4434.20	4675.70	3956.70	4149.60	1381094300	4149.60
2008-12-01	4288.00	4456.20	3973.30	4434.20	967711700	4434.20
2008-11-03	4377.30	4639.50	3734.10	4288.00	1386575900	4288.00
2008-10-01	4902.50	5052.00	3665.20	4377.30	1788654400	4377.30
2008-09-01	5636.60	5646.50	4671.00	4902.50	1628366000	4902.50
2008-08-01	5411.90	5649.10	5299.70	5636.60	1230898300	5636.60
2008-07-01	5625.90	5625.90	5071.10	5411.90	1735849400	5411.90
2008-06-02	6053.50	6074.50	5470.90	5625.90	1542828100	5625.90
2008-05-01	6087.30	6377.00	6041.10	6053.50	1248136200	6053.50
2008-04-01	5702.10	6134.50	5670.40	6087.30	1201736300	6087.30
2008-03-03	5884.30	5884.30	5414.40	5702.10	1663850600	5702.10
2008-02-01	5879.80	6104.50	5681.50	5884.30	1453034900	5884.30
2008-01-02	6456.90	6534.70	5338.70	5879.80	1649831500	5879.80
2007-12-03	6432.50	6610.90	6251.80	6456.90	1043486400	6456.90
2007-11-01	6721.60	6723.70	6026.90	6432.50	1552055200	6432.50
2007-10-01	6466.80	6751.70	6413.40	6721.60	1876738600	6721.60
2007-09-03	6303.30	6512.40	6123.10	6466.80	1893980400	6466.80
2007-08-01	6360.10	6406.30	5821.70	6303.30	1812830100	6303.30
2007-07-02	6607.90	6754.10	6186.20	6360.10	1846057500	6360.10
2007-06-01	6621.40	6751.30	6451.40	6607.90	1982709100	6607.90
2007-05-01	6449.20	6675.00	6395.50	6621.40	2005402100	6621.40
2007-04-02	6308.00	6516.20	6293.90	6449.20	1733620500	6449.20
2007-03-01	6171.50	6355.30	5989.60	6308.00	1937028700	6308.00
2007-02-01	6203.10	6451.40	6166.20	6171.50	1763028400	6171.50
2007-01-02	6220.80	6335.10	6130.20	6203.10	1774774900	6203.10
2006-12-01	6048.80	6271.40	5985.20	6220.80	1366647500	6220.80
2006-11-01	6129.20	6256.80	6011.80	6048.80	1690671800	6048.80
2006-10-02	5960.80	6244.60	5897.30	6129.20	1661140200	6129.20
2006-09-01	5906.10	6002.90	5774.50	5960.80	1593479500	5960.80
2006-08-01	5928.30	5949.80	5752.60	5906.10	1416730100	5906.10
2006-07-03	5833.40	5982.50	5654.60	5928.30	1403843000	5928.30
2006-06-01	5723.80	5865.70	5467.40	5833.40	1709102100	5833.40
2006-05-02	6023.10	6133.50	5510.50	5723.80	2008162400	5723.80
2006-04-03	5964.60	6137.10	5964.60	6023.10	1801112900	6023.10
2006-03-01	5791.50	6047.00	5783.90	5964.60	1991586200	5964.60
2006-02-01	5760.30	5893.30	5681.90	5791.50	1974727800	5791.50
2006-01-03	5618.80	5796.10	5618.80	5760.30	1966761500	5760.30
2005-12-01	5423.20	5647.20	5423.20	5618.80	1463333100	5618.80
2005-11-01	5317.30	5554.90	5304.90	5423.20	1868493800	5423.20
2005-10-03	5477.70	5515.00	5130.90	5317.30	1739025000	5317.30
2005-09-01	5296.90	5508.40	5296.90	5477.70	1553471300	5477.70
2005-08-01	5282.30	5386.40	5228.10	5296.90	1359418800	5296.90
2005-07-01	5113.20	5308.60	5022.10	5282.30	1791884100	5282.30
2005-06-01	4964.00	5138.20	4964.00	5113.20	1585016100	5113.20
2005-05-03	4801.70	5004.30	4801.70	4964.00	1613726200	4964.00
2005-04-01	4894.40	4994.10	4773.70	4801.70	1626241100	4801.70
2005-03-01	4968.50	5042.00	4886.50	4894.40	1736076300	4894.40
2005-02-01	4852.30	5077.80	4852.30	4968.50	1740831400	4968.50
2005-01-04	4814.30	4879.50	4765.40	4852.30	1640281900	4852.30
2004-12-01	4703.20	4826.20	4675.00	4814.30	1362204300	4814.30
2004-11-01	4624.20	4823.80	4624.20	4703.20	1612545100	4703.20
2004-10-01	4570.80	4732.90	4551.60	4624.20	1624433400	4624.20
2004-09-01	4459.30	4630.70	4459.30	4570.80	1713718700	4570.80
2004-08-02	4413.10	4490.10	4283.00	4459.30	1435898900	4459.30
2004-07-01	4464.10	4487.90	4283.20	4413.10	1644811500	4413.10
2004-06-01	4430.70	4535.10	4400.70	4464.10	1616433300	4464.10
2004-05-04	4489.70	4573.70	4363.00	4430.70	1818252400	4430.70
2004-04-01	4385.70	4601.60	4385.10	4489.70	1718814500	4489.70
2004-03-01	4492.20	4566.20	4291.30	4385.70	1927805000	4385.70
2004-02-02	4390.70	4556.90	4357.40	4492.20	2115330500	4492.20
2004-01-02	4476.90	4531.40	4390.70	4390.70	2000761400	4390.70
2003-12-01	4342.60	4491.80	4312.50	4476.90	1439725600	4476.90
2003-11-03	4287.60	4423.60	4270.50	4342.60	1803765400	4342.60
2003-10-01	4091.30	4393.80	4091.30	4287.60	1839532000	4287.60
2003-09-01	4161.10	4329.60	4081.80	4091.30	1938065000	4091.30
2003-08-01	4157.00	4286.90	4044.90	4161.10	1567267900	4161.10
2003-07-01	4031.20	4183.00	3951.50	4157.00	1663719800	4157.00
2003-06-02	4048.10	4218.80	4021.60	4031.20	1717265600	4031.20
2003-05-01	3926.00	4096.00	3875.30	4048.10	1673469100	4048.10
2003-04-01	3613.30	3997.30	3612.30	3926.00	1549148500	3926.00
2003-03-03	3655.60	3881.70	3277.50	3613.30	1790568500	3613.30
2003-02-03	3567.40	3747.00	3535.10	3655.60	1744394900	3655.60
2003-01-02	3940.40	4027.60	3391.50	3567.40	1788060800	3567.40
2002-12-02	4169.40	4218.60	3803.40	3940.40	1201496400	3940.40
2002-11-01	4039.70	4224.80	3953.30	4169.40	000	4169.40
2002-10-01	3721.80	4197.50	3663.40	4039.70	000	4039.70
2002-09-02	4227.30	4246.40	3609.90	3721.80	000	3721.80
2002-08-01	4246.20	4466.40	3900.70	4227.30	000	4227.30
2002-07-01	4656.40	4708.70	3625.90	4246.20	000	4246.20
2002-06-05	5085.10	5085.10	4442.90	4656.40	000	4656.40
2002-05-01	5165.60	5282.20	5016.90	5085.10	000	5085.10
2002-04-02	5271.80	5292.30	5116.00	5165.60	000	5165.60
2002-03-01	5101.00	5331.60	5101.00	5271.80	000	5271.80
2002-02-01	5164.80	5238.00	5015.50	5101.00	000	5101.00
2002-01-02	5217.40	5362.30	5052.80	5164.80	000	5164.80
2001-12-03	5203.60	5411.20	5032.30	5217.40	000	5217.40
2001-11-01	5039.70	5383.20	4988.30	5203.60	000	5203.60
2001-10-01	4903.40	5279.80	4730.70	5039.70	000	5039.70
2001-09-03	5345.00	5379.60	4219.80	4903.40	000	4903.40
2001-08-01	5529.10	5644.20	5286.70	5345.00	000	5345.00
2001-07-02	5642.50	5726.10	5260.50	5529.10	000	5529.10
2001-06-01	5796.10	5981.80	5519.60	5642.50	000	5642.50
2001-05-01	5966.90	5993.70	5690.50	5796.10	000	5796.10
2001-04-02	5633.70	5995.40	5354.30	5966.90	000	5966.90
2001-03-01	5917.90	6050.40	5279.60	5633.70	000	5633.70
2001-02-01	6297.50	6309.90	5901.70	5917.90	000	5917.90
2001-01-02	6222.50	6360.30	6029.30	6297.50	000	6297.50
2000-12-01	6142.20	6421.50	6083.70	6222.50	000	6222.50
2000-11-01	6438.40	6514.70	6070.00	6142.20	000	6142.20
2000-10-02	6294.20	6475.80	6017.20	6438.40	000	6438.40
