Date	Open	High	Low	Close	Volume	Adj Close
2012-12-10	5914.40	5948.50	5891.30	5945.90	536758100	5945.90
2012-12-03	5866.80	5923.90	5852.90	5914.40	588544800	5914.40
2012-11-26	5819.10	5904.40	5755.20	5866.80	644677400	5866.80
2012-11-19	5605.60	5830.50	5605.60	5819.10	626394500	5819.10
2012-11-12	5769.70	5795.30	5605.60	5605.60	841981300	5605.60
2012-11-05	5868.50	5921.80	5715.20	5769.70	740919800	5769.70
2012-10-29	5806.70	5890.10	5763.50	5868.50	721869500	5868.50
2012-10-22	5896.10	5911.00	5753.30	5806.70	685988500	5806.70
2012-10-15	5793.30	5928.30	5786.00	5896.10	837313200	5896.10
2012-10-08	5871.00	5871.00	5766.70	5793.30	666110400	5793.30
2012-10-01	5742.10	5885.60	5738.60	5871.00	740501600	5871.00
2012-09-24	5852.60	5869.20	5740.50	5742.10	691278400	5742.10
2012-09-17	5915.50	5915.70	5824.40	5852.60	812399500	5852.60
2012-09-10	5794.80	5932.60	5757.60	5915.50	976984700	5915.50
2012-09-03	5711.50	5807.60	5634.90	5794.80	828040900	5794.80
2012-08-28	5776.60	5779.50	5705.60	5711.50	595001900	5711.50
2012-08-20	5852.40	5872.60	5739.40	5776.60	571290000	5776.60
2012-08-13	5847.10	5876.20	5811.30	5852.40	583850700	5852.40
2012-08-06	5787.30	5860.20	5767.10	5847.10	637924400	5847.10
2012-07-30	5627.20	5794.00	5625.70	5787.30	680635200	5787.30
2012-07-23	5651.80	5651.80	5478.00	5627.20	682934400	5627.20
2012-07-16	5666.10	5718.60	5621.20	5651.80	703694500	5651.80
2012-07-09	5662.60	5688.70	5588.80	5666.10	635515600	5666.10
2012-07-02	5571.10	5727.50	5571.10	5662.60	662013600	5662.60
2012-06-25	5513.70	5619.60	5435.50	5571.10	823234900	5571.10
2012-06-18	5478.80	5623.90	5461.10	5513.70	813097000	5513.70
2012-06-11	5435.10	5536.30	5414.60	5478.80	1214540700	5478.80
2012-06-06	5260.20	5494.50	5260.20	5435.10	1031025000	5435.10
2012-05-28	5351.50	5413.80	5229.80	5260.20	915264600	5260.20
2012-05-21	5267.60	5408.60	5253.90	5351.50	863488000	5351.50
2012-05-14	5575.50	5575.60	5256.60	5267.60	982454800	5267.60
2012-05-08	5655.10	5668.10	5464.40	5575.50	919993600	5575.50
2012-04-30	5777.10	5819.90	5639.80	5655.10	845073100	5655.10
2012-04-23	5772.10	5789.00	5637.70	5777.10	827687300	5777.10
2012-04-16	5651.80	5792.10	5641.10	5772.10	928590100	5772.10
2012-04-10	5723.70	5727.90	5576.40	5651.80	1022561800	5651.80
2012-04-02	5768.50	5890.20	5663.30	5723.70	966446900	5723.70
