% Arquivo utilizado para teste de utilização de arquivos arff, para o sistema de previsão de séries temporais.
@relation TimeSeriesData

@attribute date Date  "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'28/12/2012', 60416.00, 61066.00, 60416.00, 60952.00, 2626000, 60952.00
'27/12/2012', 60964.00, 61191.00, 60233.00, 60416.00, 2852600, 60416.00
'26/12/2012', 61003.00, 61322.00, 60861.00, 60960.00, 2598000, 60960.00
'21/12/2012', 61271.00, 61271.00, 60221.00, 61007.00, 3157400, 61007.00
'20/12/2012', 60992.00, 61276.00, 60622.00, 61276.00, 3083400, 61276.00
'19/12/2012', 60461.00, 61212.00, 60396.00, 60998.00, 4427600, 60998.00
'18/12/2012', 59568.00, 60539.00, 59565.00, 60461.00, 4364800, 60461.00
'17/12/2012', 59604.00, 59914.00, 59323.00, 59567.00, 3114400, 59567.00
'14/12/2012', 59320.00, 59824.00, 59273.00, 59605.00, 3405800, 59605.00
'13/12/2012', 59459.00, 59969.00, 59154.00, 59317.00, 3569400, 59317.00
'12/12/2012', 59626.00, 59859.00, 59291.00, 59474.00, 4749600, 59474.00
'11/12/2012', 59257.00, 59747.00, 58951.00, 59623.00, 3988600, 59623.00
'10/12/2012', 58468.00, 59248.00, 58091.00, 59248.00, 3061800, 59248.00
'07/12/2012', 57656.00, 58594.00, 57636.00, 58487.00, 3042400, 58487.00
'06/12/2012', 57685.00, 57860.00, 57129.00, 57656.00, 3203200, 57656.00
'05/12/2012', 57597.00, 58127.00, 57231.00, 57679.00, 3582400, 57679.00
'04/12/2012', 58212.00, 58520.00, 57547.00, 57563.00, 3937200, 57563.00
'03/12/2012', 57479.00, 58332.00, 57479.00, 58202.00, 3485800, 58202.00
'30/11/2012', 57845.00, 58031.00, 56704.00, 57475.00, 5047000, 57475.00
'29/11/2012', 56562.00, 57853.00, 56562.00, 57853.00, 3401400, 57853.00
'28/11/2012', 56206.00, 56591.00, 55686.00, 56539.00, 3465400, 56539.00
'27/11/2012', 56737.00, 57420.00, 56248.00, 56248.00, 3554200, 56248.00
'26/11/2012', 57571.00, 57572.00, 56502.00, 56737.00, 2752800, 56737.00
'23/11/2012', 56439.00, 57574.00, 56248.00, 57574.00, 3182000, 57574.00
'22/11/2012', 56245.00, 56643.00, 56242.00, 56437.00, 2146200, 56437.00
'21/11/2012', 56453.00, 56789.00, 55946.00, 56242.00, 3592200, 56242.00
'19/11/2012', 55387.00, 56666.00, 55387.00, 56451.00, 2782800, 56451.00
'16/11/2012', 56277.00, 56277.00, 55126.00, 55402.00, 3471800, 55402.00
'14/11/2012', 57472.00, 57472.00, 56038.00, 56279.00, 3606400, 56279.00
'13/11/2012', 57049.00, 57529.00, 56593.00, 57486.00, 3363400, 57486.00
'12/11/2012', 57358.00, 57712.00, 56988.00, 57064.00, 2071200, 57064.00
'09/11/2012', 57517.00, 58109.00, 56862.00, 57358.00, 4250400, 57358.00
'08/11/2012', 58523.00, 59008.00, 57420.00, 57524.00, 3201000, 57524.00
'07/11/2012', 59460.00, 59460.00, 58274.00, 58517.00, 3084000, 58517.00
'06/11/2012', 58220.00, 59561.00, 58174.00, 59459.00, 3470000, 59459.00
'05/11/2012', 58374.00, 58374.00, 57551.00, 58210.00, 2617200, 58210.00
'01/11/2012', 57065.00, 58383.00, 56960.00, 58383.00, 2980200, 58383.00
'31/10/2012', 57682.00, 57935.00, 56929.00, 57068.00, 2794200, 57068.00
'30/10/2012', 57178.00, 57764.00, 57178.00, 57684.00, 1606000, 57684.00
'29/10/2012', 57267.00, 57267.00, 56581.00, 57177.00, 1709800, 57177.00
'26/10/2012', 57833.00, 57833.00, 57061.00, 57277.00, 2999400, 57277.00
'25/10/2012', 57161.00, 58274.00, 57161.00, 57837.00, 0, 57837.00
'24/10/2012', 57686.00, 57986.00, 57159.00, 57161.00, 2934800, 57161.00
'23/10/2012', 58679.00, 58679.00, 57388.00, 57690.00, 3395600, 57690.00
'22/10/2012', 58925.00, 59205.00, 58541.00, 58700.00, 2803400, 58700.00
'19/10/2012', 59701.00, 59846.00, 58782.00, 58922.00, 3000200, 58922.00
'18/10/2012', 60087.00, 60087.00, 59322.00, 59734.00, 3321200, 59734.00
'17/10/2012', 59742.00, 60398.00, 59683.00, 60087.00, 4209400, 60087.00
'16/10/2012', 59602.00, 60412.00, 59484.00, 59744.00, 3251000, 59744.00
'15/10/2012', 59164.00, 59758.00, 58790.00, 59602.00, 3119200, 59602.00
'11/10/2012', 58460.00, 59360.00, 58460.00, 59162.00, 2817800, 59162.00
'10/10/2012', 58944.00, 59320.00, 58341.00, 58456.00, 2781600, 58456.00
'09/10/2012', 59319.00, 59697.00, 58616.00, 58939.00, 3146400, 58939.00
'08/10/2012', 58572.00, 59318.00, 58170.00, 59317.00, 2596200, 59317.00
'05/10/2012', 58460.00, 59441.00, 58414.00, 58572.00, 3244200, 58572.00
'04/10/2012', 58627.00, 59002.00, 58105.00, 58458.00, 3365200, 58458.00
'03/10/2012', 59222.00, 59483.00, 58542.00, 58627.00, 3195600, 58627.00
'02/10/2012', 59575.00, 60091.00, 59028.00, 59222.00, 3198400, 59222.00
'01/10/2012', 59171.00, 60216.00, 59171.00, 59571.00, 2759600, 59571.00
'28/09/2012', 60240.00, 60240.00, 58864.00, 59176.00, 3690000, 59176.00
'27/09/2012', 60483.00, 60889.00, 59876.00, 60240.00, 3811000, 60240.00
'26/09/2012', 60506.00, 60506.00, 59725.00, 60478.00, 3139400, 60478.00
'25/09/2012', 61913.00, 61947.00, 60357.00, 60501.00, 3873600, 60501.00
'24/09/2012', 61319.00, 61932.00, 61075.00, 61910.00, 3329800, 61910.00
'21/09/2012', 61695.00, 62223.00, 61300.00, 61320.00, 2985400, 61320.00
'20/09/2012', 61652.00, 61908.00, 60961.00, 61688.00, 2923200, 61688.00
'19/09/2012', 61806.00, 62514.00, 61519.00, 61652.00, 3391000, 61652.00
'18/09/2012', 61806.00, 62132.00, 61447.00, 61804.00, 3202000, 61804.00
'17/09/2012', 62106.00, 62692.00, 61552.00, 61806.00, 3903000, 61806.00
'14/09/2012', 61955.00, 63428.00, 61823.00, 62105.00, 5816200, 62105.00
'13/09/2012', 59921.00, 62117.00, 59629.00, 61958.00, 5974600, 61958.00
'12/09/2012', 59429.00, 60136.00, 59205.00, 59922.00, 4849800, 59922.00
'11/09/2012', 58405.00, 59515.00, 58404.00, 59423.00, 3854800, 59423.00
'10/09/2012', 58325.00, 59421.00, 58325.00, 58404.00, 3513600, 58404.00
'06/09/2012', 56868.00, 58328.00, 56868.00, 58321.00, 3620600, 58321.00
'05/09/2012', 56236.00, 56904.00, 56236.00, 56864.00, 3313000, 56864.00
'04/09/2012', 57272.00, 57272.00, 56203.00, 56234.00, 3236000, 56234.00
'03/09/2012', 57065.00, 57457.00, 56954.00, 57281.00, 2317000, 57281.00
'31/08/2012', 57257.00, 57835.00, 56719.00, 57061.00, 5747200, 57061.00
'30/08/2012', 57366.00, 57508.00, 56901.00, 57256.00, 3132600, 57256.00
'29/08/2012', 58414.00, 58553.00, 57061.00, 57369.00, 4106200, 57369.00
'28/08/2012', 58109.00, 58745.00, 57976.00, 58406.00, 2728200, 58406.00
'27/08/2012', 58424.00, 58462.00, 57853.00, 58111.00, 2344200, 58111.00
'24/08/2012', 58511.00, 58750.00, 57833.00, 58426.00, 3212600, 58426.00
'23/08/2012', 59382.00, 59382.00, 58145.00, 58512.00, 3342000, 58512.00
'22/08/2012', 58918.00, 59585.00, 58443.00, 59381.00, 3708800, 59381.00
'21/08/2012', 59298.00, 60209.00, 58684.00, 58918.00, 3926400, 58918.00
'20/08/2012', 59083.00, 59462.00, 58629.00, 59283.00, 3001200, 59283.00
'17/08/2012', 59443.00, 59822.00, 58944.00, 59082.00, 2954200, 59082.00
'16/08/2012', 58190.00, 59544.00, 58190.00, 59446.00, 3477000, 59446.00
'15/08/2012', 58083.00, 58375.00, 57630.00, 58189.00, 4578200, 58189.00
'14/08/2012', 59123.00, 59605.00, 57904.00, 58083.00, 3533800, 58083.00
'13/08/2012', 59281.00, 59543.00, 58601.00, 59123.00, 2539200, 59123.00
'10/08/2012', 58774.00, 59365.00, 58128.00, 59281.00, 3080000, 59281.00
'09/08/2012', 58950.00, 59202.00, 58115.00, 58797.00, 2863000, 58797.00
'08/08/2012', 57723.00, 58964.00, 57603.00, 58951.00, 3233200, 58951.00
'07/08/2012', 58343.00, 59316.00, 57679.00, 57726.00, 3447200, 57726.00
'06/08/2012', 57255.00, 58996.00, 56893.00, 58345.00, 3613400, 58345.00
'03/08/2012', 55524.00, 57399.00, 55524.00, 57255.00, 3577400, 57255.00
'02/08/2012', 56289.00, 56289.00, 55239.00, 55520.00, 2838000, 55520.00
'01/08/2012', 56091.00, 56385.00, 55425.00, 55623.00, 598200, 55623.00
'31/07/2012', 57243.00, 57466.00, 56097.00, 56097.00, 692000, 56097.00
'30/07/2012', 56551.00, 57241.00, 56090.00, 57241.00, 2965600, 57241.00
'27/07/2012', 54024.00, 57046.00, 54024.00, 56553.00, 4674400, 56553.00
'26/07/2012', 52638.00, 54126.00, 52638.00, 54003.00, 3017600, 54003.00
'25/07/2012', 52658.00, 53233.00, 52346.00, 52608.00, 2216000, 52608.00
'24/07/2012', 53038.00, 53416.00, 52399.00, 52639.00, 2762600, 52639.00
