% Arquivo utilizado para teste de utilização de arquivos arff, para o sistema de previsão de séries temporais.
@relation TimeSeriesData

@attribute date Date  "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'03/12/2012', 2427.49, 2887.33, 2414.45, 2854.29, 0, 2854.29
'01/11/2012', 2331.42, 2425.38, 2234.86, 2419.30, 0, 2419.30
'01/10/2012', 2450.99, 2500.78, 2314.10, 2323.39, 0, 2323.39
'03/09/2012', 2408.49, 2586.59, 2358.81, 2451.73, 0, 2451.73
'01/08/2012', 2400.31, 2484.43, 2355.81, 2408.38, 0, 2408.38
'02/07/2012', 2348.84, 2527.48, 2309.25, 2400.31, 0, 2400.31
'01/06/2012', 2251.47, 2353.79, 2139.89, 2346.68, 0, 2346.68
'02/05/2012', 2258.82, 2389.55, 2118.07, 2256.74, 0, 2256.74
'03/04/2012', 2683.99, 2683.99, 2253.13, 2271.86, 0, 2271.86
'01/03/2012', 2648.86, 2771.35, 2626.04, 2683.99, 0, 2683.99
'01/02/2012', 2788.44, 2858.07, 2633.24, 2648.22, 0, 2648.22
'03/01/2012', 2482.92, 2976.83, 2482.92, 2787.17, 0, 2787.17
'01/12/2011', 2564.72, 2669.27, 2390.90, 2462.63, 0, 2462.63
'01/11/2011', 2894.74, 2894.74, 2405.00, 2562.85, 0, 2562.85
'03/10/2011', 2451.18, 3027.94, 2212.28, 2905.54, 0, 2905.54
'01/09/2011', 2963.38, 2966.75, 2438.97, 2463.63, 0, 2463.63
'01/08/2011', 3328.64, 3354.09, 2735.28, 2964.79, 0, 2964.79
'01/07/2011', 3360.62, 3503.04, 3256.91, 3321.85, 0, 3321.85
'01/06/2011', 3250.29, 3386.40, 3109.95, 3360.64, 0, 3360.64
'02/05/2011', 3407.59, 3428.46, 3232.44, 3250.91, 0, 3250.91
'01/04/2011', 3389.67, 3541.37, 3290.67, 3406.02, 900, 3406.02
'01/03/2011', 3456.17, 3492.03, 3166.53, 3388.03, 0, 3388.03
'01/02/2011', 3594.13, 3653.61, 3367.73, 3455.65, 0, 3455.65
'03/01/2011', 3523.82, 3700.90, 3497.84, 3593.13, 0, 3593.13
'01/12/2010', 3262.66, 3538.59, 3262.66, 3523.59, 0, 3523.59
'01/11/2010', 3011.76, 3380.81, 3011.76, 3261.49, 0, 3261.49
'01/10/2010', 2642.29, 3007.41, 2620.47, 3007.41, 0, 3007.41
'01/09/2010', 2360.29, 2665.86, 2360.29, 2643.42, 0, 2643.42
'02/08/2010', 2398.54, 2473.47, 2258.75, 2336.89, 0, 2336.89
'01/07/2010', 2185.92, 2407.38, 2158.03, 2394.16, 0, 2394.16
'01/06/2010', 2203.60, 2348.48, 2159.59, 2185.01, 0, 2185.01
'03/05/2010', 2398.82, 2419.18, 2060.18, 2203.60, 0, 2203.60
'05/04/2010', 2398.28, 2505.37, 2356.15, 2396.27, 0, 2396.27
'01/03/2010', 2224.50, 2449.95, 2224.50, 2373.71, 0, 2373.71
'01/02/2010', 2296.73, 2358.07, 2151.10, 2221.38, 0, 2221.38
'04/01/2010', 2329.81, 2411.40, 2247.57, 2298.55, 0, 2298.55
'01/12/2009', 2150.29, 2328.14, 2138.39, 2320.73, 0, 2320.73
'02/11/2009', 2114.65, 2299.52, 2110.02, 2147.25, 0, 2147.25
'01/10/2009', 2075.13, 2343.29, 1999.30, 2115.76, 0, 2115.76
'01/09/2009', 1784.05, 2092.37, 1731.48, 2075.14, 0, 2075.14
'03/08/2009', 1723.11, 1816.56, 1708.59, 1781.89, 0, 1781.89
'01/07/2009', 1608.12, 1739.53, 1446.00, 1719.87, 0, 1719.87
'01/06/2009', 1589.47, 1696.44, 1493.01, 1587.97, 0, 1587.97
'04/05/2009', 1276.38, 1607.76, 1275.25, 1587.21, 0, 1587.21
'01/04/2009', 1119.91, 1293.06, 1119.91, 1275.25, 0, 1275.25
'02/03/2009', 1016.42, 1173.01, 914.07, 1125.95, 0, 1125.95
'02/02/2009', 1070.41, 1166.50, 991.93, 1019.29, 0, 1019.29
'02/01/2009', 1083.76, 1215.52, 1026.50, 1077.09, 0, 1077.09
'01/12/2008', 993.99, 1161.56, 919.28, 1079.66, 0, 1079.66
'03/11/2008', 1014.60, 1138.79, 821.82, 993.99, 0, 993.99
'01/10/2008', 1595.47, 1609.90, 819.36, 1010.79, 0, 1010.79
'01/09/2008', 1777.35, 1793.89, 1433.32, 1598.17, 0, 1598.17
'01/08/2008', 1919.14, 1919.14, 1686.24, 1777.14, 0, 1777.14
'01/07/2008', 2108.00, 2108.00, 1865.61, 1919.82, 0, 1919.82
'02/06/2008', 2204.43, 2211.43, 2026.77, 2107.87, 0, 2107.87
'02/05/2008', 2102.26, 2257.25, 2083.03, 2205.72, 0, 2205.72
'01/04/2008', 2100.65, 2204.32, 2069.29, 2095.53, 0, 2095.53
'03/03/2008', 2162.20, 2188.60, 2010.31, 2103.72, 0, 2103.72
'01/02/2008', 2008.37, 2199.12, 1980.70, 2162.20, 0, 2162.20
'02/01/2008', 2162.18, 2163.98, 1861.12, 2007.27, 0, 2007.27
'03/12/2007', 2207.80, 2265.13, 2097.05, 2151.73, 0, 2151.73
'01/11/2007', 2350.39, 2351.69, 2159.28, 2207.16, 0, 2207.16
'01/10/2007', 2187.96, 2354.73, 2187.96, 2351.44, 0, 2351.44
'03/09/2007', 2062.08, 2198.25, 2002.03, 2187.97, 0, 2187.97
'01/08/2007', 2178.73, 2195.88, 1751.75, 2062.08, 0, 2062.08
'02/07/2007', 2195.64, 2303.43, 2132.69, 2180.25, 0, 2180.25
'01/06/2007', 2246.30, 2256.29, 2134.98, 2190.87, 0, 2190.87
'02/05/2007', 2154.51, 2247.80, 2097.72, 2243.03, 0, 2243.03
'03/04/2007', 2104.27, 2234.56, 2104.27, 2154.55, 0, 2154.55
'01/03/2007', 2067.72, 2102.80, 1905.92, 2102.78, 0, 2102.78
'01/02/2007', 2072.21, 2225.56, 2026.60, 2067.64, 0, 2067.64
'02/01/2007', 2087.85, 2148.21, 2010.24, 2070.64, 0, 2070.64
'01/12/2006', 1967.02, 2097.33, 1925.42, 2090.46, 0, 2090.46
'01/11/2006', 1781.97, 1972.42, 1781.97, 1967.02, 0, 1967.02
'02/10/2006', 1638.05, 1790.04, 1620.38, 1781.68, 0, 1781.68
'01/09/2006', 1663.58, 1682.86, 1580.86, 1637.27, 0, 1637.27
'01/08/2006', 1702.35, 1719.77, 1584.59, 1662.84, 0, 1662.84
'03/07/2006', 1722.24, 1730.77, 1587.76, 1701.58, 0, 1701.58
'01/06/2006', 1655.16, 1719.15, 1486.56, 1711.09, 0, 1711.09
'02/05/2006', 1911.26, 1921.61, 1537.53, 1653.72, 0, 1653.72
'03/04/2006', 1803.14, 1952.93, 1798.69, 1908.61, 0, 1908.61
'01/03/2006', 1714.05, 1850.62, 1714.05, 1800.58, 0, 1800.58
'01/02/2006', 1793.71, 1794.96, 1648.17, 1714.05, 0, 1714.05
'02/01/2006', 1545.14, 1793.97, 1542.62, 1793.97, 0, 1793.97
'01/12/2005', 1558.42, 1580.30, 1487.17, 1543.31, 0, 1543.31
'01/11/2005', 1609.41, 1690.40, 1516.36, 1554.67, 0, 1554.67
'03/10/2005', 1698.23, 1738.44, 1556.26, 1608.86, 0, 1608.86
'01/09/2005', 1588.17, 1725.81, 1581.17, 1694.83, 0, 1694.83
'01/08/2005', 1517.30, 1597.86, 1466.38, 1581.65, 0, 1581.65
'01/07/2005', 1366.56, 1521.65, 1340.09, 1507.59, 0, 1507.59
'01/06/2005', 1485.86, 1541.31, 1367.41, 1367.41, 0, 1367.41
'02/05/2005', 1349.09, 1498.66, 1349.09, 1485.55, 0, 1485.55
'01/04/2005', 1400.44, 1433.36, 1265.97, 1348.35, 0, 1348.35
'01/03/2005', 1558.62, 1613.86, 1325.09, 1400.42, 0, 1400.42
'01/02/2005', 1373.79, 1619.26, 1359.07, 1558.62, 0, 1558.62
'03/01/2005', 1376.01, 1390.30, 1298.37, 1373.79, 0, 1373.79
'01/12/2004', 1213.09, 1408.10, 1186.39, 1375.37, 0, 1375.37
'01/11/2004', 1287.73, 1339.64, 1156.66, 1213.09, 0, 1213.09
'01/10/2004', 1144.37, 1309.30, 1113.31, 1287.14, 0, 1287.14
'01/09/2004', 951.01, 1157.75, 948.98, 1142.50, 0, 1142.50
'02/08/2004', 963.44, 994.90, 924.11, 952.14, 0, 952.14
'01/07/2004', 945.89, 994.67, 927.79, 966.10, 0, 966.10
'01/06/2004', 954.50, 982.78, 853.33, 945.45, 0, 945.45
'03/05/2004', 1078.05, 1096.10, 828.34, 952.62, 0, 952.62
'01/04/2004', 1202.14, 1221.38, 1073.75, 1077.93, 0, 1077.93
'01/03/2004', 1183.14, 1294.06, 1129.43, 1201.66, 0, 1201.66
'02/02/2004', 1141.08, 1211.08, 997.28, 1183.14, 0, 1183.14
'02/01/2004', 1072.87, 1267.45, 1072.87, 1140.81, 0, 1140.81
'01/12/2003', 996.78, 1086.77, 969.16, 1071.95, 0, 1071.95
'03/11/2003', 929.89, 1005.71, 907.25, 996.56, 0, 996.56
'01/10/2003', 829.20, 958.70, 818.89, 929.89, 0, 929.89
'01/09/2003', 713.33, 828.56, 708.11, 827.69, 0, 827.69
'01/08/2003', 754.44, 759.07, 661.24, 713.33, 0, 713.33
'01/07/2003', 765.28, 776.69, 685.53, 755.34, 0, 755.34
'02/06/2003', 679.43, 815.77, 679.43, 765.61, 0, 765.61
'02/05/2003', 635.85, 687.43, 609.39, 678.31, 0, 678.31
