Date	Open	High	Low	Close	Volume	Adj Close
2012-12-26	2789.79	2869.76	2789.79	2854.29	000	2854.29
2012-12-17	2699.51	2887.33	2699.10	2786.40	000	2786.40
2012-12-10	2480.18	2700.58	2478.51	2696.98	000	2696.98
2012-12-03	2427.49	2489.59	2414.45	2480.03	000	2480.03
2012-11-27	2343.32	2425.38	2305.38	2419.30	000	2419.30
2012-11-19	2290.82	2339.92	2234.86	2339.92	000	2339.92
2012-11-12	2389.10	2395.30	2277.77	2283.09	000	2283.09
2012-11-05	2395.13	2405.85	2355.25	2390.05	000	2390.05
2012-10-29	2380.33	2395.13	2314.10	2395.13	000	2395.13
2012-10-22	2428.05	2457.16	2357.12	2380.33	000	2380.33
2012-10-15	2401.26	2475.58	2386.97	2428.05	000	2428.05
2012-10-09	2476.20	2476.20	2376.82	2400.13	000	2400.13
2012-10-01	2450.99	2500.78	2445.48	2485.76	000	2485.76
2012-09-25	2586.59	2586.59	2447.46	2451.73	000	2451.73
2012-09-17	2536.70	2540.33	2467.79	2531.75	000	2531.75
2012-09-10	2385.46	2576.01	2363.74	2543.86	000	2543.86
2012-09-03	2408.49	2423.62	2358.81	2381.96	000	2381.96
2012-08-27	2458.81	2473.94	2403.44	2408.38	000	2408.38
2012-08-21	2458.36	2467.73	2424.10	2458.81	000	2458.81
2012-08-13	2408.73	2484.43	2389.92	2459.95	000	2459.95
2012-08-06	2398.58	2483.74	2360.25	2410.85	000	2410.85
2012-07-30	2437.75	2440.37	2355.81	2396.78	000	2396.78
2012-07-23	2399.29	2444.12	2363.53	2435.96	000	2435.96
2012-07-16	2382.25	2527.48	2366.32	2459.41	000	2459.41
2012-07-10	2379.20	2381.38	2309.25	2381.38	000	2381.38
2012-07-02	2348.84	2430.07	2337.33	2383.69	000	2383.69
2012-06-25	2335.32	2353.18	2253.39	2346.68	000	2346.68
2012-06-18	2267.75	2353.79	2250.26	2341.49	000	2341.49
2012-06-11	2198.75	2273.02	2139.89	2273.02	000	2273.02
2012-06-04	2216.57	2244.65	2188.85	2198.48	000	2198.48
2012-05-28	2336.81	2377.34	2201.36	2215.18	000	2215.18
2012-05-21	2134.85	2340.26	2134.85	2340.26	000	2340.26
2012-05-14	2303.64	2303.64	2118.07	2134.85	000	2134.85
2012-05-07	2217.30	2389.55	2213.96	2304.61	000	2304.61
2012-05-02	2258.82	2258.82	2186.73	2215.34	000	2215.34
2012-04-23	2338.48	2338.48	2253.13	2271.86	000	2271.86
2012-04-16	2503.70	2510.60	2329.86	2338.48	000	2338.48
2012-04-09	2543.76	2570.11	2490.11	2502.08	000	2502.08
2012-04-03	2683.99	2683.99	2553.11	2557.46	000	2557.46
2012-03-26	2712.94	2719.54	2645.51	2683.99	000	2683.99
2012-03-19	2764.61	2771.35	2666.45	2711.87	000	2711.87
2012-03-12	2660.66	2766.22	2626.04	2765.22	000	2765.22
2012-03-05	2757.30	2767.62	2630.39	2665.20	000	2665.20
2012-02-28	2747.30	2759.93	2633.24	2757.30	000	2757.30
2012-02-22	2799.47	2858.07	2754.43	2762.61	000	2762.61
2012-02-13	2731.78	2811.91	2710.58	2798.83	000	2798.83
2012-02-06	2808.26	2809.52	2687.94	2721.89	000	2721.89
2012-01-30	2830.58	2853.93	2756.68	2810.57	000	2810.57
2012-01-23	2869.91	2976.83	2824.68	2831.58	000	2831.58
2012-01-16	2754.85	2897.11	2719.90	2867.59	000	2867.59
2012-01-09	2770.47	2857.10	2735.03	2753.52	000	2753.52
2012-01-03	2482.92	2777.11	2482.92	2769.75	000	2769.75
2011-12-27	2465.53	2469.32	2411.52	2462.63	000	2462.63
2011-12-19	2435.83	2471.28	2391.85	2466.70	000	2466.70
2011-12-12	2550.07	2550.07	2390.90	2433.40	000	2433.40
2011-12-05	2638.43	2669.27	2555.13	2558.11	000	2558.11
2011-11-29	2427.80	2644.48	2427.80	2629.63	000	2629.63
2011-11-21	2524.92	2524.92	2405.00	2426.00	000	2426.00
2011-11-14	2751.67	2751.67	2499.66	2528.04	000	2528.04
2011-11-07	2758.40	2806.41	2669.48	2751.67	000	2751.67
2011-10-31	3011.06	3011.06	2688.16	2761.36	000	2761.36
2011-10-24	2803.98	3027.94	2803.98	3015.22	000	3015.22
2011-10-17	2716.26	2831.62	2643.51	2797.53	000	2797.53
2011-10-11	2326.75	2717.05	2326.75	2717.05	000	2717.05
2011-10-03	2451.18	2452.66	2212.28	2325.95	000	2325.95
2011-09-26	2489.96	2587.52	2438.97	2463.63	000	2463.63
2011-09-19	2741.80	2754.20	2472.59	2482.63	000	2482.63
2011-09-12	2752.25	2786.08	2655.43	2750.33	000	2750.33
2011-09-05	2868.64	2879.42	2741.94	2753.22	000	2753.22
2011-08-29	2896.24	2988.10	2856.88	2872.11	000	2872.11
2011-08-23	2842.73	2931.88	2835.40	2883.89	000	2883.89
2011-08-15	2968.48	3022.39	2821.76	2825.38	000	2825.38
2011-08-08	3061.23	3061.23	2735.28	2966.99	000	2966.99
2011-08-01	3328.64	3354.09	2985.34	3067.61	000	3067.61
2011-07-25	3360.06	3372.12	3256.91	3321.85	000	3321.85
2011-07-18	3325.83	3370.93	3279.98	3356.35	000	3356.35
2011-07-11	3468.18	3468.18	3290.99	3326.57	000	3326.57
2011-07-04	3396.58	3503.04	3393.14	3470.74	000	3470.74
2011-06-27	3288.27	3400.88	3288.27	3396.00	000	3396.00
2011-06-21	3274.66	3336.07	3263.35	3287.62	000	3287.62
2011-06-13	3229.79	3276.29	3185.16	3269.28	000	3269.28
2011-06-06	3164.30	3233.86	3109.95	3227.77	000	3227.77
2011-05-30	3266.23	3272.21	3133.35	3164.97	000	3164.97
2011-05-23	3374.34	3374.90	3232.74	3265.82	000	3265.82
2011-05-16	3378.61	3414.78	3342.80	3383.79	000	3383.79
2011-05-09	3314.18	3428.46	3294.07	3378.18	000	3378.18
2011-05-02	3407.59	3428.09	3291.95	3315.84	000	3315.84
2011-04-25	3415.96	3419.77	3340.67	3406.02	000	3406.02
2011-04-18	3380.14	3413.94	3290.67	3413.94	000	3413.94
2011-04-11	3481.99	3488.54	3355.02	3381.25	000	3381.25
2011-04-04	3471.76	3541.37	3446.95	3480.39	3400	3480.39
2011-03-28	3350.09	3472.82	3307.01	3471.95	000	3471.95
2011-03-21	3285.63	3350.32	3285.63	3348.83	000	3348.83
2011-03-14	3400.70	3400.70	3166.53	3277.87	000	3277.87
2011-03-09	3469.39	3487.74	3349.74	3403.51	000	3403.51
2011-02-28	3436.55	3492.03	3412.11	3467.72	000	3467.72
2011-02-21	3537.06	3537.06	3367.73	3435.44	000	3435.44
2011-02-14	3466.15	3555.28	3466.15	3537.06	000	3537.06
2011-02-07	3630.93	3639.54	3404.61	3460.04	000	3460.04
2011-01-31	3583.11	3653.61	3572.47	3631.22	000	3631.22
2011-01-24	3656.00	3659.68	3554.46	3583.11	000	3583.11
2011-01-17	3539.06	3700.90	3537.14	3648.26	000	3648.26
2011-01-10	3546.72	3616.19	3497.84	3539.06	000	3539.06
2011-01-03	3523.82	3657.01	3523.82	3546.26	000	3546.26
2010-12-27	3466.15	3538.59	3447.12	3523.59	000	3523.59
2010-12-20	3407.29	3500.22	3403.54	3476.42	000	3476.42
2010-12-13	3390.87	3427.11	3284.39	3403.08	000	3403.08
2010-12-06	3425.11	3524.42	3351.98	3390.87	000	3390.87
2010-11-29	3303.28	3450.49	3246.20	3422.43	000	3422.43
2010-11-23	3230.75	3326.32	3175.54	3302.88	000	3302.88
2010-11-15	3218.92	3277.63	3112.35	3260.80	000	3260.80
2010-11-08	3353.17	3368.76	3198.44	3215.48	000	3215.48
2010-11-01	3011.76	3380.81	3011.76	3352.33	000	3352.33
2010-10-25	2855.87	3007.41	2855.87	3007.41	000	3007.41
2010-10-18	2742.23	2851.91	2712.46	2851.91	000	2851.91
2010-10-12	2699.07	2754.86	2680.68	2735.47	000	2735.47
2010-10-04	2652.73	2700.29	2620.47	2699.49	000	2699.49
2010-09-27	2576.30	2665.86	2575.40	2652.29	000	2652.29
2010-09-20	2474.44	2579.60	2474.44	2577.74	000	2577.74
2010-09-13	2436.77	2478.49	2430.65	2473.43	000	2473.43
2010-09-06	2423.22	2454.11	2404.98	2436.77	000	2436.77
2010-08-30	2349.03	2449.59	2306.58	2423.22	000	2423.22
2010-08-23	2449.60	2449.60	2258.75	2349.07	000	2349.07
2010-08-17	2389.42	2473.47	2389.42	2438.97	000	2438.97
2010-08-09	2421.97	2428.94	2325.31	2367.98	000	2367.98
2010-08-02	2398.54	2473.16	2397.49	2425.33	000	2425.33
2010-07-26	2375.20	2407.38	2365.71	2394.16	000	2394.16
2010-07-19	2284.16	2375.20	2282.96	2375.20	000	2375.20
2010-07-12	2291.86	2319.19	2274.37	2283.07	000	2283.07
2010-07-05	2212.75	2289.60	2198.88	2289.50	000	2289.50
2010-06-28	2318.14	2318.14	2158.03	2217.08	000	2217.08
