% Arquivo utilizado para teste de utilização de arquivos arff, para o sistema de previsão de séries temporais.
@relation TimeSeriesData

@attribute date Date "dd/MM/yyyy"
@attribute open double
@attribute high double
@attribute low double
@attribute close double
@attribute volume double
@attribute adjClose double

@data
'31/12/2012',	2600.92,	2665.73,	2598.57,	2660.93,	1557230000,	2660.93
'24/12/2012',	2658.65,	2663.56,	2599.63,	2606.36,	1039935000,	2606.36
'17/12/2012',	2629.76,	2713.39,	2627.37,	2664.67,	2080220000,	2664.67
'10/12/2012',	2634.54,	2696.90,	2620.08,	2628.09,	1765496000,	2628.09
'03/12/2012',	2697.44,	2699.04,	2623.62,	2640.54,	1715388000,	2640.54
'26/11/2012',	2634.43,	2688.95,	2613.22,	2677.88,	1816652000,	2677.88
'19/11/2012',	2564.23,	2640.39,	2562.52,	2639.59,	1394700000,	2639.59
'12/11/2012',	2596.57,	2600.65,	2494.38,	2534.16,	1900024000,	2534.16
'05/11/2012',	2657.73,	2696.46,	2571.86,	2584.10,	1803466000,	2584.10
'31/10/2012',	2663.56,	2701.91,	2639.63,	2656.28,	1840503300,	2656.28
'22/10/2012',	2678.89,	2699.08,	2636.83,	2665.83,	1842866000,	2665.83
'15/10/2012',	2729.20,	2784.81,	2675.57,	2678.32,	1868032000,	2678.32
'08/10/2012',	2797.33,	2801.85,	2714.17,	2720.14,	1548166000,	2720.14
'01/10/2012',	2811.45,	2845.97,	2779.01,	2811.94,	1652984000,	2811.94
'24/09/2012',	2836.35,	2858.68,	2768.58,	2799.19,	1794956000,	2799.19
'17/09/2012',	2857.52,	2878.38,	2842.59,	2861.64,	1875778000,	2861.64
'10/09/2012',	2821.03,	2865.37,	2775.40,	2855.23,	1741106000,	2855.23
'04/09/2012',	2766.93,	2829.95,	2744.29,	2825.11,	1665132500,	2825.11
'27/08/2012',	2792.00,	2794.27,	2746.68,	2772.24,	1328514000,	2772.24
'20/08/2012',	2777.71,	2802.91,	2750.64,	2778.05,	1443700000,	2778.05
'13/08/2012',	2721.49,	2780.77,	2708.38,	2780.30,	1607202000,	2780.30
'06/08/2012',	2686.38,	2727.31,	2681.72,	2722.96,	1707302000,	2722.96
'30/07/2012',	2649.78,	2684.58,	2606.54,	2676.00,	1712158000,	2676.00
'23/07/2012',	2575.29,	2649.98,	2535.04,	2647.03,	1844766000,	2647.03
'16/07/2012',	2579.96,	2663.12,	2554.34,	2618.04,	1710402000,	2618.04
'09/07/2012',	2610.38,	2630.03,	2522.89,	2584.97,	1581886000,	2584.97
'02/07/2012',	2616.52,	2660.26,	2596.10,	2612.29,	1428995000,	2612.29
'25/06/2012',	2562.98,	2615.82,	2510.37,	2615.72,	1724642000,	2615.72
'18/06/2012',	2570.98,	2633.21,	2554.65,	2585.53,	2070192000,	2585.53
'11/06/2012',	2578.73,	2579.23,	2510.75,	2571.23,	1666016000,	2571.23
'04/06/2012',	2458.97,	2570.48,	2443.92,	2559.21,	1637606000,	2559.21
'29/05/2012',	2542.66,	2570.79,	2458.73,	2458.83,	1509742500,	2458.83
