Date	Open	High	Low	Close	Volume	Adj Close
2012-12-03	2697.44	2713.39	2598.57	2660.93	1753986000	2660.93
2012-11-01	2661.05	2701.91	2494.38	2677.88	1861356100	2677.88
2012-10-01	2811.45	2845.97	2636.83	2647.92	1817800000	2647.92
2012-09-04	2766.93	2878.38	2744.29	2799.19	1872861500	2799.19
2012-08-01	2660.49	2802.91	2606.54	2772.24	1613204700	2772.24
2012-07-02	2616.52	2663.12	2522.89	2642.53	1737529500	2642.53
2012-06-01	2510.82	2633.21	2443.92	2615.72	1879992300	2615.72
2012-05-01	2719.25	2756.81	2474.70	2524.87	1922548100	2524.87
2012-04-02	2752.25	2795.35	2628.96	2723.68	1771358000	2723.68
2012-03-01	2634.20	2794.00	2575.13	2755.27	1750883600	2755.27
2012-02-01	2481.62	2645.20	2474.29	2623.10	1994932500	2623.10
2012-01-03	2323.16	2481.51	2307.56	2467.95	1855622500	2467.95
2011-12-01	2294.27	2343.10	2209.57	2277.83	1630203800	2277.83
2011-11-01	2301.11	2402.51	2150.71	2295.20	1944674700	2295.20
2011-10-03	2128.02	2412.52	2042.90	2360.08	2121923300	2360.08
2011-09-01	2245.01	2337.70	2112.84	2139.18	2144659000	2139.18
2011-08-01	2391.42	2396.50	2034.92	2241.01	2564059100	2241.01
2011-07-01	2326.16	2438.44	2318.20	2362.81	1979209500	2362.81
2011-06-01	2368.29	2373.82	2180.94	2325.07	5122518900	2325.07
2011-05-02	2410.24	2417.83	2298.72	2372.54	2119866600	2372.54
2011-04-01	2352.47	2415.85	2254.88	2404.08	2024012500	2404.08
2011-03-01	2359.78	2375.67	2188.92	2338.99	2041148200	2338.99
2011-02-01	2298.37	2403.52	2284.65	2350.99	2170254700	2350.99
2011-01-03	2238.66	2336.04	2237.73	2281.91	2108703500	2281.91
2010-12-01	2150.64	2238.92	2150.64	2217.86	1696976800	2217.86
2010-11-01	2135.57	2200.16	2085.27	2117.33	2057668500	2117.33
2010-10-01	2014.47	2137.33	1963.68	2124.45	2076593300	2124.45
2010-09-01	1791.91	2029.65	1791.41	1998.04	2095484200	1998.04
2010-08-02	1886.61	1918.78	1747.32	1767.43	1994470400	1767.43
2010-07-01	1741.93	1900.15	1700.04	1864.00	2192808500	1864.00
2010-06-01	1846.60	1939.77	1734.90	1739.14	2311604000	1739.14
2010-05-03	2010.94	2039.52	1752.31	1852.39	2968435500	1852.39
2010-04-01	1968.44	2059.42	1943.97	2000.63	2731889000	2000.63
2010-03-01	1826.62	1976.38	1826.61	1958.34	2492358200	1958.34
2010-02-01	1745.91	1830.38	1712.89	1818.68	2374673100	1818.68
2010-01-04	1882.69	1897.49	1734.03	1741.04	2564021500	1741.04
2009-12-01	1782.85	1882.58	1759.34	1860.31	1841222200	1860.31
2009-11-02	1667.06	1814.25	1652.44	1767.43	2043167500	1767.43
2009-10-01	1710.50	1780.83	1656.57	1667.13	2413632700	1667.13
2009-09-01	1620.09	1754.54	1585.56	1718.99	2490170000	1718.99
2009-08-03	1619.24	1668.01	1563.14	1625.19	2203232300	1625.19
2009-07-01	1486.50	1632.97	1394.87	1603.36	2239760900	1603.36
2009-06-01	1451.37	1511.94	1413.54	1477.25	2451192200	1477.25
2009-05-01	1396.22	1435.80	1339.82	1435.57	2490867000	1435.57
2009-04-01	1215.90	1418.77	1211.60	1394.33	2454997100	1394.33
2009-03-02	1098.99	1281.30	1040.41	1237.01	2347197200	1237.01
2009-02-02	1168.13	1286.90	1112.12	1116.99	2356521000	1116.99
2009-01-02	1212.74	1286.08	1136.61	1180.25	2102509500	1180.25
2008-12-01	1185.75	1251.56	1091.04	1211.65	1870050400	1211.65
2008-11-03	1333.19	1382.65	1018.86	1185.75	2248462600	1185.75
2008-10-01	1581.06	1584.26	1149.12	1334.78	2824966900	1334.78
2008-09-02	1904.21	1912.72	1496.15	1594.63	2576151400	1594.63
2008-08-01	1847.47	1973.56	1802.09	1872.54	1954377100	1872.54
2008-07-01	1821.93	1874.83	1761.08	1849.15	2408589500	1849.15
2008-06-02	2026.58	2055.82	1829.30	1837.09	2288785700	1837.09
