Date,Open,High,Low,Close,Volume,Adj Close
2012-12-12,5925.00,5948.50,5915.90,5945.90,629912400,5945.90
2012-12-11,5921.60,5937.90,5908.30,5925.00,516458000,5925.00
2012-12-10,5914.40,5924.00,5891.30,5921.60,463904000,5921.60
2012-12-07,5901.40,5923.10,5889.90,5914.40,584102400,5914.40
2012-12-06,5892.10,5923.90,5889.60,5901.40,637268600,5901.40
2012-12-05,5869.00,5902.70,5869.00,5892.10,610548400,5892.10
2012-12-04,5871.20,5885.40,5852.90,5869.00,598705000,5869.00
2012-12-03,5866.80,5902.00,5859.60,5871.20,512099800,5871.20
2012-11-30,5870.30,5904.40,5860.30,5866.80,699208800,5866.80
2012-11-29,5803.30,5884.00,5803.30,5870.30,652938200,5870.30
2012-11-28,5799.70,5808.30,5755.20,5803.30,610194800,5803.30
2012-11-27,5786.70,5823.20,5786.70,5799.70,659091000,5799.70
2012-11-26,5819.10,5819.10,5773.90,5786.70,601954400,5786.70
2012-11-23,5791.00,5830.50,5781.40,5819.10,427505000,5819.10
2012-11-22,5752.00,5796.50,5752.00,5791.00,511821600,5791.00
2012-11-21,5748.10,5760.10,5727.90,5752.00,640338800,5752.00
2012-11-20,5737.70,5751.80,5706.70,5748.10,803636400,5748.10
2012-11-19,5605.60,5739.70,5605.60,5737.70,748670800,5737.70
2012-11-16,5677.80,5682.70,5605.60,5605.60,939484400,5605.60
2012-11-15,5722.00,5722.00,5674.30,5677.80,800053200,5677.80
2012-11-14,5786.30,5786.30,5719.60,5722.00,865457600,5722.00
2012-11-13,5767.30,5786.30,5711.00,5786.30,950553800,5786.30
2012-11-12,5769.70,5795.30,5762.00,5767.30,654357600,5767.30
2012-11-09,5776.00,5786.40,5715.20,5769.70,708900000,5769.70
2012-11-08,5791.60,5824.40,5770.70,5776.00,729478400,5776.00
2012-11-07,5884.90,5921.80,5789.40,5791.60,922666000,5791.60
2012-11-06,5839.10,5885.20,5839.10,5884.90,774892600,5884.90
2012-11-05,5868.50,5868.50,5825.50,5839.10,568662200,5839.10
2012-11-02,5861.90,5890.10,5844.30,5868.50,855128600,5868.50
