% Arquivo utilizado para teste de utilização de arquivos arff, para o sistema de previsão de séries temporais.
@relation TimeSeriesData

@attribute date Date "dd/MM/yyyy"
@attribute open double
@attribute high double
@attribute low double
@attribute close double
@attribute volume double
@attribute adjClose double

@data
'26/12/2012', 61003.00, 61322.00, 60233.00, 60952.00, 2692200, 60952.00
'17/12/2012', 59604.00, 61276.00, 59323.00, 61007.00, 3629500, 61007.00
'10/12/2012', 58468.00, 59969.00, 58091.00, 59605.00, 3755000, 59605.00
'03/12/2012', 57479.00, 58594.00, 57129.00, 58487.00, 3450200, 58487.00
'26/11/2012', 57571.00, 58031.00, 55686.00, 57475.00, 3644100, 57475.00
'19/11/2012', 55387.00, 57574.00, 55387.00, 57574.00, 2925800, 57574.00
'12/11/2012', 57358.00, 57712.00, 55126.00, 55402.00, 3128200, 55402.00
'05/11/2012', 58374.00, 59561.00, 56862.00, 57358.00, 3324500, 57358.00
'29/10/2012', 57267.00, 58383.00, 56581.00, 58383.00, 2272500, 58383.00
'22/10/2012', 58925.00, 59205.00, 57061.00, 57277.00, 2426600, 57277.00
'15/10/2012', 59164.00, 60412.00, 58782.00, 58922.00, 3380200, 58922.00
'08/10/2012', 58572.00, 59697.00, 58170.00, 59162.00, 2835500, 59162.00
'01/10/2012', 59171.00, 60216.00, 58105.00, 58572.00, 3152600, 58572.00
'24/09/2012', 61319.00, 61947.00, 58864.00, 59176.00, 3568700, 59176.00
'17/09/2012', 62106.00, 62692.00, 60961.00, 61320.00, 3280900, 61320.00
'10/09/2012', 58325.00, 63428.00, 58325.00, 62105.00, 4801800, 62105.00
'03/09/2012', 57065.00, 58328.00, 56203.00, 58321.00, 3121600, 58321.00
'27/08/2012', 58424.00, 58745.00, 56719.00, 57061.00, 3611600, 57061.00
'20/08/2012', 59083.00, 60209.00, 57833.00, 58426.00, 3438200, 58426.00
'13/08/2012', 59281.00, 59822.00, 57630.00, 59082.00, 3416400, 59082.00
'06/08/2012', 57255.00, 59365.00, 56893.00, 59281.00, 3247300, 59281.00
'30/07/2012', 56551.00, 57466.00, 55239.00, 57255.00, 2134200, 57255.00
'23/07/2012', 54183.00, 57046.00, 52213.00, 56553.00, 3095600, 56553.00
'16/07/2012', 54316.00, 55491.00, 53119.00, 54195.00, 2676300, 54195.00
'10/07/2012', 55392.00, 55588.00, 52489.00, 54331.00, 3067600, 54331.00
'02/07/2012', 54355.00, 56943.00, 53961.00, 55394.00, 2897400, 55394.00
'25/06/2012', 55406.00, 55406.00, 52271.00, 54355.00, 3193800, 54355.00
'18/06/2012', 56066.00, 57611.00, 55083.00, 55440.00, 2980000, 55440.00
'11/06/2012', 54434.00, 56105.00, 53905.00, 56105.00, 3603800, 56105.00
'04/06/2012', 53408.00, 54432.00, 52481.00, 54430.00, 2764900, 54430.00
'28/05/2012', 54467.00, 55763.00, 53087.00, 53403.00, 3203200, 53403.00
'21/05/2012', 54516.00, 56678.00, 53028.00, 54463.00, 3714500, 54463.00
'14/05/2012', 59443.00, 59443.00, 53856.00, 54513.00, 3916000, 54513.00
'07/05/2012', 60802.00, 61299.00, 59138.00, 59445.00, 2991400, 59445.00
'30/04/2012', 61691.00, 62783.00, 60438.00, 60821.00, 3229100, 60821.00
'23/04/2012', 62494.00, 62494.00, 60897.00, 61691.00, 2779000, 61691.00
'16/04/2012', 62120.00, 63369.00, 61465.00, 62494.00, 2743600, 62494.00
'09/04/2012', 63690.00, 63690.00, 61291.00, 62106.00, 2782000, 62106.00
'02/04/2012', 64515.00, 65593.00, 63384.00, 63691.00, 2693600, 63691.00
'26/03/2012', 65818.00, 66968.00, 64096.00, 64511.00, 2733600, 64511.00
'19/03/2012', 67685.00, 68159.00, 65534.00, 65813.00, 2279400, 65813.00
