Date,Open,High,Low,Close,Volume,Adj Close
2012-12-03,57479.00,61322.00,57129.00,60952.00,3604200,60952.00
2012-11-01,57065.00,59561.00,55126.00,57475.00,3530800,57475.00
2012-10-01,59171.00,60412.00,56581.00,57068.00,2956500,57068.00
2012-09-03,57065.00,63428.00,56203.00,59176.00,3917500,59176.00
2012-08-01,56091.00,60209.00,55239.00,57061.00,3536000,57061.00
2012-07-02,54355.00,57466.00,52213.00,56097.00,2855600,56097.00
2012-06-01,54488.00,57611.00,52271.00,54355.00,3333900,54355.00
2012-05-02,61820.00,62783.00,53028.00,54490.00,3723500,54490.00
2012-04-02,64515.00,65593.00,60897.00,61820.00,2811200,61820.00
2012-03-01,65812.00,68970.00,64096.00,64511.00,2670200,64511.00
2012-02-01,63085.00,66662.00,63085.00,65812.00,2961100,65812.00
2012-01-02,56755.00,63805.00,56649.00,63072.00,2788400,63072.00
2011-12-01,56876.00,59576.00,55298.00,56754.00,2552300,56754.00
2011-11-01,58300.00,59616.00,54537.00,56875.00,2684900,56875.00
2011-10-03,52319.00,59901.00,49433.00,58338.00,2805400,58338.00
2011-09-01,56498.00,58589.00,51897.00,52324.00,2749400,52324.00
2011-08-01,58823.00,59542.00,47793.00,56495.00,3270700,56495.00
2011-07-01,62404.00,63891.00,58009.00,58823.00,2099100,58823.00
2011-06-01,64616.00,64979.00,60489.00,62404.00,1978800,62404.00
2011-05-02,66119.00,66500.00,61659.00,64620.00,2308500,64620.00
2011-04-01,68588.00,70108.00,65105.00,66133.00,1970800,66133.00
2011-03-01,67381.00,68606.00,65463.00,68587.00,2289900,68587.00
2011-02-01,66575.00,68226.00,64016.00,67383.00,2565200,67383.00
2011-01-03,69310.00,71924.00,65898.00,66575.00,2206500,66575.00
2010-12-01,67731.00,70589.00,66948.00,69305.00,1386000,69305.00
2010-11-01,70686.00,73103.00,67103.00,67705.00,1640700,67705.00
2010-10-01,69438.00,72140.00,68847.00,70673.00,2531700,70673.00
2010-09-01,65154.00,69737.00,65154.00,69430.00,2204900,69430.00
2010-08-02,67524.00,68754.00,63804.00,65145.00,1892700,65145.00
2010-07-01,60935.00,67608.00,60056.00,67515.00,1755500,67515.00
2010-06-01,63033.00,65831.00,60936.00,60936.00,1834900,60936.00
2010-05-03,67534.00,67969.00,57634.00,63047.00,2552600,63047.00
2010-04-01,70375.00,71989.00,65914.00,67530.00,1820700,67530.00
2010-03-01,66511.00,70486.00,66511.00,70372.00,1717100,70372.00
2010-02-01,65402.00,68120.00,61341.00,66503.00,1601500,66503.00
2010-01-04,68587.00,71068.00,64541.00,65402.00,1825700,65402.00
2009-12-01,67051.00,69785.00,65925.00,68588.00,1351900,68588.00
2009-11-03,61539.00,68060.00,60724.00,67044.00,1746000,67044.00
2009-10-01,61519.00,67530.00,59678.00,61546.00,1711400,61546.00
2009-09-01,56489.00,62017.00,55339.00,61518.00,1346200,61518.00
2009-08-03,54766.00,58634.00,54766.00,56489.00,1401700,56489.00
2009-07-01,51464.00,55083.00,48262.00,54766.00,1394600,54766.00
2009-06-01,53202.00,54955.00,49130.00,51465.00,1512700,51465.00
2009-05-04,47290.00,53806.00,47290.00,53198.00,1904000,53198.00
2009-04-01,40918.00,48126.00,40256.00,47290.00,1834300,47290.00
2009-03-02,38180.00,42680.00,35722.00,40926.00,1678500,40926.00
2009-02-02,39296.00,43441.00,37324.00,38183.00,1762400,38183.00
2009-01-02,37550.00,42525.00,36744.00,39301.00,1665500,39301.00
2008-12-01,36596.00,40498.00,33798.00,37550.00,1700700,37550.00
2008-11-03,37261.00,41003.00,31081.00,36596.00,1842100,36596.00
2008-10-01,49538.00,49834.00,29435.00,37257.00,2106000,37257.00
2008-09-01,55665.00,55665.00,43766.00,49541.00,1681400,49541.00
2008-08-01,59505.00,59505.00,52345.00,55680.00,1139700,55680.00
2008-07-01,65018.00,65018.00,56418.00,59505.00,1332700,59505.00
2008-06-02,72593.00,72593.00,63689.00,65018.00,1214100,65018.00
2008-05-02,67869.00,73920.00,67865.00,72593.00,1381700,72593.00
2008-04-01,60965.00,68038.00,60965.00,67868.00,1072500,67868.00
2008-03-03,63496.00,65045.00,57824.00,60968.00,2527600,60968.00
2008-02-01,59491.00,66005.00,58030.00,63489.00,3569100,63489.00
