Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,61003.00,61322.00,60233.00,60952.00,2692200,60952.00
2012-12-17,59604.00,61276.00,59323.00,61007.00,3629500,61007.00
2012-12-10,58468.00,59969.00,58091.00,59605.00,3755000,59605.00
2012-12-03,57479.00,58594.00,57129.00,58487.00,3450200,58487.00
2012-11-26,57571.00,58031.00,55686.00,57475.00,3644100,57475.00
2012-11-19,55387.00,57574.00,55387.00,57574.00,2925800,57574.00
2012-11-12,57358.00,57712.00,55126.00,55402.00,3128200,55402.00
2012-11-05,58374.00,59561.00,56862.00,57358.00,3324500,57358.00
2012-10-29,57267.00,58383.00,56581.00,58383.00,2272500,58383.00
2012-10-22,58925.00,59205.00,57061.00,57277.00,2426600,57277.00
2012-10-15,59164.00,60412.00,58782.00,58922.00,3380200,58922.00
2012-10-08,58572.00,59697.00,58170.00,59162.00,2835500,59162.00
2012-10-01,59171.00,60216.00,58105.00,58572.00,3152600,58572.00
2012-09-24,61319.00,61947.00,58864.00,59176.00,3568700,59176.00
2012-09-17,62106.00,62692.00,60961.00,61320.00,3280900,61320.00
2012-09-10,58325.00,63428.00,58325.00,62105.00,4801800,62105.00
2012-09-03,57065.00,58328.00,56203.00,58321.00,3121600,58321.00
2012-08-27,58424.00,58745.00,56719.00,57061.00,3611600,57061.00
2012-08-20,59083.00,60209.00,57833.00,58426.00,3438200,58426.00
2012-08-13,59281.00,59822.00,57630.00,59082.00,3416400,59082.00
2012-08-06,57255.00,59365.00,56893.00,59281.00,3247300,59281.00
2012-07-30,56551.00,57466.00,55239.00,57255.00,2134200,57255.00
2012-07-23,54183.00,57046.00,52213.00,56553.00,3095600,56553.00
2012-07-16,54316.00,55491.00,53119.00,54195.00,2676300,54195.00
2012-07-10,55392.00,55588.00,52489.00,54331.00,3067600,54331.00
2012-07-02,54355.00,56943.00,53961.00,55394.00,2897400,55394.00
2012-06-25,55406.00,55406.00,52271.00,54355.00,3193800,54355.00
2012-06-18,56066.00,57611.00,55083.00,55440.00,2980000,55440.00
2012-06-11,54434.00,56105.00,53905.00,56105.00,3603800,56105.00
