% Arquivo utilizado para teste de utilização de arquivos arff, para o sistema de previsão de séries temporais.
@relation TimeSeriesData

@attribute date Date  "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'28/12/2012', 2839.84, 2854.69, 2833.37, 2854.29, 0, 2854.29
'27/12/2012', 2826.30, 2869.76, 2823.74, 2839.14, 0, 2839.14
'26/12/2012', 2789.79, 2827.96, 2789.79, 2827.96, 0, 2827.96
'21/12/2012', 2859.84, 2859.84, 2765.57, 2786.40, 0, 2786.40
'20/12/2012', 2842.38, 2862.07, 2842.38, 2860.08, 0, 2860.08
'19/12/2012', 2871.32, 2887.33, 2819.33, 2843.96, 0, 2843.96
'18/12/2012', 2759.19, 2872.70, 2759.19, 2871.32, 0, 2871.32
'17/12/2012', 2699.51, 2764.30, 2699.10, 2759.19, 0, 2759.19
'14/12/2012', 2616.04, 2700.58, 2616.04, 2696.98, 0, 2696.98
'13/12/2012', 2610.90, 2625.60, 2592.26, 2610.03, 0, 2610.03
'12/12/2012', 2557.19, 2612.39, 2556.94, 2610.90, 0, 2610.90
'11/12/2012', 2524.81, 2577.66, 2524.81, 2558.76, 0, 2558.76
'10/12/2012', 2480.18, 2520.28, 2478.51, 2520.28, 0, 2520.28
'07/12/2012', 2450.03, 2480.03, 2450.03, 2480.03, 0, 2480.03
'06/12/2012', 2465.76, 2478.95, 2440.89, 2450.03, 0, 2450.03
'05/12/2012', 2459.99, 2489.59, 2458.27, 2470.04, 0, 2470.04
'04/12/2012', 2420.24, 2474.81, 2418.17, 2458.95, 0, 2458.95
'03/12/2012', 2427.49, 2442.45, 2414.45, 2419.68, 0, 2419.68
'30/11/2012', 2411.57, 2425.38, 2385.70, 2419.30, 0, 2419.30
'29/11/2012', 2327.50, 2413.58, 2327.50, 2408.17, 0, 2408.17
'28/11/2012', 2330.06, 2331.46, 2305.38, 2327.50, 0, 2327.50
'27/11/2012', 2343.32, 2352.03, 2324.87, 2328.88, 0, 2328.88
'23/11/2012', 2243.77, 2339.92, 2243.77, 2339.92, 0, 2339.92
'22/11/2012', 2321.17, 2321.17, 2234.86, 2242.40, 0, 2242.40
'21/11/2012', 2298.17, 2319.70, 2291.09, 2319.70, 0, 2319.70
'20/11/2012', 2295.33, 2302.96, 2292.31, 2295.59, 0, 2295.59
'19/11/2012', 2290.82, 2320.76, 2290.82, 2295.33, 0, 2295.33
'16/11/2012', 2321.24, 2321.24, 2277.77, 2283.09, 0, 2283.09
'15/11/2012', 2320.45, 2331.93, 2310.90, 2322.27, 0, 2322.27
'14/11/2012', 2353.11, 2366.60, 2319.78, 2320.69, 0, 2320.69
'13/11/2012', 2393.04, 2395.30, 2350.94, 2354.05, 0, 2354.05
'12/11/2012', 2389.10, 2394.51, 2372.47, 2394.51, 0, 2394.51
'09/11/2012', 2400.34, 2401.61, 2375.49, 2390.05, 0, 2390.05
'08/11/2012', 2367.21, 2405.85, 2366.05, 2401.84, 0, 2401.84
'07/11/2012', 2394.85, 2394.85, 2355.25, 2370.19, 0, 2370.19
'05/11/2012', 2395.13, 2402.79, 2383.13, 2394.85, 0, 2394.85
'02/11/2012', 2350.83, 2395.13, 2350.83, 2395.13, 0, 2395.13
'01/11/2012', 2331.42, 2361.00, 2331.42, 2350.33, 0, 2350.33
'31/10/2012', 2334.39, 2348.92, 2314.17, 2323.39, 0, 2323.39
'30/10/2012', 2331.09, 2345.73, 2314.10, 2320.57, 0, 2320.57
'29/10/2012', 2380.33, 2380.33, 2321.70, 2332.80, 0, 2332.80
'26/10/2012', 2373.96, 2388.50, 2366.36, 2380.33, 0, 2380.33
'25/10/2012', 2377.79, 2389.40, 2366.96, 2376.49, 0, 2376.49
'24/10/2012', 2368.51, 2380.24, 2361.90, 2377.79, 0, 2377.79
'23/10/2012', 2438.22, 2444.53, 2357.12, 2368.96, 0, 2368.96
'22/10/2012', 2428.05, 2457.16, 2420.20, 2457.16, 0, 2457.16
'19/10/2012', 2452.14, 2452.14, 2416.24, 2428.05, 0, 2428.05
'18/10/2012', 2471.54, 2474.99, 2442.63, 2455.93, 0, 2455.93
'17/10/2012', 2432.16, 2475.58, 2432.16, 2471.54, 0, 2471.54
'16/10/2012', 2406.25, 2432.40, 2406.25, 2427.33, 0, 2427.33
'15/10/2012', 2401.26, 2405.08, 2386.97, 2405.08, 0, 2405.08
'12/10/2012', 2419.24, 2420.66, 2383.05, 2400.13, 0, 2400.13
'11/10/2012', 2388.81, 2419.20, 2388.81, 2417.62, 0, 2417.62
'10/10/2012', 2429.49, 2435.25, 2376.82, 2387.81, 0, 2387.81
'09/10/2012', 2476.20, 2476.20, 2432.64, 2435.14, 0, 2435.14
'05/10/2012', 2468.51, 2500.78, 2468.51, 2485.76, 0, 2485.76
'04/10/2012', 2455.81, 2472.64, 2445.64, 2469.42, 0, 2469.42
'03/10/2012', 2462.29, 2462.29, 2445.48, 2455.81, 0, 2455.81
'02/10/2012', 2458.87, 2469.74, 2447.03, 2464.74, 0, 2464.74
'01/10/2012', 2450.99, 2478.50, 2450.99, 2458.46, 0, 2458.46
'28/09/2012', 2489.05, 2489.05, 2447.46, 2451.73, 0, 2451.73
'27/09/2012', 2467.06, 2499.33, 2461.15, 2494.18, 0, 2494.18
'26/09/2012', 2521.58, 2521.58, 2459.84, 2461.01, 0, 2461.01
'25/09/2012', 2586.59, 2586.59, 2521.72, 2533.42, 0, 2533.42
'21/09/2012', 2501.65, 2540.33, 2501.65, 2531.75, 0, 2531.75
'20/09/2012', 2493.85, 2503.94, 2474.18, 2500.79, 0, 2500.79
'19/09/2012', 2493.61, 2501.77, 2486.67, 2493.85, 0, 2493.85
'18/09/2012', 2476.75, 2491.82, 2467.79, 2491.82, 0, 2491.82
'17/09/2012', 2536.70, 2536.70, 2477.21, 2479.24, 0, 2479.24
'14/09/2012', 2515.78, 2576.01, 2515.78, 2543.86, 0, 2543.86
'13/09/2012', 2437.94, 2508.71, 2437.74, 2508.71, 0, 2508.71
