Date,Open,High,Low,Close,Volume,Adj Close
2012-12-28,2839.84,2854.69,2833.37,2854.29,000,2854.29
2012-12-27,2826.30,2869.76,2823.74,2839.14,000,2839.14
2012-12-26,2789.79,2827.96,2789.79,2827.96,000,2827.96
2012-12-21,2859.84,2859.84,2765.57,2786.40,000,2786.40
2012-12-20,2842.38,2862.07,2842.38,2860.08,000,2860.08
2012-12-19,2871.32,2887.33,2819.33,2843.96,000,2843.96
2012-12-18,2759.19,2872.70,2759.19,2871.32,000,2871.32
2012-12-17,2699.51,2764.30,2699.10,2759.19,000,2759.19
2012-12-14,2616.04,2700.58,2616.04,2696.98,000,2696.98
2012-12-13,2610.90,2625.60,2592.26,2610.03,000,2610.03
2012-12-12,2557.19,2612.39,2556.94,2610.90,000,2610.90
2012-12-11,2524.81,2577.66,2524.81,2558.76,000,2558.76
2012-12-10,2480.18,2520.28,2478.51,2520.28,000,2520.28
2012-12-07,2450.03,2480.03,2450.03,2480.03,000,2480.03
2012-12-06,2465.76,2478.95,2440.89,2450.03,000,2450.03
2012-12-05,2459.99,2489.59,2458.27,2470.04,000,2470.04
2012-12-04,2420.24,2474.81,2418.17,2458.95,000,2458.95
2012-12-03,2427.49,2442.45,2414.45,2419.68,000,2419.68
2012-11-30,2411.57,2425.38,2385.70,2419.30,000,2419.30
2012-11-29,2327.50,2413.58,2327.50,2408.17,000,2408.17
2012-11-28,2330.06,2331.46,2305.38,2327.50,000,2327.50
2012-11-27,2343.32,2352.03,2324.87,2328.88,000,2328.88
2012-11-23,2243.77,2339.92,2243.77,2339.92,000,2339.92
2012-11-22,2321.17,2321.17,2234.86,2242.40,000,2242.40
2012-11-21,2298.17,2319.70,2291.09,2319.70,000,2319.70
2012-11-20,2295.33,2302.96,2292.31,2295.59,000,2295.59
2012-11-19,2290.82,2320.76,2290.82,2295.33,000,2295.33
2012-11-16,2321.24,2321.24,2277.77,2283.09,000,2283.09
2012-11-15,2320.45,2331.93,2310.90,2322.27,000,2322.27
2012-11-14,2353.11,2366.60,2319.78,2320.69,000,2320.69
2012-11-13,2393.04,2395.30,2350.94,2354.05,000,2354.05
2012-11-12,2389.10,2394.51,2372.47,2394.51,000,2394.51
2012-11-09,2400.34,2401.61,2375.49,2390.05,000,2390.05
2012-11-08,2367.21,2405.85,2366.05,2401.84,000,2401.84
2012-11-07,2394.85,2394.85,2355.25,2370.19,000,2370.19
2012-11-05,2395.13,2402.79,2383.13,2394.85,000,2394.85
2012-11-02,2350.83,2395.13,2350.83,2395.13,000,2395.13
2012-11-01,2331.42,2361.00,2331.42,2350.33,000,2350.33
2012-10-31,2334.39,2348.92,2314.17,2323.39,000,2323.39
2012-10-30,2331.09,2345.73,2314.10,2320.57,000,2320.57
2012-10-29,2380.33,2380.33,2321.70,2332.80,000,2332.80
2012-10-26,2373.96,2388.50,2366.36,2380.33,000,2380.33
2012-10-25,2377.79,2389.40,2366.96,2376.49,000,2376.49
2012-10-24,2368.51,2380.24,2361.90,2377.79,000,2377.79
