Date	Open	High	Low	Close	Volume	Adj Close
2012-12-03	2427.49	2887.33	2414.45	2854.29	000	2854.29
2012-11-01	2331.42	2425.38	2234.86	2419.30	000	2419.30
2012-10-01	2450.99	2500.78	2314.10	2323.39	000	2323.39
2012-09-03	2408.49	2586.59	2358.81	2451.73	000	2451.73
2012-08-01	2400.31	2484.43	2355.81	2408.38	000	2408.38
2012-07-02	2348.84	2527.48	2309.25	2400.31	000	2400.31
2012-06-01	2251.47	2353.79	2139.89	2346.68	000	2346.68
2012-05-02	2258.82	2389.55	2118.07	2256.74	000	2256.74
2012-04-03	2683.99	2683.99	2253.13	2271.86	000	2271.86
2012-03-01	2648.86	2771.35	2626.04	2683.99	000	2683.99
2012-02-01	2788.44	2858.07	2633.24	2648.22	000	2648.22
2012-01-03	2482.92	2976.83	2482.92	2787.17	000	2787.17
2011-12-01	2564.72	2669.27	2390.90	2462.63	000	2462.63
2011-11-01	2894.74	2894.74	2405.00	2562.85	000	2562.85
2011-10-03	2451.18	3027.94	2212.28	2905.54	000	2905.54
2011-09-01	2963.38	2966.75	2438.97	2463.63	000	2463.63
2011-08-01	3328.64	3354.09	2735.28	2964.79	000	2964.79
2011-07-01	3360.62	3503.04	3256.91	3321.85	000	3321.85
2011-06-01	3250.29	3386.40	3109.95	3360.64	000	3360.64
2011-05-02	3407.59	3428.46	3232.44	3250.91	000	3250.91
2011-04-01	3389.67	3541.37	3290.67	3406.02	900	3406.02
2011-03-01	3456.17	3492.03	3166.53	3388.03	000	3388.03
2011-02-01	3594.13	3653.61	3367.73	3455.65	000	3455.65
2011-01-03	3523.82	3700.90	3497.84	3593.13	000	3593.13
2010-12-01	3262.66	3538.59	3262.66	3523.59	000	3523.59
2010-11-01	3011.76	3380.81	3011.76	3261.49	000	3261.49
2010-10-01	2642.29	3007.41	2620.47	3007.41	000	3007.41
2010-09-01	2360.29	2665.86	2360.29	2643.42	000	2643.42
2010-08-02	2398.54	2473.47	2258.75	2336.89	000	2336.89
2010-07-01	2185.92	2407.38	2158.03	2394.16	000	2394.16
2010-06-01	2203.60	2348.48	2159.59	2185.01	000	2185.01
2010-05-03	2398.82	2419.18	2060.18	2203.60	000	2203.60
2010-04-05	2398.28	2505.37	2356.15	2396.27	000	2396.27
2010-03-01	2224.50	2449.95	2224.50	2373.71	000	2373.71
2010-02-01	2296.73	2358.07	2151.10	2221.38	000	2221.38
2010-01-04	2329.81	2411.40	2247.57	2298.55	000	2298.55
2009-12-01	2150.29	2328.14	2138.39	2320.73	000	2320.73
2009-11-02	2114.65	2299.52	2110.02	2147.25	000	2147.25
2009-10-01	2075.13	2343.29	1999.30	2115.76	000	2115.76
2009-09-01	1784.05	2092.37	1731.48	2075.14	000	2075.14
2009-08-03	1723.11	1816.56	1708.59	1781.89	000	1781.89
2009-07-01	1608.12	1739.53	1446.00	1719.87	000	1719.87
2009-06-01	1589.47	1696.44	1493.01	1587.97	000	1587.97
2009-05-04	1276.38	1607.76	1275.25	1587.21	000	1587.21
2009-04-01	1119.91	1293.06	1119.91	1275.25	000	1275.25
2009-03-02	1016.42	1173.01	914.07	1125.95	000	1125.95
2009-02-02	1070.41	1166.50	991.93	1019.29	000	1019.29
2009-01-02	1083.76	1215.52	1026.50	1077.09	000	1077.09
2008-12-01	993.99	1161.56	919.28	1079.66	000	1079.66
2008-11-03	1014.60	1138.79	821.82	993.99	000	993.99
2008-10-01	1595.47	1609.90	819.36	1010.79	000	1010.79
2008-09-01	1777.35	1793.89	1433.32	1598.17	000	1598.17
2008-08-01	1919.14	1919.14	1686.24	1777.14	000	1777.14
2008-07-01	2108.00	2108.00	1865.61	1919.82	000	1919.82
2008-06-02	2204.43	2211.43	2026.77	2107.87	000	2107.87
2008-05-02	2102.26	2257.25	2083.03	2205.72	000	2205.72
2008-04-01	2100.65	2204.32	2069.29	2095.53	000	2095.53
2008-03-03	2162.20	2188.60	2010.31	2103.72	000	2103.72
2008-02-01	2008.37	2199.12	1980.70	2162.20	000	2162.20
2008-01-02	2162.18	2163.98	1861.12	2007.27	000	2007.27
2007-12-03	2207.80	2265.13	2097.05	2151.73	000	2151.73
2007-11-01	2350.39	2351.69	2159.28	2207.16	000	2207.16
2007-10-01	2187.96	2354.73	2187.96	2351.44	000	2351.44
2007-09-03	2062.08	2198.25	2002.03	2187.97	000	2187.97
2007-08-01	2178.73	2195.88	1751.75	2062.08	000	2062.08
2007-07-02	2195.64	2303.43	2132.69	2180.25	000	2180.25
2007-06-01	2246.30	2256.29	2134.98	2190.87	000	2190.87
2007-05-02	2154.51	2247.80	2097.72	2243.03	000	2243.03
2007-04-03	2104.27	2234.56	2104.27	2154.55	000	2154.55
2007-03-01	2067.72	2102.80	1905.92	2102.78	000	2102.78
2007-02-01	2072.21	2225.56	2026.60	2067.64	000	2067.64
2007-01-02	2087.85	2148.21	2010.24	2070.64	000	2070.64
2006-12-01	1967.02	2097.33	1925.42	2090.46	000	2090.46
2006-11-01	1781.97	1972.42	1781.97	1967.02	000	1967.02
2006-10-02	1638.05	1790.04	1620.38	1781.68	000	1781.68
2006-09-01	1663.58	1682.86	1580.86	1637.27	000	1637.27
2006-08-01	1702.35	1719.77	1584.59	1662.84	000	1662.84
2006-07-03	1722.24	1730.77	1587.76	1701.58	000	1701.58
2006-06-01	1655.16	1719.15	1486.56	1711.09	000	1711.09
2006-05-02	1911.26	1921.61	1537.53	1653.72	000	1653.72
2006-04-03	1803.14	1952.93	1798.69	1908.61	000	1908.61
2006-03-01	1714.05	1850.62	1714.05	1800.58	000	1800.58
2006-02-01	1793.71	1794.96	1648.17	1714.05	000	1714.05
2006-01-02	1545.14	1793.97	1542.62	1793.97	000	1793.97
2005-12-01	1558.42	1580.30	1487.17	1543.31	000	1543.31
2005-11-01	1609.41	1690.40	1516.36	1554.67	000	1554.67
2005-10-03	1698.23	1738.44	1556.26	1608.86	000	1608.86
2005-09-01	1588.17	1725.81	1581.17	1694.83	000	1694.83
2005-08-01	1517.30	1597.86	1466.38	1581.65	000	1581.65
2005-07-01	1366.56	1521.65	1340.09	1507.59	000	1507.59
2005-06-01	1485.86	1541.31	1367.41	1367.41	000	1367.41
2005-05-02	1349.09	1498.66	1349.09	1485.55	000	1485.55
2005-04-01	1400.44	1433.36	1265.97	1348.35	000	1348.35
2005-03-01	1558.62	1613.86	1325.09	1400.42	000	1400.42
2005-02-01	1373.79	1619.26	1359.07	1558.62	000	1558.62
2005-01-03	1376.01	1390.30	1298.37	1373.79	000	1373.79
2004-12-01	1213.09	1408.10	1186.39	1375.37	000	1375.37
2004-11-01	1287.73	1339.64	1156.66	1213.09	000	1213.09
2004-10-01	1144.37	1309.30	1113.31	1287.14	000	1287.14
2004-09-01	951.01	1157.75	948.98	1142.50	000	1142.50
2004-08-02	963.44	994.90	924.11	952.14	000	952.14
2004-07-01	945.89	994.67	927.79	966.10	000	966.10
2004-06-01	954.50	982.78	853.33	945.45	000	945.45
2004-05-03	1078.05	1096.10	828.34	952.62	000	952.62
2004-04-01	1202.14	1221.38	1073.75	1077.93	000	1077.93
2004-03-01	1183.14	1294.06	1129.43	1201.66	000	1201.66
2004-02-02	1141.08	1211.08	997.28	1183.14	000	1183.14
2004-01-02	1072.87	1267.45	1072.87	1140.81	000	1140.81
2003-12-01	996.78	1086.77	969.16	1071.95	000	1071.95
2003-11-03	929.89	1005.71	907.25	996.56	000	996.56
2003-10-01	829.20	958.70	818.89	929.89	000	929.89
2003-09-01	713.33	828.56	708.11	827.69	000	827.69
2003-08-01	754.44	759.07	661.24	713.33	000	713.33
2003-07-01	765.28	776.69	685.53	755.34	000	755.34
2003-06-02	679.43	815.77	679.43	765.61	000	765.61
2003-05-02	635.85	687.43	609.39	678.31	000	678.31
2003-04-01	566.66	682.69	557.35	635.95	000	635.95
2003-03-03	594.43	600.77	545.00	566.46	000	566.46
2003-02-03	550.18	598.36	547.35	593.82	000	593.82
2003-01-02	524.96	609.98	518.32	549.85	000	549.85
2002-12-02	497.81	531.65	464.51	524.95	000	524.95
2002-11-01	434.84	518.52	422.82	497.79	000	497.79
2002-10-01	395.30	454.66	391.05	434.84	000	434.84
2002-09-02	375.15	397.51	367.37	395.19	000	395.19
2002-08-01	359.32	391.33	340.08	375.16	000	375.16
2002-07-01	359.25	414.58	351.25	359.32	000	359.32
2002-06-03	319.09	354.52	265.97	350.65	000	350.65
2002-05-02	390.10	418.65	316.48	317.55	000	317.55
2002-04-02	436.22	447.40	362.34	387.79	000	387.79
2002-03-01	405.28	449.75	369.77	436.13	000	436.13
2002-02-01	439.20	489.52	359.00	398.25	000	398.25
2002-01-02	307.26	500.59	296.19	439.20	000	439.20
2001-12-03	203.25	320.49	203.25	295.39	000	295.39
2001-11-01	223.54	244.41	193.40	202.45	000	202.45
2001-10-01	241.87	258.95	201.89	224.75	000	224.75
2001-09-03	319.89	321.55	234.50	243.55	000	243.55
2001-08-01	320.03	337.01	300.96	319.89	000	319.89
2001-07-02	402.23	408.21	293.23	320.79	000	320.79
2001-06-01	438.77	455.32	400.49	402.25	000	402.25
2001-05-02	435.63	449.73	412.89	439.22	000	439.22
2001-04-03	442.00	470.24	408.59	435.63	000	435.63
2001-03-01	435.29	490.31	396.20	443.81	000	443.81
2001-02-01	532.34	534.02	429.53	435.85	000	435.85
2001-01-02	418.51	540.16	417.90	532.80	000	532.80
2000-12-01	399.49	423.97	398.51	416.77	000	416.77
2000-11-01	440.86	447.02	396.57	399.49	000	399.49
2000-10-02	475.40	480.18	396.39	440.90	000	440.90
2000-09-01	474.96	500.99	471.27	475.42	000	475.42
2000-08-01	502.01	503.09	456.87	474.66	000	474.66
2000-07-03	496.90	546.90	493.44	502.01	000	502.01
2000-06-01	464.61	506.51	464.61	496.90	000	496.90
2000-05-02	509.94	520.14	413.22	464.30	000	464.30
2000-04-03	569.04	578.37	497.49	509.51	000	509.51
2000-03-01	631.76	648.61	566.73	569.24	000	569.24
2000-02-01	565.56	642.77	565.56	631.64	000	631.64
2000-01-03	550.28	588.95	514.76	566.28	000	566.28
1999-12-01	535.92	564.50	531.67	550.47	000	550.47
1999-11-01	538.90	578.01	522.89	536.11	000	536.11
1999-10-01	532.18	550.63	498.40	538.69	000	538.69
1999-09-01	507.00	541.34	501.30	534.40	000	534.40
1999-08-02	475.65	514.66	453.03	506.74	000	506.74
1999-07-01	500.14	531.28	449.43	475.68	000	475.68
1999-06-01	523.84	547.78	496.35	498.72	000	498.72
1999-05-03	563.96	607.57	492.92	524.10	000	524.10
1999-04-05	420.01	575.70	420.01	563.67	000	563.67
1999-03-01	380.88	424.76	372.47	419.78	000	419.78
1999-02-01	372.21	407.44	371.31	380.75	000	380.75
1999-01-04	430.06	451.97	333.00	371.90	000	371.90
1998-12-01	487.71	492.14	409.22	430.06	000	430.06
1998-11-02	457.63	524.67	457.63	488.80	000	488.80
1998-10-01	379.66	470.94	347.11	457.46	000	457.46
1998-09-01	359.40	406.30	299.51	380.28	000	380.28
1998-08-03	588.66	588.83	348.00	358.49	000	358.49
1998-07-01	550.62	634.89	550.45	588.79	000	588.79
1998-06-01	599.12	617.48	537.92	550.44	000	550.44
1998-05-04	700.13	713.16	588.49	602.01	000	602.01
1998-04-01	710.28	714.91	657.64	698.90	000	698.90
1998-03-02	687.43	720.73	657.45	709.97	000	709.97
1998-02-02	614.71	692.82	614.71	686.64	000	686.64
1998-01-02	687.50	694.01	574.82	612.38	000	612.38
1997-12-01	656.24	724.09	639.61	687.50	000	687.50
1997-11-03	663.61	710.48	556.72	655.60	000	655.60
1997-10-01	822.50	862.91	628.70	660.24	000	660.24
1997-09-01	830.90	841.74	789.52	822.47	000	822.47
1997-08-01	849.36	869.45	822.59	832.93	000	832.93
1997-07-01	810.32	859.17	784.28	850.03	000	850.03
1997-06-02	778.93	830.16	778.93	809.41	000	809.41
1997-05-02	722.66	780.65	722.54	778.08	000	778.08
1997-04-01	706.34	733.60	670.86	722.60	000	722.60
1997-03-03	717.06	751.14	696.29	706.08	000	706.08
1997-02-03	693.06	759.73	690.25	717.65	000	717.65
1997-01-03	639.60	698.04	639.60	692.51	000	692.51
1996-12-02	617.03	657.49	592.44	649.37	000	649.37
1996-11-01	570.31	618.13	569.93	617.03	000	617.03
1996-10-08	579.43	592.65	547.51	570.45	000	570.45
