@relation TimeSeriesData
% FORMULA UTILIZADA 2X³ - 3x² + 2x² + 5x + 4

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'28/12/2012', 11603.00, 11603.00, 11603.00, 11603.00, 11603.00, 11603.00
'27/12/2012', 11268.00, 11268.00, 11268.00, 11268.00, 11268.00, 11268.00
'26/12/2012', 11234.00, 11234.00, 11234.00, 11234.00, 11234.00, 11234.00
'21/12/2012', 11318.00, 11318.00, 11318.00, 11318.00, 11318.00, 11318.00
'20/12/2012', 11470.00, 11470.00, 11470.00, 11470.00, 11470.00, 11470.00
'19/12/2012', 11490.00, 11490.00, 11490.00, 11490.00, 11490.00, 11490.00
'18/12/2012', 11208.00, 11208.00, 11208.00, 11208.00, 11208.00, 11208.00
'17/12/2012', 10985.00, 10985.00, 10985.00, 10985.00, 10985.00, 10985.00
'14/12/2012', 10833.00, 10833.00, 10833.00, 10833.00, 10833.00, 10833.00
'13/12/2012', 10771.00, 10771.00, 10771.00, 10771.00, 10771.00, 10771.00
'12/12/2012', 10564.00, 10564.00, 10564.00, 10564.00, 10564.00, 10564.00
'11/12/2012', 10587.00, 10587.00, 10587.00, 10587.00, 10587.00, 10587.00
'10/12/2012', 10614.00, 10614.00, 10614.00, 10614.00, 10614.00, 10614.00
'07/12/2012', 10331.00, 10331.00, 10331.00, 10331.00, 10331.00, 10331.00
'06/12/2012', 10339.00, 10339.00, 10339.00, 10339.00, 10339.00, 10339.00
'05/12/2012', 10569.00, 10569.00, 10569.00, 10569.00, 10569.00, 10569.00
'04/12/2012', 10413.00, 10413.00, 10413.00, 10413.00, 10413.00, 10413.00
'03/12/2012', 10640.00, 10640.00, 10640.00, 10640.00, 10640.00, 10640.00
'30/11/2012', 10663.00, 10663.00, 10663.00, 10663.00, 10663.00, 10663.00
'29/11/2012', 10674.00, 10674.00, 10674.00, 10674.00, 10674.00, 10674.00
'28/11/2012', 10509.00, 10509.00, 10509.00, 10509.00, 10509.00, 10509.00
'27/11/2012', 10239.00, 10239.00, 10239.00, 10239.00, 10239.00, 10239.00
'26/11/2012', 10226.00, 10226.00, 10226.00, 10226.00, 10226.00, 10226.00
'23/11/2012', 10132.00, 10132.00, 10132.00, 10132.00, 10132.00, 10132.00
'22/11/2012', 10246.00, 10246.00, 10246.00, 10246.00, 10246.00, 10246.00
'21/11/2012', 10404.00, 10404.00, 10404.00, 10404.00, 10404.00, 10404.00
'19/11/2012', 10289.00, 10289.00, 10289.00, 10289.00, 10289.00, 10289.00
'16/11/2012', 10088.00, 10088.00, 10088.00, 10088.00, 10088.00, 10088.00
'14/11/2012', 9971.00, 9971.00, 9971.00, 9971.00, 9971.00, 9971.00
'13/11/2012', 9971.00, 9971.00, 9971.00, 9971.00, 9971.00, 9971.00
'12/11/2012', 9884.00, 9884.00, 9884.00, 9884.00, 9884.00, 9884.00
'09/11/2012', 9764.00, 9764.00, 9764.00, 9764.00, 9764.00, 9764.00
'08/11/2012', 9721.00, 9721.00, 9721.00, 9721.00, 9721.00, 9721.00
'07/11/2012', 9886.00, 9886.00, 9886.00, 9886.00, 9886.00, 9886.00
'06/11/2012', 9860.00, 9860.00, 9860.00, 9860.00, 9860.00, 9860.00
'05/11/2012', 9799.00, 9799.00, 9799.00, 9799.00, 9799.00, 9799.00
'01/11/2012', 9703.00, 9703.00, 9703.00, 9703.00, 9703.00, 9703.00
'31/10/2012', 9861.00, 9861.00, 9861.00, 9861.00, 9861.00, 9861.00
'30/10/2012', 9913.00, 9913.00, 9913.00, 9913.00, 9913.00, 9913.00
'29/10/2012', 10140.00, 10140.00, 10140.00, 10140.00, 10140.00, 10140.00
'26/10/2012', 10168.00, 10168.00, 10168.00, 10168.00, 10168.00, 10168.00
'25/10/2012', 10069.00, 10069.00, 10069.00, 10069.00, 10069.00, 10069.00
'24/10/2012', 9601.00, 9601.00, 9601.00, 9601.00, 9601.00, 9601.00
'23/10/2012', 9574.00, 9574.00, 9574.00, 9574.00, 9574.00, 9574.00
'22/10/2012', 10015.00, 10015.00, 10015.00, 10015.00, 10015.00, 10015.00
'19/10/2012', 9799.00, 9799.00, 9799.00, 9799.00, 9799.00, 9799.00
'18/10/2012', 9840.00, 9840.00, 9840.00, 9840.00, 9840.00, 9840.00
'17/10/2012', 9331.00, 9331.00, 9331.00, 9331.00, 9331.00, 9331.00
'16/10/2012', 9128.00, 9128.00, 9128.00, 9128.00, 9128.00, 9128.00
'15/10/2012', 9022.00, 9022.00, 9022.00, 9022.00, 9022.00, 9022.00
'11/10/2012', 8902.00, 8902.00, 8902.00, 8902.00, 8902.00, 8902.00
'10/10/2012', 8371.00, 8371.00, 8371.00, 8371.00, 8371.00, 8371.00
'09/10/2012', 8507.00, 8507.00, 8507.00, 8507.00, 8507.00, 8507.00
'08/10/2012', 8451.00, 8451.00, 8451.00, 8451.00, 8451.00, 8451.00
'05/10/2012', 8855.00, 8855.00, 8855.00, 8855.00, 8855.00, 8855.00
'04/10/2012', 8866.00, 8866.00, 8866.00, 8866.00, 8866.00, 8866.00
'03/10/2012', 8715.00, 8715.00, 8715.00, 8715.00, 8715.00, 8715.00
'02/10/2012', 8847.00, 8847.00, 8847.00, 8847.00, 8847.00, 8847.00
'01/10/2012', 8863.00, 8863.00, 8863.00, 8863.00, 8863.00, 8863.00
'28/09/2012', 9260.00, 9260.00, 9260.00, 9260.00, 9260.00, 9260.00
'27/09/2012', 9140.00, 9140.00, 9140.00, 9140.00, 9140.00, 9140.00
'26/09/2012', 8820.00, 8820.00, 8820.00, 8820.00, 8820.00, 8820.00
'25/09/2012', 8998.00, 8998.00, 8998.00, 8998.00, 8998.00, 8998.00
'24/09/2012', 8623.00, 8623.00, 8623.00, 8623.00, 8623.00, 8623.00
'21/09/2012', 8716.00, 8716.00, 8716.00, 8716.00, 8716.00, 8716.00
'20/09/2012', 9199.00, 9199.00, 9199.00, 9199.00, 9199.00, 9199.00
'19/09/2012', 9228.00, 9228.00, 9228.00, 9228.00, 9228.00, 9228.00
'18/09/2012', 9148.00, 9148.00, 9148.00, 9148.00, 9148.00, 9148.00
'17/09/2012', 9264.00, 9264.00, 9264.00, 9264.00, 9264.00, 9264.00
'14/09/2012', 9585.00, 9585.00, 9585.00, 9585.00, 9585.00, 9585.00
'13/09/2012', 9372.00, 9372.00, 9372.00, 9372.00, 9372.00, 9372.00
'12/09/2012', 9505.00, 9505.00, 9505.00, 9505.00, 9505.00, 9505.00
'11/09/2012', 9650.00, 9650.00, 9650.00, 9650.00, 9650.00, 9650.00
'10/09/2012', 9831.00, 9831.00, 9831.00, 9831.00, 9831.00, 9831.00
'06/09/2012', 10181.00, 10181.00, 10181.00, 10181.00, 10181.00, 10181.00
'05/09/2012', 10173.00, 10173.00, 10173.00, 10173.00, 10173.00, 10173.00
'04/09/2012', 10182.00, 10182.00, 10182.00, 10182.00, 10182.00, 10182.00
'03/09/2012', 9960.00, 9960.00, 9960.00, 9960.00, 9960.00, 9960.00
'31/08/2012', 9954.00, 9954.00, 9954.00, 9954.00, 9954.00, 9954.00
'30/08/2012', 9717.00, 9717.00, 9717.00, 9717.00, 9717.00, 9717.00
'29/08/2012', 9723.00, 9723.00, 9723.00, 9723.00, 9723.00, 9723.00
'28/08/2012', 9997.00, 9997.00, 9997.00, 9997.00, 9997.00, 9997.00
'27/08/2012', 10136.00, 10136.00, 10136.00, 10136.00, 10136.00, 10136.00
'24/08/2012', 10378.00, 10378.00, 10378.00, 10378.00, 10378.00, 10378.00
'23/08/2012', 10382.00, 10382.00, 10382.00, 10382.00, 10382.00, 10382.00
'22/08/2012', 10455.00, 10455.00, 10455.00, 10455.00, 10455.00, 10455.00
'21/08/2012', 10380.00, 10380.00, 10380.00, 10380.00, 10380.00, 10380.00
'20/08/2012', 10372.00, 10372.00, 10372.00, 10372.00, 10372.00, 10372.00
'17/08/2012', 10098.00, 10098.00, 10098.00, 10098.00, 10098.00, 10098.00
'16/08/2012', 9676.00, 9676.00, 9676.00, 9676.00, 9676.00, 9676.00
'15/08/2012', 9703.00, 9703.00, 9703.00, 9703.00, 9703.00, 9703.00
'14/08/2012', 9438.00, 9438.00, 9438.00, 9438.00, 9438.00, 9438.00
'13/08/2012', 9263.00, 9263.00, 9263.00, 9263.00, 9263.00, 9263.00
'10/08/2012', 9417.00, 9417.00, 9417.00, 9417.00, 9417.00, 9417.00
'09/08/2012', 9526.00, 9526.00, 9526.00, 9526.00, 9526.00, 9526.00
'08/08/2012', 9183.00, 9183.00, 9183.00, 9183.00, 9183.00, 9183.00
'07/08/2012', 9343.00, 9343.00, 9343.00, 9343.00, 9343.00, 9343.00
'06/08/2012', 9444.00, 9444.00, 9444.00, 9444.00, 9444.00, 9444.00
'03/08/2012', 9724.00, 9724.00, 9724.00, 9724.00, 9724.00, 9724.00
'02/08/2012', 9986.00, 9986.00, 9986.00, 9986.00, 9986.00, 9986.00
'01/08/2012', 10316.00, 10316.00, 10316.00, 10316.00, 10316.00, 10316.00
'31/07/2012', 9870.00, 9870.00, 9870.00, 9870.00, 9870.00, 9870.00
'30/07/2012', 9755.00, 9755.00, 9755.00, 9755.00, 9755.00, 9755.00
'27/07/2012', 9470.00, 9470.00, 9470.00, 9470.00, 9470.00, 9470.00
