@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'03/12/2012', 5, 5, 5, 5, 5, 5
'01/11/2012', 5, 5, 5, 5, 5, 5
'01/10/2012', 5, 5, 5, 5, 5, 5
'03/09/2012', 5, 5, 5, 5, 5, 5
'01/08/2012', 5, 5, 5, 5, 5, 5
'02/07/2012', 5, 5, 5, 5, 5, 5
'01/06/2012', 5, 5, 5, 5, 5, 5
'02/05/2012', 5, 5, 5, 5, 5, 5
'02/04/2012', 5, 5, 5, 5, 5, 5
'01/03/2012', 5, 5, 5, 5, 5, 5
'01/02/2012', 5, 5, 5, 5, 5, 5
'02/01/2012', 5, 5, 5, 5, 5, 5
'01/12/2011', 5, 5, 5, 5, 5, 5
'01/11/2011', 5, 5, 5, 5, 5, 5
'03/10/2011', 5, 5, 5, 5, 5, 5
'01/09/2011', 5, 5, 5, 5, 5, 5
'01/08/2011', 5, 5, 5, 5, 5, 5
'01/07/2011', 5, 5, 5, 5, 5, 5
'01/06/2011', 5, 5, 5, 5, 5, 5
'02/05/2011', 5, 5, 5, 5, 5, 5
'01/04/2011', 5, 5, 5, 5, 5, 5
'01/03/2011', 5, 5, 5, 5, 5, 5
'01/02/2011', 5, 5, 5, 5, 5, 5
'03/01/2011', 5, 5, 5, 5, 5, 5
'01/12/2010', 5, 5, 5, 5, 5, 5
'01/11/2010', 5, 5, 5, 5, 5, 5
'01/10/2010', 5, 5, 5, 5, 5, 5
'01/09/2010', 5, 5, 5, 5, 5, 5
'02/08/2010', 5, 5, 5, 5, 5, 5
'01/07/2010', 5, 5, 5, 5, 5, 5
'01/06/2010', 5, 5, 5, 5, 5, 5
'03/05/2010', 5, 5, 5, 5, 5, 5
'01/04/2010', 5, 5, 5, 5, 5, 5
'01/03/2010', 5, 5, 5, 5, 5, 5
'01/02/2010', 5, 5, 5, 5, 5, 5
'04/01/2010', 5, 5, 5, 5, 5, 5
'01/12/2009', 5, 5, 5, 5, 5, 5
'03/11/2009', 5, 5, 5, 5, 5, 5
'01/10/2009', 5, 5, 5, 5, 5, 5
'01/09/2009', 5, 5, 5, 5, 5, 5
'03/08/2009', 5, 5, 5, 5, 5, 5
'01/07/2009', 5, 5, 5, 5, 5, 5
'01/06/2009', 5, 5, 5, 5, 5, 5
'04/05/2009', 5, 5, 5, 5, 5, 5
'01/04/2009', 5, 5, 5, 5, 5, 5
'02/03/2009', 5, 5, 5, 5, 5, 5
'02/02/2009', 5, 5, 5, 5, 5, 5
'02/01/2009', 5, 5, 5, 5, 5, 5
'01/12/2008', 5, 5, 5, 5, 5, 5
'03/11/2008', 5, 5, 5, 5, 5, 5
'01/10/2008', 5, 5, 5, 5, 5, 5
'01/09/2008', 5, 5, 5, 5, 5, 5
'01/08/2008', 5, 5, 5, 5, 5, 5
'01/07/2008', 5, 5, 5, 5, 5, 5
'02/06/2008', 5, 5, 5, 5, 5, 5
'02/05/2008', 5, 5, 5, 5, 5, 5
'01/04/2008', 5, 5, 5, 5, 5, 5
'03/03/2008', 5, 5, 5, 5, 5, 5
'01/02/2008', 5, 5, 5, 5, 5, 5
'02/01/2008', 5, 5, 5, 5, 5, 5
'03/12/2007', 5, 5, 5, 5, 5, 5
'01/11/2007', 5, 5, 5, 5, 5, 5
'01/10/2007', 5, 5, 5, 5, 5, 5
'03/09/2007', 5, 5, 5, 5, 5, 5
'01/08/2007', 5, 5, 5, 5, 5, 5
'02/07/2007', 5, 5, 5, 5, 5, 5
'01/06/2007', 5, 5, 5, 5, 5, 5
'02/05/2007', 5, 5, 5, 5, 5, 5
'02/04/2007', 5, 5, 5, 5, 5, 5
'01/03/2007', 5, 5, 5, 5, 5, 5
'01/02/2007', 5, 5, 5, 5, 5, 5
'02/01/2007', 5, 5, 5, 5, 5, 5
'01/12/2006', 5, 5, 5, 5, 5, 5
'01/11/2006', 5, 5, 5, 5, 5, 5
'02/10/2006', 5, 5, 5, 5, 5, 5
'01/09/2006', 5, 5, 5, 5, 5, 5
'01/08/2006', 5, 5, 5, 5, 5, 5
'03/07/2006', 5, 5, 5, 5, 5, 5
'01/06/2006', 5, 5, 5, 5, 5, 5
'02/05/2006', 5, 5, 5, 5, 5, 5
'03/04/2006', 5, 5, 5, 5, 5, 5
'01/03/2006', 5, 5, 5, 5, 5, 5
'01/02/2006', 5, 5, 5, 5, 5, 5
'02/01/2006', 5, 5, 5, 5, 5, 5
'01/12/2005', 5, 5, 5, 5, 5, 5
'01/11/2005', 5, 5, 5, 5, 5, 5
'03/10/2005', 5, 5, 5, 5, 5, 5
'01/09/2005', 5, 5, 5, 5, 5, 5
'01/08/2005', 5, 5, 5, 5, 5, 5
'01/07/2005', 5, 5, 5, 5, 5, 5
'01/06/2005', 5, 5, 5, 5, 5, 5
'02/05/2005', 5, 5, 5, 5, 5, 5
'01/04/2005', 5, 5, 5, 5, 5, 5
'01/03/2005', 5, 5, 5, 5, 5, 5
'01/02/2005', 5, 5, 5, 5, 5, 5
'03/01/2005', 5, 5, 5, 5, 5, 5
'01/12/2004', 5, 5, 5, 5, 5, 5
'01/11/2004', 5, 5, 5, 5, 5, 5
'01/10/2004', 5, 5, 5, 5, 5, 5
'01/09/2004', 5, 5, 5, 5, 5, 5
'02/08/2004', 5, 5, 5, 5, 5, 5
'01/07/2004', 5, 5, 5, 5, 5, 5
'01/06/2004', 5, 5, 5, 5, 5, 5
'03/05/2004', 5, 5, 5, 5, 5, 5
'01/04/2004', 5, 5, 5, 5, 5, 5
'01/03/2004', 5, 5, 5, 5, 5, 5
'02/02/2004', 5, 5, 5, 5, 5, 5
'02/01/2004', 5, 5, 5, 5, 5, 5
'01/12/2003', 5, 5, 5, 5, 5, 5
'03/11/2003', 5, 5, 5, 5, 5, 5
'01/10/2003', 5, 5, 5, 5, 5, 5
'01/09/2003', 5, 5, 5, 5, 5, 5
'01/08/2003', 5, 5, 5, 5, 5, 5
'01/07/2003', 5, 5, 5, 5, 5, 5
'02/06/2003', 5, 5, 5, 5, 5, 5
'05/05/2003', 5, 5, 5, 5, 5, 5
'01/04/2003', 5, 5, 5, 5, 5, 5
'05/03/2003', 5, 5, 5, 5, 5, 5
'03/02/2003', 5, 5, 5, 5, 5, 5
'02/01/2003', 5, 5, 5, 5, 5, 5
'02/12/2002', 5, 5, 5, 5, 5, 5
'01/11/2002', 5, 5, 5, 5, 5, 5
'01/10/2002', 5, 5, 5, 5, 5, 5
'02/09/2002', 5, 5, 5, 5, 5, 5
'01/08/2002', 5, 5, 5, 5, 5, 5
'01/07/2002', 5, 5, 5, 5, 5, 5
'03/06/2002', 5, 5, 5, 5, 5, 5
'02/05/2002', 5, 5, 5, 5, 5, 5
'01/04/2002', 5, 5, 5, 5, 5, 5
'01/03/2002', 5, 5, 5, 5, 5, 5
'04/02/2002', 5, 5, 5, 5, 5, 5
'02/01/2002', 5, 5, 5, 5, 5, 5
'03/12/2001', 5, 5, 5, 5, 5, 5
'01/11/2001', 5, 5, 5, 5, 5, 5
'01/10/2001', 5, 5, 5, 5, 5, 5
'03/09/2001', 5, 5, 5, 5, 5, 5
'01/08/2001', 5, 5, 5, 5, 5, 5
'02/07/2001', 5, 5, 5, 5, 5, 5
'01/06/2001', 5, 5, 5, 5, 5, 5
'02/05/2001', 5, 5, 5, 5, 5, 5
'02/04/2001', 5, 5, 5, 5, 5, 5
'01/03/2001', 5, 5, 5, 5, 5, 5
'01/02/2001', 5, 5, 5, 5, 5, 5
'02/01/2001', 5, 5, 5, 5, 5, 5
'01/12/2000', 5, 5, 5, 5, 5, 5
'01/11/2000', 5, 5, 5, 5, 5, 5
'02/10/2000', 5, 5, 5, 5, 5, 5
'01/09/2000', 5, 5, 5, 5, 5, 5
'01/08/2000', 5, 5, 5, 5, 5, 5
'03/07/2000', 5, 5, 5, 5, 5, 5
'01/06/2000', 5, 5, 5, 5, 5, 5
'02/05/2000', 5, 5, 5, 5, 5, 5
'03/04/2000', 5, 5, 5, 5, 5, 5
'01/03/2000', 5, 5, 5, 5, 5, 5
'01/02/2000', 5, 5, 5, 5, 5, 5
'03/01/2000', 5, 5, 5, 5, 5, 5
'01/12/1999', 5, 5, 5, 5, 5, 5
'01/11/1999', 5, 5, 5, 5, 5, 5
'01/10/1999', 5, 5, 5, 5, 5, 5
'01/09/1999', 5, 5, 5, 5, 5, 5
'02/08/1999', 5, 5, 5, 5, 5, 5
'01/07/1999', 5, 5, 5, 5, 5, 5
'01/06/1999', 5, 5, 5, 5, 5, 5
'03/05/1999', 5, 5, 5, 5, 5, 5
'05/04/1999', 5, 5, 5, 5, 5, 5
'01/03/1999', 5, 5, 5, 5, 5, 5
'01/02/1999', 5, 5, 5, 5, 5, 5
'04/01/1999', 5, 5, 5, 5, 5, 5
'01/12/1998', 5, 5, 5, 5, 5, 5
'03/11/1998', 5, 5, 5, 5, 5, 5
'01/10/1998', 5, 5, 5, 5, 5, 5
'01/09/1998', 5, 5, 5, 5, 5, 5
'03/08/1998', 5, 5, 5, 5, 5, 5
'01/07/1998', 5, 5, 5, 5, 5, 5
'01/06/1998', 5, 5, 5, 5, 5, 5
'04/05/1998', 5, 5, 5, 5, 5, 5
'01/04/1998', 5, 5, 5, 5, 5, 5
'02/03/1998', 5, 5, 5, 5, 5, 5
'02/02/1998', 5, 5, 5, 5, 5, 5
'02/01/1998', 5, 5, 5, 5, 5, 5
'01/12/1997', 5, 5, 5, 5, 5, 5
'03/11/1997', 5, 5, 5, 5, 5, 5
'01/10/1997', 5, 5, 5, 5, 5, 5
'01/09/1997', 5, 5, 5, 5, 5, 5
'01/08/1997', 5, 5, 5, 5, 5, 5
'01/07/1997', 5, 5, 5, 5, 5, 5
'02/06/1997', 5, 5, 5, 5, 5, 5
'02/05/1997', 5, 5, 5, 5, 5, 5
'01/04/1997', 5, 5, 5, 5, 5, 5
'03/03/1997', 5, 5, 5, 5, 5, 5
'03/02/1997', 5, 5, 5, 5, 5, 5
'02/01/1997', 5, 5, 5, 5, 5, 5
'02/12/1996', 5, 5, 5, 5, 5, 5
'01/11/1996', 5, 5, 5, 5, 5, 5
'01/10/1996', 5, 5, 5, 5, 5, 5
'02/09/1996', 5, 5, 5, 5, 5, 5
'01/08/1996', 5, 5, 5, 5, 5, 5
'01/07/1996', 5, 5, 5, 5, 5, 5
'03/06/1996', 5, 5, 5, 5, 5, 5
'02/05/1996', 5, 5, 5, 5, 5, 5
'01/04/1996', 5, 5, 5, 5, 5, 5
