@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'28/12/2012', 18016.00, 18016.00, 18016.00, 18016.00, 18016.00, 18016.00
'27/12/2012', 17953.00, 17953.00, 17953.00, 17953.00, 17953.00, 17953.00
'26/12/2012', 17660.00, 17660.00, 17660.00, 17660.00, 17660.00, 17660.00
'21/12/2012', 17543.00, 17543.00, 17543.00, 17543.00, 17543.00, 17543.00
'20/12/2012', 17787.00, 17787.00, 17787.00, 17787.00, 17787.00, 17787.00
'19/12/2012', 17776.00, 17776.00, 17776.00, 17776.00, 17776.00, 17776.00
'18/12/2012', 17833.00, 17833.00, 17833.00, 17833.00, 17833.00, 17833.00
'17/12/2012', 17489.00, 17489.00, 17489.00, 17489.00, 17489.00, 17489.00
'14/12/2012', 17700.00, 17700.00, 17700.00, 17700.00, 17700.00, 17700.00
'13/12/2012', 17625.00, 17625.00, 17625.00, 17625.00, 17625.00, 17625.00
'12/12/2012', 17979.00, 17979.00, 17979.00, 17979.00, 17979.00, 17979.00
'11/12/2012', 18112.00, 18112.00, 18112.00, 18112.00, 18112.00, 18112.00
'10/12/2012', 17921.00, 17921.00, 17921.00, 17921.00, 17921.00, 17921.00
'07/12/2012', 17819.00, 17819.00, 17819.00, 17819.00, 17819.00, 17819.00
'06/12/2012', 18083.00, 18083.00, 18083.00, 18083.00, 18083.00, 18083.00
'05/12/2012', 18604.00, 18604.00, 18604.00, 18604.00, 18604.00, 18604.00
'04/12/2012', 18361.00, 18361.00, 18361.00, 18361.00, 18361.00, 18361.00
'03/12/2012', 18686.00, 18686.00, 18686.00, 18686.00, 18686.00, 18686.00
'30/11/2012', 18126.00, 18126.00, 18126.00, 18126.00, 18126.00, 18126.00
'29/11/2012', 17932.00, 17932.00, 17932.00, 17932.00, 17932.00, 17932.00
'28/11/2012', 17457.00, 17457.00, 17457.00, 17457.00, 17457.00, 17457.00
'27/11/2012', 16868.00, 16868.00, 16868.00, 16868.00, 16868.00, 16868.00
'26/11/2012', 16522.00, 16522.00, 16522.00, 16522.00, 16522.00, 16522.00
'23/11/2012', 16388.00, 16388.00, 16388.00, 16388.00, 16388.00, 16388.00
'22/11/2012', 16734.00, 16734.00, 16734.00, 16734.00, 16734.00, 16734.00
'21/11/2012', 17081.00, 17081.00, 17081.00, 17081.00, 17081.00, 17081.00
'19/11/2012', 17105.00, 17105.00, 17105.00, 17105.00, 17105.00, 17105.00
'16/11/2012', 16972.00, 16972.00, 16972.00, 16972.00, 16972.00, 16972.00
'14/11/2012', 17034.00, 17034.00, 17034.00, 17034.00, 17034.00, 17034.00
'13/11/2012', 17177.00, 17177.00, 17177.00, 17177.00, 17177.00, 17177.00
