% 3*i - 4
@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'03/12/2012', 599, 599, 599, 599, 599, 599
'01/11/2012', 596, 596, 596, 596, 596, 596
'01/10/2012', 593, 593, 593, 593, 593, 593
'03/09/2012', 590, 590, 590, 590, 590, 590
'01/08/2012', 587, 587, 587, 587, 587, 587
'02/07/2012', 584, 584, 584, 584, 584, 584
'01/06/2012', 581, 581, 581, 581, 581, 581
'02/05/2012', 578, 578, 578, 578, 578, 578
'02/04/2012', 575, 575, 575, 575, 575, 575
'01/03/2012', 572, 572, 572, 572, 572, 572
'01/02/2012', 569, 569, 569, 569, 569, 569
'02/01/2012', 566, 566, 566, 566, 566, 566
'01/12/2011', 563, 563, 563, 563, 563, 563
'01/11/2011', 560, 560, 560, 560, 560, 560
'03/10/2011', 557, 557, 557, 557, 557, 557
'01/09/2011', 554, 554, 554, 554, 554, 554
'01/08/2011', 551, 551, 551, 551, 551, 551
'01/07/2011', 548, 548, 548, 548, 548, 548
'01/06/2011', 545, 545, 545, 545, 545, 545
'02/05/2011', 542, 542, 542, 542, 542, 542
'01/04/2011', 539, 539, 539, 539, 539, 539
'01/03/2011', 536, 536, 536, 536, 536, 536
'01/02/2011', 533, 533, 533, 533, 533, 533
'03/01/2011', 530, 530, 530, 530, 530, 530
'01/12/2010', 527, 527, 527, 527, 527, 527
'01/11/2010', 524, 524, 524, 524, 524, 524
'01/10/2010', 521, 521, 521, 521, 521, 521
'01/09/2010', 518, 518, 518, 518, 518, 518
'02/08/2010', 515, 515, 515, 515, 515, 515
'01/07/2010', 512, 512, 512, 512, 512, 512
'01/06/2010', 509, 509, 509, 509, 509, 509
'03/05/2010', 506, 506, 506, 506, 506, 506
'01/04/2010', 503, 503, 503, 503, 503, 503
'01/03/2010', 500, 500, 500, 500, 500, 500
'01/02/2010', 497, 497, 497, 497, 497, 497
'04/01/2010', 494, 494, 494, 494, 494, 494
'01/12/2009', 491, 491, 491, 491, 491, 491
'03/11/2009', 488, 488, 488, 488, 488, 488
'01/10/2009', 485, 485, 485, 485, 485, 485
'01/09/2009', 482, 482, 482, 482, 482, 482
'03/08/2009', 479, 479, 479, 479, 479, 479
'01/07/2009', 476, 476, 476, 476, 476, 476
'01/06/2009', 473, 473, 473, 473, 473, 473
'04/05/2009', 470, 470, 470, 470, 470, 470
'01/04/2009', 467, 467, 467, 467, 467, 467
'02/03/2009', 464, 464, 464, 464, 464, 464
'02/02/2009', 461, 461, 461, 461, 461, 461
'02/01/2009', 458, 458, 458, 458, 458, 458
'01/12/2008', 455, 455, 455, 455, 455, 455
'03/11/2008', 452, 452, 452, 452, 452, 452
'01/10/2008', 449, 449, 449, 449, 449, 449
'01/09/2008', 446, 446, 446, 446, 446, 446
'01/08/2008', 443, 443, 443, 443, 443, 443
'01/07/2008', 440, 440, 440, 440, 440, 440
'02/06/2008', 437, 437, 437, 437, 437, 437
'02/05/2008', 434, 434, 434, 434, 434, 434
'01/04/2008', 431, 431, 431, 431, 431, 431
'03/03/2008', 428, 428, 428, 428, 428, 428
'01/02/2008', 425, 425, 425, 425, 425, 425
'02/01/2008', 422, 422, 422, 422, 422, 422
'03/12/2007', 419, 419, 419, 419, 419, 419
'01/11/2007', 416, 416, 416, 416, 416, 416
'01/10/2007', 413, 413, 413, 413, 413, 413
'03/09/2007', 410, 410, 410, 410, 410, 410
'01/08/2007', 407, 407, 407, 407, 407, 407
'02/07/2007', 404, 404, 404, 404, 404, 404
'01/06/2007', 401, 401, 401, 401, 401, 401
'02/05/2007', 398, 398, 398, 398, 398, 398
'02/04/2007', 395, 395, 395, 395, 395, 395
'01/03/2007', 392, 392, 392, 392, 392, 392
'01/02/2007', 389, 389, 389, 389, 389, 389
'02/01/2007', 386, 386, 386, 386, 386, 386
'01/12/2006', 383, 383, 383, 383, 383, 383
'01/11/2006', 380, 380, 380, 380, 380, 380
'02/10/2006', 377, 377, 377, 377, 377, 377
'01/09/2006', 374, 374, 374, 374, 374, 374
'01/08/2006', 371, 371, 371, 371, 371, 371
'03/07/2006', 368, 368, 368, 368, 368, 368
'01/06/2006', 365, 365, 365, 365, 365, 365
'02/05/2006', 362, 362, 362, 362, 362, 362
'03/04/2006', 359, 359, 359, 359, 359, 359
'01/03/2006', 356, 356, 356, 356, 356, 356
'01/02/2006', 353, 353, 353, 353, 353, 353
'02/01/2006', 350, 350, 350, 350, 350, 350
'01/12/2005', 347, 347, 347, 347, 347, 347
'01/11/2005', 344, 344, 344, 344, 344, 344
'03/10/2005', 341, 341, 341, 341, 341, 341
'01/09/2005', 338, 338, 338, 338, 338, 338
'01/08/2005', 335, 335, 335, 335, 335, 335
'01/07/2005', 332, 332, 332, 332, 332, 332
'01/06/2005', 329, 329, 329, 329, 329, 329
'02/05/2005', 326, 326, 326, 326, 326, 326
'01/04/2005', 323, 323, 323, 323, 323, 323
'01/03/2005', 320, 320, 320, 320, 320, 320
'01/02/2005', 317, 317, 317, 317, 317, 317
'03/01/2005', 314, 314, 314, 314, 314, 314
'01/12/2004', 311, 311, 311, 311, 311, 311
'01/11/2004', 308, 308, 308, 308, 308, 308
'01/10/2004', 305, 305, 305, 305, 305, 305
'01/09/2004', 302, 302, 302, 302, 302, 302
'02/08/2004', 299, 299, 299, 299, 299, 299
'01/07/2004', 296, 296, 296, 296, 296, 296
'01/06/2004', 293, 293, 293, 293, 293, 293
'03/05/2004', 290, 290, 290, 290, 290, 290
'01/04/2004', 287, 287, 287, 287, 287, 287
'01/03/2004', 284, 284, 284, 284, 284, 284
'02/02/2004', 281, 281, 281, 281, 281, 281
'02/01/2004', 278, 278, 278, 278, 278, 278
'01/12/2003', 275, 275, 275, 275, 275, 275
'03/11/2003', 272, 272, 272, 272, 272, 272
'01/10/2003', 269, 269, 269, 269, 269, 269
'01/09/2003', 266, 266, 266, 266, 266, 266
'01/08/2003', 263, 263, 263, 263, 263, 263
'01/07/2003', 260, 260, 260, 260, 260, 260
'02/06/2003', 257, 257, 257, 257, 257, 257
'05/05/2003', 254, 254, 254, 254, 254, 254
'01/04/2003', 251, 251, 251, 251, 251, 251
'05/03/2003', 248, 248, 248, 248, 248, 248
'03/02/2003', 245, 245, 245, 245, 245, 245
'02/01/2003', 242, 242, 242, 242, 242, 242
'02/12/2002', 239, 239, 239, 239, 239, 239
'01/11/2002', 236, 236, 236, 236, 236, 236
'01/10/2002', 233, 233, 233, 233, 233, 233
'02/09/2002', 230, 230, 230, 230, 230, 230
'01/08/2002', 227, 227, 227, 227, 227, 227
'01/07/2002', 224, 224, 224, 224, 224, 224
'03/06/2002', 221, 221, 221, 221, 221, 221
'02/05/2002', 218, 218, 218, 218, 218, 218
'01/04/2002', 215, 215, 215, 215, 215, 215
'01/03/2002', 212, 212, 212, 212, 212, 212
'04/02/2002', 209, 209, 209, 209, 209, 209
'02/01/2002', 206, 206, 206, 206, 206, 206
'03/12/2001', 203, 203, 203, 203, 203, 203
'01/11/2001', 200, 200, 200, 200, 200, 200
'01/10/2001', 197, 197, 197, 197, 197, 197
'03/09/2001', 194, 194, 194, 194, 194, 194
'01/08/2001', 191, 191, 191, 191, 191, 191
'02/07/2001', 188, 188, 188, 188, 188, 188
'01/06/2001', 185, 185, 185, 185, 185, 185
'02/05/2001', 182, 182, 182, 182, 182, 182
'02/04/2001', 179, 179, 179, 179, 179, 179
'01/03/2001', 176, 176, 176, 176, 176, 176
'01/02/2001', 173, 173, 173, 173, 173, 173
'02/01/2001', 170, 170, 170, 170, 170, 170
'01/12/2000', 167, 167, 167, 167, 167, 167
'01/11/2000', 164, 164, 164, 164, 164, 164
'02/10/2000', 161, 161, 161, 161, 161, 161
'01/09/2000', 158, 158, 158, 158, 158, 158
'01/08/2000', 155, 155, 155, 155, 155, 155
'03/07/2000', 152, 152, 152, 152, 152, 152
'01/06/2000', 149, 149, 149, 149, 149, 149
'02/05/2000', 146, 146, 146, 146, 146, 146
'03/04/2000', 143, 143, 143, 143, 143, 143
'01/03/2000', 140, 140, 140, 140, 140, 140
'01/02/2000', 137, 137, 137, 137, 137, 137
'03/01/2000', 134, 134, 134, 134, 134, 134
'01/12/1999', 131, 131, 131, 131, 131, 131
'01/11/1999', 128, 128, 128, 128, 128, 128
'01/10/1999', 125, 125, 125, 125, 125, 125
'01/09/1999', 122, 122, 122, 122, 122, 122
'02/08/1999', 119, 119, 119, 119, 119, 119
'01/07/1999', 116, 116, 116, 116, 116, 116
'01/06/1999', 113, 113, 113, 113, 113, 113
'03/05/1999', 110, 110, 110, 110, 110, 110
'05/04/1999', 107, 107, 107, 107, 107, 107
'01/03/1999', 104, 104, 104, 104, 104, 104
'01/02/1999', 101, 101, 101, 101, 101, 101
'04/01/1999', 98, 98, 98, 98, 98, 98
'01/12/1998', 95, 95, 95, 95, 95, 95
'03/11/1998', 92, 92, 92, 92, 92, 92
'01/10/1998', 89, 89, 89, 89, 89, 89
