% -2*i + 400
@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'03/12/2012', -2, -2, -2, -2, -2, -2
'01/11/2012', 0, 0, 0, 0, 0, 0
'01/10/2012', 2, 2, 2, 2, 2, 2
'03/09/2012', 4, 4, 4, 4, 4, 4
'01/08/2012', 6, 6, 6, 6, 6, 6
'02/07/2012', 8, 8, 8, 8, 8, 8
'01/06/2012', 10, 10, 10, 10, 10, 10
'02/05/2012', 12, 12, 12, 12, 12, 12
'02/04/2012', 14, 14, 14, 14, 14, 14
'01/03/2012', 16, 16, 16, 16, 16, 16
'01/02/2012', 18, 18, 18, 18, 18, 18
'02/01/2012', 20, 20, 20, 20, 20, 20
'01/12/2011', 22, 22, 22, 22, 22, 22
'01/11/2011', 24, 24, 24, 24, 24, 24
'03/10/2011', 26, 26, 26, 26, 26, 26
'01/09/2011', 28, 28, 28, 28, 28, 28
'01/08/2011', 30, 30, 30, 30, 30, 30
'01/07/2011', 32, 32, 32, 32, 32, 32
'01/06/2011', 34, 34, 34, 34, 34, 34
'02/05/2011', 36, 36, 36, 36, 36, 36
'01/04/2011', 38, 38, 38, 38, 38, 38
'01/03/2011', 40, 40, 40, 40, 40, 40
'01/02/2011', 42, 42, 42, 42, 42, 42
'03/01/2011', 44, 44, 44, 44, 44, 44
'01/12/2010', 46, 46, 46, 46, 46, 46
'01/11/2010', 48, 48, 48, 48, 48, 48
'01/10/2010', 50, 50, 50, 50, 50, 50
'01/09/2010', 52, 52, 52, 52, 52, 52
'02/08/2010', 54, 54, 54, 54, 54, 54
'01/07/2010', 56, 56, 56, 56, 56, 56
'01/06/2010', 58, 58, 58, 58, 58, 58
'03/05/2010', 60, 60, 60, 60, 60, 60
'01/04/2010', 62, 62, 62, 62, 62, 62
'01/03/2010', 64, 64, 64, 64, 64, 64
'01/02/2010', 66, 66, 66, 66, 66, 66
'04/01/2010', 68, 68, 68, 68, 68, 68
'01/12/2009', 70, 70, 70, 70, 70, 70
'03/11/2009', 72, 72, 72, 72, 72, 72
'01/10/2009', 74, 74, 74, 74, 74, 74
'01/09/2009', 76, 76, 76, 76, 76, 76
'03/08/2009', 78, 78, 78, 78, 78, 78
'01/07/2009', 80, 80, 80, 80, 80, 80
'01/06/2009', 82, 82, 82, 82, 82, 82
'04/05/2009', 84, 84, 84, 84, 84, 84
'01/04/2009', 86, 86, 86, 86, 86, 86
'02/03/2009', 88, 88, 88, 88, 88, 88
'02/02/2009', 90, 90, 90, 90, 90, 90
'02/01/2009', 92, 92, 92, 92, 92, 92
'01/12/2008', 94, 94, 94, 94, 94, 94
'03/11/2008', 96, 96, 96, 96, 96, 96
'01/10/2008', 98, 98, 98, 98, 98, 98
'01/09/2008', 100, 100, 100, 100, 100, 100
'01/08/2008', 102, 102, 102, 102, 102, 102
'01/07/2008', 104, 104, 104, 104, 104, 104
'02/06/2008', 106, 106, 106, 106, 106, 106
'02/05/2008', 108, 108, 108, 108, 108, 108
'01/04/2008', 110, 110, 110, 110, 110, 110
'03/03/2008', 112, 112, 112, 112, 112, 112
