% (i*i*i) + (3*i*i) - 3*i - 1
@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'03/12/2012', -2067792, -2067792, -2067792, -2067792, -2067792, -2067792
'01/11/2012', -2007019, -2007019, -2007019, -2007019, -2007019, -2007019
'01/10/2012', -1947448, -1947448, -1947448, -1947448, -1947448, -1947448
'03/09/2012', -1889067, -1889067, -1889067, -1889067, -1889067, -1889067
'01/08/2012', -1831864, -1831864, -1831864, -1831864, -1831864, -1831864
'02/07/2012', -1775827, -1775827, -1775827, -1775827, -1775827, -1775827
'01/06/2012', -1720944, -1720944, -1720944, -1720944, -1720944, -1720944
'02/05/2012', -1667203, -1667203, -1667203, -1667203, -1667203, -1667203
'02/04/2012', -1614592, -1614592, -1614592, -1614592, -1614592, -1614592
'01/03/2012', -1563099, -1563099, -1563099, -1563099, -1563099, -1563099
'01/02/2012', -1512712, -1512712, -1512712, -1512712, -1512712, -1512712
'02/01/2012', -1463419, -1463419, -1463419, -1463419, -1463419, -1463419
'01/12/2011', -1415208, -1415208, -1415208, -1415208, -1415208, -1415208
'01/11/2011', -1368067, -1368067, -1368067, -1368067, -1368067, -1368067
'03/10/2011', -1321984, -1321984, -1321984, -1321984, -1321984, -1321984
'01/09/2011', -1276947, -1276947, -1276947, -1276947, -1276947, -1276947
'01/08/2011', -1232944, -1232944, -1232944, -1232944, -1232944, -1232944
'01/07/2011', -1189963, -1189963, -1189963, -1189963, -1189963, -1189963
'01/06/2011', -1147992, -1147992, -1147992, -1147992, -1147992, -1147992
'02/05/2011', -1107019, -1107019, -1107019, -1107019, -1107019, -1107019
'01/04/2011', -1067032, -1067032, -1067032, -1067032, -1067032, -1067032
'01/03/2011', -1028019, -1028019, -1028019, -1028019, -1028019, -1028019
'01/02/2011', -989968, -989968, -989968, -989968, -989968, -989968
'03/01/2011', -952867, -952867, -952867, -952867, -952867, -952867
'01/12/2010', -916704, -916704, -916704, -916704, -916704, -916704
'01/11/2010', -881467, -881467, -881467, -881467, -881467, -881467
'01/10/2010', -847144, -847144, -847144, -847144, -847144, -847144
'01/09/2010', -813723, -813723, -813723, -813723, -813723, -813723
'02/08/2010', -781192, -781192, -781192, -781192, -781192, -781192
'01/07/2010', -749539, -749539, -749539, -749539, -749539, -749539
'01/06/2010', -718752, -718752, -718752, -718752, -718752, -718752
'03/05/2010', -688819, -688819, -688819, -688819, -688819, -688819
'01/04/2010', -659728, -659728, -659728, -659728, -659728, -659728
'01/03/2010', -631467, -631467, -631467, -631467, -631467, -631467
'01/02/2010', -604024, -604024, -604024, -604024, -604024, -604024
'04/01/2010', -577387, -577387, -577387, -577387, -577387, -577387
'01/12/2009', -551544, -551544, -551544, -551544, -551544, -551544
'03/11/2009', -526483, -526483, -526483, -526483, -526483, -526483
'01/10/2009', -502192, -502192, -502192, -502192, -502192, -502192
'01/09/2009', -478659, -478659, -478659, -478659, -478659, -478659
'03/08/2009', -455872, -455872, -455872, -455872, -455872, -455872
'01/07/2009', -433819, -433819, -433819, -433819, -433819, -433819
'01/06/2009', -412488, -412488, -412488, -412488, -412488, -412488
'04/05/2009', -391867, -391867, -391867, -391867, -391867, -391867
'01/04/2009', -371944, -371944, -371944, -371944, -371944, -371944
'02/03/2009', -352707, -352707, -352707, -352707, -352707, -352707
'02/02/2009', -334144, -334144, -334144, -334144, -334144, -334144
'02/01/2009', -316243, -316243, -316243, -316243, -316243, -316243
'01/12/2008', -298992, -298992, -298992, -298992, -298992, -298992
'03/11/2008', -282379, -282379, -282379, -282379, -282379, -282379
'01/10/2008', -266392, -266392, -266392, -266392, -266392, -266392
'01/09/2008', -251019, -251019, -251019, -251019, -251019, -251019
'01/08/2008', -236248, -236248, -236248, -236248, -236248, -236248
'01/07/2008', -222067, -222067, -222067, -222067, -222067, -222067
'02/06/2008', -208464, -208464, -208464, -208464, -208464, -208464
'02/05/2008', -195427, -195427, -195427, -195427, -195427, -195427
'01/04/2008', -182944, -182944, -182944, -182944, -182944, -182944
'03/03/2008', -171003, -171003, -171003, -171003, -171003, -171003
'01/02/2008', -159592, -159592, -159592, -159592, -159592, -159592
'02/01/2008', -148699, -148699, -148699, -148699, -148699, -148699
'03/12/2007', -138312, -138312, -138312, -138312, -138312, -138312
'01/11/2007', -128419, -128419, -128419, -128419, -128419, -128419
'01/10/2007', -119008, -119008, -119008, -119008, -119008, -119008
'03/09/2007', -110067, -110067, -110067, -110067, -110067, -110067
'01/08/2007', -101584, -101584, -101584, -101584, -101584, -101584
'02/07/2007', -93547, -93547, -93547, -93547, -93547, -93547
'01/06/2007', -85944, -85944, -85944, -85944, -85944, -85944
'02/05/2007', -78763, -78763, -78763, -78763, -78763, -78763
'02/04/2007', -71992, -71992, -71992, -71992, -71992, -71992
'01/03/2007', -65619, -65619, -65619, -65619, -65619, -65619
'01/02/2007', -59632, -59632, -59632, -59632, -59632, -59632
'02/01/2007', -54019, -54019, -54019, -54019, -54019, -54019
'01/12/2006', -48768, -48768, -48768, -48768, -48768, -48768
'01/11/2006', -43867, -43867, -43867, -43867, -43867, -43867
'02/10/2006', -39304, -39304, -39304, -39304, -39304, -39304
'01/09/2006', -35067, -35067, -35067, -35067, -35067, -35067
'01/08/2006', -31144, -31144, -31144, -31144, -31144, -31144
'03/07/2006', -27523, -27523, -27523, -27523, -27523, -27523
'01/06/2006', -24192, -24192, -24192, -24192, -24192, -24192
'02/05/2006', -21139, -21139, -21139, -21139, -21139, -21139
'03/04/2006', -18352, -18352, -18352, -18352, -18352, -18352
'01/03/2006', -15819, -15819, -15819, -15819, -15819, -15819
'01/02/2006', -13528, -13528, -13528, -13528, -13528, -13528
'02/01/2006', -11467, -11467, -11467, -11467, -11467, -11467
'01/12/2005', -9624, -9624, -9624, -9624, -9624, -9624
'01/11/2005', -7987, -7987, -7987, -7987, -7987, -7987
'03/10/2005', -6544, -6544, -6544, -6544, -6544, -6544
'01/09/2005', -5283, -5283, -5283, -5283, -5283, -5283
'01/08/2005', -4192, -4192, -4192, -4192, -4192, -4192
'01/07/2005', -3259, -3259, -3259, -3259, -3259, -3259
'01/06/2005', -2472, -2472, -2472, -2472, -2472, -2472
'02/05/2005', -1819, -1819, -1819, -1819, -1819, -1819
'01/04/2005', -1288, -1288, -1288, -1288, -1288, -1288
'01/03/2005', -867, -867, -867, -867, -867, -867
'01/02/2005', -544, -544, -544, -544, -544, -544
'03/01/2005', -307, -307, -307, -307, -307, -307
'01/12/2004', -144, -144, -144, -144, -144, -144
