@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/2008", 1144.664378565, 1144.664378565, 1144.664378565, 1144.664378565, 1144.664378565, 1144.664378565
"01/02/2008", 1141.7148831269, 1141.7148831269, 1141.7148831269, 1141.7148831269, 1141.7148831269, 1141.7148831269
"01/03/2008", 1227.8815256907, 1227.8815256907, 1227.8815256907, 1227.8815256907, 1227.8815256907, 1227.8815256907
"01/04/2008", 1275.903463799, 1275.903463799, 1275.903463799, 1275.903463799, 1275.903463799, 1275.903463799
"01/05/2008", 1324.0958255445, 1324.0958255445, 1324.0958255445, 1324.0958255445, 1324.0958255445, 1324.0958255445
"01/06/2008", 1355.3036485731, 1355.3036485731, 1355.3036485731, 1355.3036485731, 1355.3036485731, 1355.3036485731
"01/07/2008", 1425.7904582244, 1425.7904582244, 1425.7904582244, 1425.7904582244, 1425.7904582244, 1425.7904582244
"01/08/2008", 1464.437008768, 1464.437008768, 1464.437008768, 1464.437008768, 1464.437008768, 1464.437008768
"01/09/2008", 1518.0787528854, 1518.0787528854, 1518.0787528854, 1518.0787528854, 1518.0787528854, 1518.0787528854
"01/10/2008", 1574.7441269106, 1574.7441269106, 1574.7441269106, 1574.7441269106, 1574.7441269106, 1574.7441269106
"01/11/2008", 1545.5693556591, 1545.5693556591, 1545.5693556591, 1545.5693556591, 1545.5693556591, 1545.5693556591
"01/12/2008", 1573.6426953637, 1573.6426953637, 1573.6426953637, 1573.6426953637, 1573.6426953637, 1573.6426953637
"01/01/2009", 1596.9431395219, 1596.9431395219, 1596.9431395219, 1596.9431395219, 1596.9431395219, 1596.9431395219
"01/02/2009", 1643.6900182117, 1643.6900182117, 1643.6900182117, 1643.6900182117, 1643.6900182117, 1643.6900182117
"01/03/2009", 1830.2449530996, 1830.2449530996, 1830.2449530996, 1830.2449530996, 1830.2449530996, 1830.2449530996
"01/04/2009", 2167.8197964042, 2167.8197964042, 2167.8197964042, 2167.8197964042, 2167.8197964042, 2167.8197964042
"01/05/2009", 2358.0248735446, 2358.0248735446, 2358.0248735446, 2358.0248735446, 2358.0248735446, 2358.0248735446
"01/06/2009", 2553.3121304091, 2553.3121304091, 2553.3121304091, 2553.3121304091, 2553.3121304091, 2553.3121304091
"01/07/2009", 2602.5785854956, 2602.5785854956, 2602.5785854956, 2602.5785854956, 2602.5785854956, 2602.5785854956
"01/08/2009", 2604.3326754409, 2604.3326754409, 2604.3326754409, 2604.3326754409, 2604.3326754409, 2604.3326754409
"01/09/2009", 2837.3575008993, 2837.3575008993, 2837.3575008993, 2837.3575008993, 2837.3575008993, 2837.3575008993
"01/10/2009", 2938.0627522993, 2938.0627522993, 2938.0627522993, 2938.0627522993, 2938.0627522993, 2938.0627522993
"01/11/2009", 2831.9524665886, 2831.9524665886, 2831.9524665886, 2831.9524665886, 2831.9524665886, 2831.9524665886
"01/12/2009", 2920.5119200525, 2920.5119200525, 2920.5119200525, 2920.5119200525, 2920.5119200525, 2920.5119200525
"01/01/2010", 2861.4110661373, 2861.4110661373, 2861.4110661373, 2861.4110661373, 2861.4110661373, 2861.4110661373
"01/02/2010", 2907.9352048563, 2907.9352048563, 2907.9352048563, 2907.9352048563, 2907.9352048563, 2907.9352048563
"01/03/2010", 3060.6556908562, 3060.6556908562, 3060.6556908562, 3060.6556908562, 3060.6556908562, 3060.6556908562
"01/04/2010", 3367.6285424359, 3367.6285424359, 3367.6285424359, 3367.6285424359, 3367.6285424359, 3367.6285424359
"01/05/2010", 3430.4405919501, 3430.4405919501, 3430.4405919501, 3430.4405919501, 3430.4405919501, 3430.4405919501
"01/06/2010", 3569.6515332795, 3569.6515332795, 3569.6515332795, 3569.6515332795, 3569.6515332795, 3569.6515332795
"01/07/2010", 3734.4473808128, 3734.4473808128, 3734.4473808128, 3734.4473808128, 3734.4473808128, 3734.4473808128
"01/08/2010", 4129.2384844206, 4129.2384844206, 4129.2384844206, 4129.2384844206, 4129.2384844206, 4129.2384844206
"01/09/2010", 4413.6550357368, 4413.6550357368, 4413.6550357368, 4413.6550357368, 4413.6550357368, 4413.6550357368
"01/10/2010", 4496.0942134769, 4496.0942134769, 4496.0942134769, 4496.0942134769, 4496.0942134769, 4496.0942134769
"01/11/2010", 4815.329627023, 4815.329627023, 4815.329627023, 4815.329627023, 4815.329627023, 4815.329627023
"01/12/2010", 4983.2411436275, 4983.2411436275, 4983.2411436275, 4983.2411436275, 4983.2411436275, 4983.2411436275
"01/01/2011", 4833.4535453352, 4833.4535453352, 4833.4535453352, 4833.4535453352, 4833.4535453352, 4833.4535453352
"01/02/2011", 4813.4354877398, 4813.4354877398, 4813.4354877398, 4813.4354877398, 4813.4354877398, 4813.4354877398
"01/03/2011", 4782.800214202, 4782.800214202, 4782.800214202, 4782.800214202, 4782.800214202, 4782.800214202
"01/04/2011", 4638.0640523909, 4638.0640523909, 4638.0640523909, 4638.0640523909, 4638.0640523909, 4638.0640523909
"01/05/2011", 4657.9026936596, 4657.9026936596, 4657.9026936596, 4657.9026936596, 4657.9026936596, 4657.9026936596
