@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"04/01/1993", 370.56, 370.56, 370.56, 370.56, 370.56, 370.56
"01/02/1993", 351.14, 351.14, 351.14, 351.14, 351.14, 351.14
"01/03/1993", 359.42, 359.42, 359.42, 359.42, 359.42, 359.42
"01/04/1993", 339.94, 339.94, 339.94, 339.94, 339.94, 339.94
"03/05/1993", 368.11, 368.11, 368.11, 368.11, 368.11, 368.11
"01/06/1993", 366.12, 366.12, 366.12, 366.12, 366.12, 366.12
"01/07/1993", 352.86, 352.86, 352.86, 352.86, 352.86, 352.86
"02/08/1993", 372.65, 372.65, 372.65, 372.65, 372.65, 372.65
"01/09/1993", 382.71, 382.71, 382.71, 382.71, 382.71, 382.71
"01/10/1993", 390.98, 390.98, 390.98, 390.98, 390.98, 390.98
"01/11/1993", 386.76, 386.76, 386.76, 386.76, 386.76, 386.76
"01/12/1993", 398.28, 398.28, 398.28, 398.28, 398.28, 398.28
"03/01/1994", 413.99, 413.99, 413.99, 413.99, 413.99, 413.99
"01/02/1994", 412.17, 412.17, 412.17, 412.17, 412.17, 412.17
"01/03/1994", 382.96, 382.96, 382.96, 382.96, 382.96, 382.96
"04/04/1994", 373.25, 373.25, 373.25, 373.25, 373.25, 373.25
"02/05/1994", 378.85, 378.85, 378.85, 378.85, 378.85, 378.85
"01/06/1994", 360.3, 360.3, 360.3, 360.3, 360.3, 360.3
"01/07/1994", 370.16, 370.16, 370.16, 370.16, 370.16, 370.16
"01/08/1994", 397.9, 397.9, 397.9, 397.9, 397.9, 397.9
"01/09/1994", 393.85, 393.85, 393.85, 393.85, 393.85, 393.85
"03/10/1994", 413.05, 413.05, 413.05, 413.05, 413.05, 413.05
"01/11/1994", 404.82, 404.82, 404.82, 404.82, 404.82, 404.82
"01/12/1994", 404.27, 404.27, 404.27, 404.27, 404.27, 404.27
"03/01/1995", 405.33, 405.33, 405.33, 405.33, 405.33, 405.33
"01/02/1995", 432.5, 432.5, 432.5, 432.5, 432.5, 432.5
"01/03/1995", 447.15, 447.15, 447.15, 447.15, 447.15, 447.15
"03/04/1995", 469.56, 469.56, 469.56, 469.56, 469.56, 469.56
"01/05/1995", 488.1, 488.1, 488.1, 488.1, 488.1, 488.1
"01/06/1995", 538.03, 538.03, 538.03, 538.03, 538.03, 538.03
"03/07/1995", 568.88, 568.88, 568.88, 568.88, 568.88, 568.88
"01/08/1995", 576.77, 576.77, 576.77, 576.77, 576.77, 576.77
"01/09/1995", 585.08, 585.08, 585.08, 585.08, 585.08, 585.08
"02/10/1995", 598.78, 598.78, 598.78, 598.78, 598.78, 598.78
"01/11/1995", 593.72, 593.72, 593.72, 593.72, 593.72, 593.72
"01/12/1995", 576.23, 576.23, 576.23, 576.23, 576.23, 576.23
"02/01/1996", 591.82, 591.82, 591.82, 591.82, 591.82, 591.82
"01/02/1996", 622.83, 622.83, 622.83, 622.83, 622.83, 622.83
"01/03/1996", 609.69, 609.69, 609.69, 609.69, 609.69, 609.69
"01/04/1996", 666.73, 666.73, 666.73, 666.73, 666.73, 666.73
