@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/1999", 2, 2, 2, 2, 2, 2
"01/02/1999", 5, 5, 5, 5, 5, 5
"01/03/1999", 8, 8, 8, 8, 8, 8
"01/04/1999", 11, 11, 11, 11, 11, 11
"01/05/1999", 14, 14, 14, 14, 14, 14
"01/06/1999", 17, 17, 17, 17, 17, 17
"01/07/1999", 20, 20, 20, 20, 20, 20
"01/08/1999", 23, 23, 23, 23, 23, 23
"01/09/1999", 26, 26, 26, 26, 26, 26
"01/10/1999", 29, 29, 29, 29, 29, 29
"01/11/1999", 32, 32, 32, 32, 32, 32
"01/12/1999", 35, 35, 35, 35, 35, 35
"01/01/2000", 38, 38, 38, 38, 38, 38
"01/02/2000", 41, 41, 41, 41, 41, 41
"01/03/2000", 44, 44, 44, 44, 44, 44
"01/04/2000", 47, 47, 47, 47, 47, 47
"01/05/2000", 50, 50, 50, 50, 50, 50
"01/06/2000", 53, 53, 53, 53, 53, 53
"01/07/2000", 56, 56, 56, 56, 56, 56
"01/08/2000", 59, 59, 59, 59, 59, 59
"01/09/2000", 62, 62, 62, 62, 62, 62
"01/10/2000", 65, 65, 65, 65, 65, 65
"01/11/2000", 68, 68, 68, 68, 68, 68
"01/12/2000", 71, 71, 71, 71, 71, 71
"01/01/2001", 74, 74, 74, 74, 74, 74
"01/02/2001", 77, 77, 77, 77, 77, 77
"01/03/2001", 80, 80, 80, 80, 80, 80
"01/04/2001", 83, 83, 83, 83, 83, 83
"01/05/2001", 86, 86, 86, 86, 86, 86
"01/06/2001", 89, 89, 89, 89, 89, 89
"01/07/2001", 92, 92, 92, 92, 92, 92
"01/08/2001", 95, 95, 95, 95, 95, 95
"01/09/2001", 98, 98, 98, 98, 98, 98
"01/10/2001", 101, 101, 101, 101, 101, 101
"01/11/2001", 104, 104, 104, 104, 104, 104
"01/12/2001", 107, 107, 107, 107, 107, 107
"01/01/2002", 110, 110, 110, 110, 110, 110
"01/02/2002", 113, 113, 113, 113, 113, 113
"01/03/2002", 116, 116, 116, 116, 116, 116
"01/04/2002", 119, 119, 119, 119, 119, 119
"01/05/2002", 122, 122, 122, 122, 122, 122
"01/06/2002", 125, 125, 125, 125, 125, 125
"01/07/2002", 128, 128, 128, 128, 128, 128
"01/08/2002", 131, 131, 131, 131, 131, 131
"01/09/2002", 134, 134, 134, 134, 134, 134
"01/10/2002", 137, 137, 137, 137, 137, 137
"01/11/2002", 140, 140, 140, 140, 140, 140
"01/12/2002", 143, 143, 143, 143, 143, 143
