% -1*i*i + 201*i - 200
@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'03/12/2012', 50298, 50298, 50298, 50298, 50298, 50298
'01/11/2012', 49300, 49300, 49300, 49300, 49300, 49300
'01/10/2012', 48312, 48312, 48312, 48312, 48312, 48312
'03/09/2012', 47334, 47334, 47334, 47334, 47334, 47334
'01/08/2012', 46366, 46366, 46366, 46366, 46366, 46366
'02/07/2012', 45408, 45408, 45408, 45408, 45408, 45408
'01/06/2012', 44460, 44460, 44460, 44460, 44460, 44460
'02/05/2012', 43522, 43522, 43522, 43522, 43522, 43522
'02/04/2012', 42594, 42594, 42594, 42594, 42594, 42594
'01/03/2012', 41676, 41676, 41676, 41676, 41676, 41676
'01/02/2012', 40768, 40768, 40768, 40768, 40768, 40768
'02/01/2012', 39870, 39870, 39870, 39870, 39870, 39870
'01/12/2011', 38982, 38982, 38982, 38982, 38982, 38982
'01/11/2011', 38104, 38104, 38104, 38104, 38104, 38104
'03/10/2011', 37236, 37236, 37236, 37236, 37236, 37236
'01/09/2011', 36378, 36378, 36378, 36378, 36378, 36378
'01/08/2011', 35530, 35530, 35530, 35530, 35530, 35530
'01/07/2011', 34692, 34692, 34692, 34692, 34692, 34692
'01/06/2011', 33864, 33864, 33864, 33864, 33864, 33864
'02/05/2011', 33046, 33046, 33046, 33046, 33046, 33046
'01/04/2011', 32238, 32238, 32238, 32238, 32238, 32238
'01/03/2011', 31440, 31440, 31440, 31440, 31440, 31440
'01/02/2011', 30652, 30652, 30652, 30652, 30652, 30652
'03/01/2011', 29874, 29874, 29874, 29874, 29874, 29874
'01/12/2010', 29106, 29106, 29106, 29106, 29106, 29106
'01/11/2010', 28348, 28348, 28348, 28348, 28348, 28348
'01/10/2010', 27600, 27600, 27600, 27600, 27600, 27600
'01/09/2010', 26862, 26862, 26862, 26862, 26862, 26862
'02/08/2010', 26134, 26134, 26134, 26134, 26134, 26134
'01/07/2010', 25416, 25416, 25416, 25416, 25416, 25416
'01/06/2010', 24708, 24708, 24708, 24708, 24708, 24708
'03/05/2010', 24010, 24010, 24010, 24010, 24010, 24010
'01/04/2010', 23322, 23322, 23322, 23322, 23322, 23322
'01/03/2010', 22644, 22644, 22644, 22644, 22644, 22644
'01/02/2010', 21976, 21976, 21976, 21976, 21976, 21976
'04/01/2010', 21318, 21318, 21318, 21318, 21318, 21318
'01/12/2009', 20670, 20670, 20670, 20670, 20670, 20670
'03/11/2009', 20032, 20032, 20032, 20032, 20032, 20032
'01/10/2009', 19404, 19404, 19404, 19404, 19404, 19404
'01/09/2009', 18786, 18786, 18786, 18786, 18786, 18786
'03/08/2009', 18178, 18178, 18178, 18178, 18178, 18178
'01/07/2009', 17580, 17580, 17580, 17580, 17580, 17580
'01/06/2009', 16992, 16992, 16992, 16992, 16992, 16992
'04/05/2009', 16414, 16414, 16414, 16414, 16414, 16414
'01/04/2009', 15846, 15846, 15846, 15846, 15846, 15846
'02/03/2009', 15288, 15288, 15288, 15288, 15288, 15288
'02/02/2009', 14740, 14740, 14740, 14740, 14740, 14740
