@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/1960", 6.21, 6.21, 6.21, 6.21, 6.21, 6.21
"01/01/1961", 6.19, 6.19, 6.19, 6.19, 6.19, 6.19
"01/01/1962", 6.143, 6.143, 6.143, 6.143, 6.143, 6.143
"01/01/1963", 6.063, 6.063, 6.063, 6.063, 6.063, 6.063
"01/01/1964", 5.953, 5.953, 5.953, 5.953, 5.953, 5.953
"01/01/1965", 5.815, 5.815, 5.815, 5.815, 5.815, 5.815
"01/01/1966", 5.658, 5.658, 5.658, 5.658, 5.658, 5.658
"01/01/1967", 5.491, 5.491, 5.491, 5.491, 5.491, 5.491
"01/01/1968", 5.326, 5.326, 5.326, 5.326, 5.326, 5.326
"01/01/1969", 5.168, 5.168, 5.168, 5.168, 5.168, 5.168
"01/01/1970", 5.024, 5.024, 5.024, 5.024, 5.024, 5.024
"01/01/1971", 4.896, 4.896, 4.896, 4.896, 4.896, 4.896
"01/01/1972", 4.782, 4.782, 4.782, 4.782, 4.782, 4.782
"01/01/1973", 4.679, 4.679, 4.679, 4.679, 4.679, 4.679
"01/01/1974", 4.585, 4.585, 4.585, 4.585, 4.585, 4.585
"01/01/1975", 4.499, 4.499, 4.499, 4.499, 4.499, 4.499
"01/01/1976", 4.418, 4.418, 4.418, 4.418, 4.418, 4.418
"01/01/1977", 4.339, 4.339, 4.339, 4.339, 4.339, 4.339
"01/01/1978", 4.256, 4.256, 4.256, 4.256, 4.256, 4.256
"01/01/1979", 4.169, 4.169, 4.169, 4.169, 4.169, 4.169
"01/01/1980", 4.073, 4.073, 4.073, 4.073, 4.073, 4.073
"01/01/1981", 3.966, 3.966, 3.966, 3.966, 3.966, 3.966
"01/01/1982", 3.848, 3.848, 3.848, 3.848, 3.848, 3.848
"01/01/1983", 3.721, 3.721, 3.721, 3.721, 3.721, 3.721
"01/01/1984", 3.587, 3.587, 3.587, 3.587, 3.587, 3.587
"01/01/1985", 3.449, 3.449, 3.449, 3.449, 3.449, 3.449
"01/01/1986", 3.308, 3.308, 3.308, 3.308, 3.308, 3.308
"01/01/1987", 3.17, 3.17, 3.17, 3.17, 3.17, 3.17
"01/01/1988", 3.039, 3.039, 3.039, 3.039, 3.039, 3.039
"01/01/1989", 2.917, 2.917, 2.917, 2.917, 2.917, 2.917
"01/01/1990", 2.809, 2.809, 2.809, 2.809, 2.809, 2.809
"01/01/1991", 2.717, 2.717, 2.717, 2.717, 2.717, 2.717
"01/01/1992", 2.643, 2.643, 2.643, 2.643, 2.643, 2.643
"01/01/1993", 2.583, 2.583, 2.583, 2.583, 2.583, 2.583
"01/01/1994", 2.537, 2.537, 2.537, 2.537, 2.537, 2.537
"01/01/1995", 2.502, 2.502, 2.502, 2.502, 2.502, 2.502
"01/01/1996", 2.474, 2.474, 2.474, 2.474, 2.474, 2.474
"01/01/1997", 2.451, 2.451, 2.451, 2.451, 2.451, 2.451
"01/01/1998", 2.427, 2.427, 2.427, 2.427, 2.427, 2.427
"01/01/1999", 2.399, 2.399, 2.399, 2.399, 2.399, 2.399
"01/01/2000", 2.364, 2.364, 2.364, 2.364, 2.364, 2.364
"01/01/2001", 2.319, 2.319, 2.319, 2.319, 2.319, 2.319
"01/01/2002", 2.264, 2.264, 2.264, 2.264, 2.264, 2.264
"01/01/2003", 2.203, 2.203, 2.203, 2.203, 2.203, 2.203
"01/01/2004", 2.136, 2.136, 2.136, 2.136, 2.136, 2.136
"01/01/2005", 2.068, 2.068, 2.068, 2.068, 2.068, 2.068
"01/01/2006", 2.002, 2.002, 2.002, 2.002, 2.002, 2.002
"01/01/2007", 1.944, 1.944, 1.944, 1.944, 1.944, 1.944
"01/01/2008", 1.895, 1.895, 1.895, 1.895, 1.895, 1.895
"01/01/2009", 1.857, 1.857, 1.857, 1.857, 1.857, 1.857
"01/01/2010", 1.83, 1.83, 1.83, 1.83, 1.83, 1.83
"01/01/2011", 1.811, 1.811, 1.811, 1.811, 1.811, 1.811
