@relation TimeSeriesData
% FORMULA UTILIZADA 2X³ - 3x² + 2x² + 5x + 4

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
'03/12/2012', -1004003004, -1004003004, -1004003004, -1004003004, -1004003004, -1004003004
'01/11/2012', -1000998004, -1000998004, -1000998004, -1000998004, -1000998004, -1000998004
'01/10/2012', -997999006, -997999006, -997999006, -997999006, -997999006, -997999006
'03/09/2012', -995006004, -995006004, -995006004, -995006004, -995006004, -995006004
'01/08/2012', -992018992, -992018992, -992018992, -992018992, -992018992, -992018992
'02/07/2012', -989037964, -989037964, -989037964, -989037964, -989037964, -989037964
'01/06/2012', -986062914, -986062914, -986062914, -986062914, -986062914, -986062914
'02/05/2012', -983093836, -983093836, -983093836, -983093836, -983093836, -983093836
'02/04/2012', -980130724, -980130724, -980130724, -980130724, -980130724, -980130724
'01/03/2012', -977173572, -977173572, -977173572, -977173572, -977173572, -977173572
'01/02/2012', -974222374, -974222374, -974222374, -974222374, -974222374, -974222374
'02/01/2012', -971277124, -971277124, -971277124, -971277124, -971277124, -971277124
'01/12/2011', -968337816, -968337816, -968337816, -968337816, -968337816, -968337816
'01/11/2011', -965404444, -965404444, -965404444, -965404444, -965404444, -965404444
'03/10/2011', -962477002, -962477002, -962477002, -962477002, -962477002, -962477002
'01/09/2011', -959555484, -959555484, -959555484, -959555484, -959555484, -959555484
'01/08/2011', -956639884, -956639884, -956639884, -956639884, -956639884, -956639884
'01/07/2011', -953730196, -953730196, -953730196, -953730196, -953730196, -953730196
'01/06/2011', -950826414, -950826414, -950826414, -950826414, -950826414, -950826414
'02/05/2011', -947928532, -947928532, -947928532, -947928532, -947928532, -947928532
'01/04/2011', -945036544, -945036544, -945036544, -945036544, -945036544, -945036544
'01/03/2011', -942150444, -942150444, -942150444, -942150444, -942150444, -942150444
'01/02/2011', -939270226, -939270226, -939270226, -939270226, -939270226, -939270226
'03/01/2011', -936395884, -936395884, -936395884, -936395884, -936395884, -936395884
'01/12/2010', -933527412, -933527412, -933527412, -933527412, -933527412, -933527412
'01/11/2010', -930664804, -930664804, -930664804, -930664804, -930664804, -930664804
'01/10/2010', -927808054, -927808054, -927808054, -927808054, -927808054, -927808054
'01/09/2010', -924957156, -924957156, -924957156, -924957156, -924957156, -924957156
'02/08/2010', -922112104, -922112104, -922112104, -922112104, -922112104, -922112104
'01/07/2010', -919272892, -919272892, -919272892, -919272892, -919272892, -919272892
'01/06/2010', -916439514, -916439514, -916439514, -916439514, -916439514, -916439514
'03/05/2010', -913611964, -913611964, -913611964, -913611964, -913611964, -913611964
'01/04/2010', -910790236, -910790236, -910790236, -910790236, -910790236, -910790236
'01/03/2010', -907974324, -907974324, -907974324, -907974324, -907974324, -907974324
'01/02/2010', -905164222, -905164222, -905164222, -905164222, -905164222, -905164222
'04/01/2010', -902359924, -902359924, -902359924, -902359924, -902359924, -902359924
'01/12/2009', -899561424, -899561424, -899561424, -899561424, -899561424, -899561424
'03/11/2009', -896768716, -896768716, -896768716, -896768716, -896768716, -896768716
'01/10/2009', -893981794, -893981794, -893981794, -893981794, -893981794, -893981794
'01/09/2009', -891200652, -891200652, -891200652, -891200652, -891200652, -891200652
'03/08/2009', -888425284, -888425284, -888425284, -888425284, -888425284, -888425284
'01/07/2009', -885655684, -885655684, -885655684, -885655684, -885655684, -885655684
'01/06/2009', -882891846, -882891846, -882891846, -882891846, -882891846, -882891846
'04/05/2009', -880133764, -880133764, -880133764, -880133764, -880133764, -880133764
'01/04/2009', -877381432, -877381432, -877381432, -877381432, -877381432, -877381432
