@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/2008", 7261.6162324496, 7261.6162324496, 7261.6162324496, 7261.6162324496, 7261.6162324496, 7261.6162324496
"01/02/2008", 7258.8443836266, 7258.8443836266, 7258.8443836266, 7258.8443836266, 7258.8443836266, 7258.8443836266
"01/03/2008", 7250.5553015334, 7250.5553015334, 7250.5553015334, 7250.5553015334, 7250.5553015334, 7250.5553015334
"01/04/2008", 7562.5448164009, 7562.5448164009, 7562.5448164009, 7562.5448164009, 7562.5448164009, 7562.5448164009
"01/05/2008", 7880.9862245284, 7880.9862245284, 7880.9862245284, 7880.9862245284, 7880.9862245284, 7880.9862245284
"01/06/2008", 7946.3910200325, 7946.3910200325, 7946.3910200325, 7946.3910200325, 7946.3910200325, 7946.3910200325
"01/07/2008", 8305.0264647092, 8305.0264647092, 8305.0264647092, 8305.0264647092, 8305.0264647092, 8305.0264647092
"01/08/2008", 8221.2817261885, 8221.2817261885, 8221.2817261885, 8221.2817261885, 8221.2817261885, 8221.2817261885
"01/09/2008", 8391.2333639012, 8391.2333639012, 8391.2333639012, 8391.2333639012, 8391.2333639012, 8391.2333639012
"01/10/2008", 8216.204101808, 8216.204101808, 8216.204101808, 8216.204101808, 8216.204101808, 8216.204101808
"01/11/2008", 8073.9724991306, 8073.9724991306, 8073.9724991306, 8073.9724991306, 8073.9724991306, 8073.9724991306
"01/12/2008", 8415.0959796431, 8415.0959796431, 8415.0959796431, 8415.0959796431, 8415.0959796431, 8415.0959796431
"01/01/2009", 8707.5150127486, 8707.5150127486, 8707.5150127486, 8707.5150127486, 8707.5150127486, 8707.5150127486
"01/02/2009", 8604.5528594803, 8604.5528594803, 8604.5528594803, 8604.5528594803, 8604.5528594803, 8604.5528594803
"01/03/2009", 8581.0472311684, 8581.0472311684, 8581.0472311684, 8581.0472311684, 8581.0472311684, 8581.0472311684
"01/04/2009", 9155.4879163042, 9155.4879163042, 9155.4879163042, 9155.4879163042, 9155.4879163042, 9155.4879163042
"01/05/2009", 9297.0508008098, 9297.0508008098, 9297.0508008098, 9297.0508008098, 9297.0508008098, 9297.0508008098
"01/06/2009", 9441.1380169668, 9441.1380169668, 9441.1380169668, 9441.1380169668, 9441.1380169668, 9441.1380169668
"01/07/2009", 9960.4442901624, 9960.4442901624, 9960.4442901624, 9960.4442901624, 9960.4442901624, 9960.4442901624
"01/08/2009", 11931.1024433172, 11931.1024433172, 11931.1024433172, 11931.1024433172, 11931.1024433172, 11931.1024433172
"01/09/2009", 12515.9091218766, 12515.9091218766, 12515.9091218766, 12515.9091218766, 12515.9091218766, 12515.9091218766
"01/10/2009", 12419.0649073406, 12419.0649073406, 12419.0649073406, 12419.0649073406, 12419.0649073406, 12419.0649073406
"01/11/2009", 12999.0179378762, 12999.0179378762, 12999.0179378762, 12999.0179378762, 12999.0179378762, 12999.0179378762
"01/12/2009", 13521.6603460702, 13521.6603460702, 13521.6603460702, 13521.6603460702, 13521.6603460702, 13521.6603460702
"01/01/2010", 13588.8971005319, 13588.8971005319, 13588.8971005319, 13588.8971005319, 13588.8971005319, 13588.8971005319
"01/02/2010", 14315.7235576894, 14315.7235576894, 14315.7235576894, 14315.7235576894, 14315.7235576894, 14315.7235576894
"01/03/2010", 14876.098995381, 14876.098995381, 14876.098995381, 14876.098995381, 14876.098995381, 14876.098995381
"01/04/2010", 14468.6023071212, 14468.6023071212, 14468.6023071212, 14468.6023071212, 14468.6023071212, 14468.6023071212
"01/05/2010", 13364.4191780829, 13364.4191780829, 13364.4191780829, 13364.4191780829, 13364.4191780829, 13364.4191780829
"01/06/2010", 13780.9969807577, 13780.9969807577, 13780.9969807577, 13780.9969807577, 13780.9969807577, 13780.9969807577
"01/07/2010", 14317.4050030923, 14317.4050030923, 14317.4050030923, 14317.4050030923, 14317.4050030923, 14317.4050030923
"01/08/2010", 14553.526788392, 14553.526788392, 14553.526788392, 14553.526788392, 14553.526788392, 14553.526788392
"01/09/2010", 14770.8180167269, 14770.8180167269, 14770.8180167269, 14770.8180167269, 14770.8180167269, 14770.8180167269
"01/10/2010", 15340.7015251289, 15340.7015251289, 15340.7015251289, 15340.7015251289, 15340.7015251289, 15340.7015251289
"01/11/2010", 15580.1185406644, 15580.1185406644, 15580.1185406644, 15580.1185406644, 15580.1185406644, 15580.1185406644
"01/12/2010", 16144.890890409, 16144.890890409, 16144.890890409, 16144.890890409, 16144.890890409, 16144.890890409
"01/01/2011", 16828.2462645188, 16828.2462645188, 16828.2462645188, 16828.2462645188, 16828.2462645188, 16828.2462645188
"01/02/2011", 20148.0693588324, 20148.0693588324, 20148.0693588324, 20148.0693588324, 20148.0693588324, 20148.0693588324
"01/03/2011", 19380.3301869914, 19380.3301869914, 19380.3301869914, 19380.3301869914, 19380.3301869914, 19380.3301869914
"01/04/2011", 17330.9171043289, 17330.9171043289, 17330.9171043289, 17330.9171043289, 17330.9171043289, 17330.9171043289
"01/05/2011", 17351.2211549204, 17351.2211549204, 17351.2211549204, 17351.2211549204, 17351.2211549204, 17351.2211549204
