@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/2008", 5911.6763219016, 5911.6763219016, 5911.6763219016, 5911.6763219016, 5911.6763219016, 5911.6763219016
"01/02/2008", 5962.7702330796, 5962.7702330796, 5962.7702330796, 5962.7702330796, 5962.7702330796, 5962.7702330796
"01/03/2008", 6145.3623027995, 6145.3623027995, 6145.3623027995, 6145.3623027995, 6145.3623027995, 6145.3623027995
"01/04/2008", 6261.189746548, 6261.189746548, 6261.189746548, 6261.189746548, 6261.189746548, 6261.189746548
"01/05/2008", 6370.6952536951, 6370.6952536951, 6370.6952536951, 6370.6952536951, 6370.6952536951, 6370.6952536951
"01/06/2008", 6435.1780952584, 6435.1780952584, 6435.1780952584, 6435.1780952584, 6435.1780952584, 6435.1780952584
"01/07/2008", 6483.5247812117, 6483.5247812117, 6483.5247812117, 6483.5247812117, 6483.5247812117, 6483.5247812117
"01/08/2008", 6427.8392006153, 6427.8392006153, 6427.8392006153, 6427.8392006153, 6427.8392006153, 6427.8392006153
"01/09/2008", 6596.1140652996, 6596.1140652996, 6596.1140652996, 6596.1140652996, 6596.1140652996, 6596.1140652996
"01/10/2008", 6689.5593513436, 6689.5593513436, 6689.5593513436, 6689.5593513436, 6689.5593513436, 6689.5593513436
"01/11/2008", 6836.1722907225, 6836.1722907225, 6836.1722907225, 6836.1722907225, 6836.1722907225, 6836.1722907225
"01/12/2008", 6947.8661996992, 6947.8661996992, 6947.8661996992, 6947.8661996992, 6947.8661996992, 6947.8661996992
"01/01/2009", 7027.5845546412, 7027.5845546412, 7027.5845546412, 7027.5845546412, 7027.5845546412, 7027.5845546412
"01/02/2009", 7055.6615910715, 7055.6615910715, 7055.6615910715, 7055.6615910715, 7055.6615910715, 7055.6615910715
"01/03/2009", 7277.5700406087, 7277.5700406087, 7277.5700406087, 7277.5700406087, 7277.5700406087, 7277.5700406087
"01/04/2009", 7865.8375242296, 7865.8375242296, 7865.8375242296, 7865.8375242296, 7865.8375242296, 7865.8375242296
"01/05/2009", 8187.6611452099, 8187.6611452099, 8187.6611452099, 8187.6611452099, 8187.6611452099, 8187.6611452099
"01/06/2009", 8264.6401851419, 8264.6401851419, 8264.6401851419, 8264.6401851419, 8264.6401851419, 8264.6401851419
"01/07/2009", 8355.0635029846, 8355.0635029846, 8355.0635029846, 8355.0635029846, 8355.0635029846, 8355.0635029846
"01/08/2009", 8528.9309676777, 8528.9309676777, 8528.9309676777, 8528.9309676777, 8528.9309676777, 8528.9309676777
"01/09/2009", 8693.829868804, 8693.829868804, 8693.829868804, 8693.829868804, 8693.829868804, 8693.829868804
"01/10/2009", 8844.2960487145, 8844.2960487145, 8844.2960487145, 8844.2960487145, 8844.2960487145, 8844.2960487145
"01/11/2009", 9183.1008793731, 9183.1008793731, 9183.1008793731, 9183.1008793731, 9183.1008793731, 9183.1008793731
"01/12/2009", 9332.3484588446, 9332.3484588446, 9332.3484588446, 9332.3484588446, 9332.3484588446, 9332.3484588446
"01/01/2010", 9442.0197359559, 9442.0197359559, 9442.0197359559, 9442.0197359559, 9442.0197359559, 9442.0197359559
"01/02/2010", 9646.9704467961, 9646.9704467961, 9646.9704467961, 9646.9704467961, 9646.9704467961, 9646.9704467961
"01/03/2010", 9856.7737349547, 9856.7737349547, 9856.7737349547, 9856.7737349547, 9856.7737349547, 9856.7737349547
"01/04/2010", 10031.2118827267, 10031.2118827267, 10031.2118827267, 10031.2118827267, 10031.2118827267, 10031.2118827267
"01/05/2010", 10101.042430639, 10101.042430639, 10101.042430639, 10101.042430639, 10101.042430639, 10101.042430639
"01/06/2010", 9987.8037494061, 9987.8037494061, 9987.8037494061, 9987.8037494061, 9987.8037494061, 9987.8037494061
"01/07/2010", 9793.8621661271, 9793.8621661271, 9793.8621661271, 9793.8621661271, 9793.8621661271, 9793.8621661271
"01/08/2010", 10273.299413282, 10273.299413282, 10273.299413282, 10273.299413282, 10273.299413282, 10273.299413282
"01/09/2010", 10462.6602065865, 10462.6602065865, 10462.6602065865, 10462.6602065865, 10462.6602065865, 10462.6602065865
"01/10/2010", 10183.5602253204, 10183.5602253204, 10183.5602253204, 10183.5602253204, 10183.5602253204, 10183.5602253204
"01/11/2010", 10095.5623434932, 10095.5623434932, 10095.5623434932, 10095.5623434932, 10095.5623434932, 10095.5623434932
"01/12/2010", 10028.2473226159, 10028.2473226159, 10028.2473226159, 10028.2473226159, 10028.2473226159, 10028.2473226159
"01/01/2011", 10077.9845823144, 10077.9845823144, 10077.9845823144, 10077.9845823144, 10077.9845823144, 10077.9845823144
"01/02/2011", 10678.658729316, 10678.658729316, 10678.658729316, 10678.658729316, 10678.658729316, 10678.658729316
"01/03/2011", 10866.174900514, 10866.174900514, 10866.174900514, 10866.174900514, 10866.174900514, 10866.174900514
"01/04/2011", 10911.9578240325, 10911.9578240325, 10911.9578240325, 10911.9578240325, 10911.9578240325, 10911.9578240325
"01/05/2011", 11197.1720387028, 11197.1720387028, 11197.1720387028, 11197.1720387028, 11197.1720387028, 11197.1720387028
