@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/2008", 4061.6860994038, 4061.6860994038, 4061.6860994038, 4061.6860994038, 4061.6860994038, 4061.6860994038
"01/02/2008", 4111.885005887, 4111.885005887, 4111.885005887, 4111.885005887, 4111.885005887, 4111.885005887
"01/03/2008", 4290.2760039629, 4290.2760039629, 4290.2760039629, 4290.2760039629, 4290.2760039629, 4290.2760039629
"01/04/2008", 4375.4087033766, 4375.4087033766, 4375.4087033766, 4375.4087033766, 4375.4087033766, 4375.4087033766
"01/05/2008", 4624.4689149222, 4624.4689149222, 4624.4689149222, 4624.4689149222, 4624.4689149222, 4624.4689149222
"01/06/2008", 4658.5557762393, 4658.5557762393, 4658.5557762393, 4658.5557762393, 4658.5557762393, 4658.5557762393
"01/07/2008", 4759.3391116636, 4759.3391116636, 4759.3391116636, 4759.3391116636, 4759.3391116636, 4759.3391116636
"01/08/2008", 4703.2384327603, 4703.2384327603, 4703.2384327603, 4703.2384327603, 4703.2384327603, 4703.2384327603
"01/09/2008", 4659.2954828923, 4659.2954828923, 4659.2954828923, 4659.2954828923, 4659.2954828923, 4659.2954828923
"01/10/2008", 4960.0412034291, 4960.0412034291, 4960.0412034291, 4960.0412034291, 4960.0412034291, 4960.0412034291
"01/11/2008", 4708.9399862302, 4708.9399862302, 4708.9399862302, 4708.9399862302, 4708.9399862302, 4708.9399862302
"01/12/2008", 5139.0870318939, 5139.0870318939, 5139.0870318939, 5139.0870318939, 5139.0870318939, 5139.0870318939
"01/01/2009", 5348.6674460012, 5348.6674460012, 5348.6674460012, 5348.6674460012, 5348.6674460012, 5348.6674460012
"01/02/2009", 5269.8651273582, 5269.8651273582, 5269.8651273582, 5269.8651273582, 5269.8651273582, 5269.8651273582
"01/03/2009", 5570.0836238216, 5570.0836238216, 5570.0836238216, 5570.0836238216, 5570.0836238216, 5570.0836238216
"01/04/2009", 5655.9110224601, 5655.9110224601, 5655.9110224601, 5655.9110224601, 5655.9110224601, 5655.9110224601
"01/05/2009", 5699.4864183614, 5699.4864183614, 5699.4864183614, 5699.4864183614, 5699.4864183614, 5699.4864183614
"01/06/2009", 5877.5306569964, 5877.5306569964, 5877.5306569964, 5877.5306569964, 5877.5306569964, 5877.5306569964
"01/07/2009", 6046.4466479947, 6046.4466479947, 6046.4466479947, 6046.4466479947, 6046.4466479947, 6046.4466479947
"01/08/2009", 6129.1728246235, 6129.1728246235, 6129.1728246235, 6129.1728246235, 6129.1728246235, 6129.1728246235
"01/09/2009", 6324.1419657182, 6324.1419657182, 6324.1419657182, 6324.1419657182, 6324.1419657182, 6324.1419657182
"01/10/2009", 6451.8336019676, 6451.8336019676, 6451.8336019676, 6451.8336019676, 6451.8336019676, 6451.8336019676
"01/11/2009", 6435.1394290545, 6435.1394290545, 6435.1394290545, 6435.1394290545, 6435.1394290545, 6435.1394290545
"01/12/2009", 6731.6064428177, 6731.6064428177, 6731.6064428177, 6731.6064428177, 6731.6064428177, 6731.6064428177
"01/01/2010", 6625.9470236862, 6625.9470236862, 6625.9470236862, 6625.9470236862, 6625.9470236862, 6625.9470236862
"01/02/2010", 7060.2059086216, 7060.2059086216, 7060.2059086216, 7060.2059086216, 7060.2059086216, 7060.2059086216
"01/03/2010", 7330.1285395408, 7330.1285395408, 7330.1285395408, 7330.1285395408, 7330.1285395408, 7330.1285395408
"01/04/2010", 7403.3734438749, 7403.3734438749, 7403.3734438749, 7403.3734438749, 7403.3734438749, 7403.3734438749
"01/05/2010", 7666.1746847274, 7666.1746847274, 7666.1746847274, 7666.1746847274, 7666.1746847274, 7666.1746847274
"01/06/2010", 7623.3798082332, 7623.3798082332, 7623.3798082332, 7623.3798082332, 7623.3798082332, 7623.3798082332
"01/07/2010", 7616.2431135716, 7616.2431135716, 7616.2431135716, 7616.2431135716, 7616.2431135716, 7616.2431135716
"01/08/2010", 7790.6073818926, 7790.6073818926, 7790.6073818926, 7790.6073818926, 7790.6073818926, 7790.6073818926
"01/09/2010", 7982.115746856, 7982.115746856, 7982.115746856, 7982.115746856, 7982.115746856, 7982.115746856
"01/10/2010", 8607.0835365205, 8607.0835365205, 8607.0835365205, 8607.0835365205, 8607.0835365205, 8607.0835365205
"01/11/2010", 9221.0462377048, 9221.0462377048, 9221.0462377048, 9221.0462377048, 9221.0462377048, 9221.0462377048
"01/12/2010", 9652.0413313811, 9652.0413313811, 9652.0413313811, 9652.0413313811, 9652.0413313811, 9652.0413313811
"01/01/2011", 9984.828672938, 9984.828672938, 9984.828672938, 9984.828672938, 9984.828672938, 9984.828672938
"01/02/2011", 10976.403149102, 10976.403149102, 10976.403149102, 10976.403149102, 10976.403149102, 10976.403149102
"01/03/2011", 11226.5054516304, 11226.5054516304, 11226.5054516304, 11226.5054516304, 11226.5054516304, 11226.5054516304
"01/04/2011", 10514.8596941818, 10514.8596941818, 10514.8596941818, 10514.8596941818, 10514.8596941818, 10514.8596941818
"01/05/2011", 10797.3988655677, 10797.3988655677, 10797.3988655677, 10797.3988655677, 10797.3988655677, 10797.3988655677
