@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/1980", 7564.886664586, 7564.886664586, 7564.886664586, 7564.886664586, 7564.886664586, 7564.886664586
"01/01/1981", 7065.9360875879, 7065.9360875879, 7065.9360875879, 7065.9360875879, 7065.9360875879, 7065.9360875879
"01/01/1982", 6944.504812778, 6944.504812778, 6944.504812778, 6944.504812778, 6944.504812778, 6944.504812778
"01/01/1983", 6557.0458038509, 6557.0458038509, 6557.0458038509, 6557.0458038509, 6557.0458038509, 6557.0458038509
"01/01/1984", 6752.004351277, 6752.004351277, 6752.004351277, 6752.004351277, 6752.004351277, 6752.004351277
"01/01/1985", 7135.5532030898, 7135.5532030898, 7135.5532030898, 7135.5532030898, 7135.5532030898, 7135.5532030898
"01/01/1986", 7550.3489564106, 7550.3489564106, 7550.3489564106, 7550.3489564106, 7550.3489564106, 7550.3489564106
"01/01/1987", 7670.7185127477, 7670.7185127477, 7670.7185127477, 7670.7185127477, 7670.7185127477, 7670.7185127477
"01/01/1988", 7520.4105957373, 7520.4105957373, 7520.4105957373, 7520.4105957373, 7520.4105957373, 7520.4105957373
"01/01/1989", 7628.3616490011, 7628.3616490011, 7628.3616490011, 7628.3616490011, 7628.3616490011, 7628.3616490011
"01/01/1990", 7174.9844926708, 7174.9844926708, 7174.9844926708, 7174.9844926708, 7174.9844926708, 7174.9844926708
"01/01/1991", 7163.5531606848, 7163.5531606848, 7163.5531606848, 7163.5531606848, 7163.5531606848, 7163.5531606848
"01/01/1992", 7017.3668788027, 7017.3668788027, 7017.3668788027, 7017.3668788027, 7017.3668788027, 7017.3668788027
"01/01/1993", 7231.8544022505, 7231.8544022505, 7231.8544022505, 7231.8544022505, 7231.8544022505, 7231.8544022505
"01/01/1994", 7501.9161563443, 7501.9161563443, 7501.9161563443, 7501.9161563443, 7501.9161563443, 7501.9161563443
"01/01/1995", 7714.3346860681, 7714.3346860681, 7714.3346860681, 7714.3346860681, 7714.3346860681, 7714.3346860681
"01/01/1996", 7760.2777098492, 7760.2777098492, 7760.2777098492, 7760.2777098492, 7760.2777098492, 7760.2777098492
"01/01/1997", 7900.4485919174, 7900.4485919174, 7900.4485919174, 7900.4485919174, 7900.4485919174, 7900.4485919174
"01/01/1998", 7784.4813330359, 7784.4813330359, 7784.4813330359, 7784.4813330359, 7784.4813330359, 7784.4813330359
"01/01/1999", 7689.4033577537, 7689.4033577537, 7689.4033577537, 7689.4033577537, 7689.4033577537, 7689.4033577537
"01/01/2000", 7905.653299515, 7905.653299515, 7905.653299515, 7905.653299515, 7905.653299515, 7905.653299515
"01/01/2001", 7898.1148265781, 7898.1148265781, 7898.1148265781, 7898.1148265781, 7898.1148265781, 7898.1148265781
"01/01/2002", 7998.2608976552, 7998.2608976552, 7998.2608976552, 7998.2608976552, 7998.2608976552, 7998.2608976552
"01/01/2003", 7984.9716060476, 7984.9716060476, 7984.9716060476, 7984.9716060476, 7984.9716060476, 7984.9716060476
"01/01/2004", 8337.6741553192, 8337.6741553192, 8337.6741553192, 8337.6741553192, 8337.6741553192, 8337.6741553192
"01/01/2005", 8502.3244297967, 8502.3244297967, 8502.3244297967, 8502.3244297967, 8502.3244297967, 8502.3244297967
"01/01/2006", 8745.0458322893, 8745.0458322893, 8745.0458322893, 8745.0458322893, 8745.0458322893, 8745.0458322893
"01/01/2007", 9187.1370955951, 9187.1370955951, 9187.1370955951, 9187.1370955951, 9187.1370955951, 9187.1370955951
"01/01/2008", 9572.9377825425, 9572.9377825425, 9572.9377825425, 9572.9377825425, 9572.9377825425, 9572.9377825425
"01/01/2009", 9456.433289557, 9456.433289557, 9456.433289557, 9456.433289557, 9456.433289557, 9456.433289557
"01/01/2010", 10079.2867521586, 10079.2867521586, 10079.2867521586, 10079.2867521586, 10079.2867521586, 10079.2867521586
"01/01/2011", 10264.0060173141, 10264.0060173141, 10264.0060173141, 10264.0060173141, 10264.0060173141, 10264.0060173141
"01/01/2012", 10263.8915235177, 10263.8915235177, 10263.8915235177, 10263.8915235177, 10263.8915235177, 10263.8915235177
