@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/1870", 9797000, 9797000, 9797000, 9797000, 9797000, 9797000
"01/01/1871", 9980000, 9980000, 9980000, 9980000, 9980000, 9980000
"01/01/1872", 10167000, 10167000, 10167000, 10167000, 10167000, 10167000
"01/01/1873", 10358000, 10358000, 10358000, 10358000, 10358000, 10358000
"01/01/1874", 10552000, 10552000, 10552000, 10552000, 10552000, 10552000
"01/01/1875", 10749000, 10749000, 10749000, 10749000, 10749000, 10749000
"01/01/1876", 10951000, 10951000, 10951000, 10951000, 10951000, 10951000
"01/01/1877", 11156000, 11156000, 11156000, 11156000, 11156000, 11156000
"01/01/1878", 11365000, 11365000, 11365000, 11365000, 11365000, 11365000
"01/01/1879", 11578000, 11578000, 11578000, 11578000, 11578000, 11578000
"01/01/1880", 11794000, 11794000, 11794000, 11794000, 11794000, 11794000
"01/01/1881", 12015000, 12015000, 12015000, 12015000, 12015000, 12015000
"01/01/1882", 12240000, 12240000, 12240000, 12240000, 12240000, 12240000
"01/01/1883", 12470000, 12470000, 12470000, 12470000, 12470000, 12470000
"01/01/1884", 12703000, 12703000, 12703000, 12703000, 12703000, 12703000
"01/01/1885", 12941000, 12941000, 12941000, 12941000, 12941000, 12941000
"01/01/1886", 13183000, 13183000, 13183000, 13183000, 13183000, 13183000
"01/01/1887", 13430000, 13430000, 13430000, 13430000, 13430000, 13430000
"01/01/1888", 13682000, 13682000, 13682000, 13682000, 13682000, 13682000
"01/01/1889", 13938000, 13938000, 13938000, 13938000, 13938000, 13938000
"01/01/1890", 14199000, 14199000, 14199000, 14199000, 14199000, 14199000
"01/01/1891", 14539000, 14539000, 14539000, 14539000, 14539000, 14539000
"01/01/1892", 14886000, 14886000, 14886000, 14886000, 14886000, 14886000
"01/01/1893", 15242000, 15242000, 15242000, 15242000, 15242000, 15242000
"01/01/1894", 15607000, 15607000, 15607000, 15607000, 15607000, 15607000
"01/01/1895", 15980000, 15980000, 15980000, 15980000, 15980000, 15980000
"01/01/1896", 16362000, 16362000, 16362000, 16362000, 16362000, 16362000
"01/01/1897", 16753000, 16753000, 16753000, 16753000, 16753000, 16753000
"01/01/1898", 17154000, 17154000, 17154000, 17154000, 17154000, 17154000
"01/01/1899", 17564000, 17564000, 17564000, 17564000, 17564000, 17564000
"01/01/1899", 17984000, 17984000, 17984000, 17984000, 17984000, 17984000
"01/01/1901", 18392000, 18392000, 18392000, 18392000, 18392000, 18392000
"01/01/1902", 18782000, 18782000, 18782000, 18782000, 18782000, 18782000
"01/01/1903", 19180000, 19180000, 19180000, 19180000, 19180000, 19180000
"01/01/1904", 19587000, 19587000, 19587000, 19587000, 19587000, 19587000
"01/01/1905", 20003000, 20003000, 20003000, 20003000, 20003000, 20003000
"01/01/1906", 20427000, 20427000, 20427000, 20427000, 20427000, 20427000
"01/01/1907", 20860000, 20860000, 20860000, 20860000, 20860000, 20860000
"01/01/1908", 21303000, 21303000, 21303000, 21303000, 21303000, 21303000
"01/01/1909", 21754000, 21754000, 21754000, 21754000, 21754000, 21754000
"01/01/1910", 22216000, 22216000, 22216000, 22216000, 22216000, 22216000
"01/01/1911", 22687000, 22687000, 22687000, 22687000, 22687000, 22687000
"01/01/1912", 23168000, 23168000, 23168000, 23168000, 23168000, 23168000
"01/01/1913", 23660000, 23660000, 23660000, 23660000, 23660000, 23660000
"01/01/1914", 24161000, 24161000, 24161000, 24161000, 24161000, 24161000
"01/01/1915", 24674000, 24674000, 24674000, 24674000, 24674000, 24674000
"01/01/1916", 25197000, 25197000, 25197000, 25197000, 25197000, 25197000
"01/01/1917", 25732000, 25732000, 25732000, 25732000, 25732000, 25732000
"01/01/1918", 26277000, 26277000, 26277000, 26277000, 26277000, 26277000
"01/01/1919", 26835000, 26835000, 26835000, 26835000, 26835000, 26835000
"01/01/1920", 27404000, 27404000, 27404000, 27404000, 27404000, 27404000
"01/01/1921", 27969000, 27969000, 27969000, 27969000, 27969000, 27969000
"01/01/1922", 28542000, 28542000, 28542000, 28542000, 28542000, 28542000
"01/01/1923", 29126000, 29126000, 29126000, 29126000, 29126000, 29126000
"01/01/1924", 29723000, 29723000, 29723000, 29723000, 29723000, 29723000
"01/01/1925", 30332000, 30332000, 30332000, 30332000, 30332000, 30332000
"01/01/1926", 30953000, 30953000, 30953000, 30953000, 30953000, 30953000
"01/01/1927", 31587000, 31587000, 31587000, 31587000, 31587000, 31587000
"01/01/1928", 32234000, 32234000, 32234000, 32234000, 32234000, 32234000
"01/01/1929", 32894000, 32894000, 32894000, 32894000, 32894000, 32894000
"01/01/1930", 33568000, 33568000, 33568000, 33568000, 33568000, 33568000
"01/01/1931", 34256000, 34256000, 34256000, 34256000, 34256000, 34256000
"01/01/1932", 34957000, 34957000, 34957000, 34957000, 34957000, 34957000
"01/01/1933", 35673000, 35673000, 35673000, 35673000, 35673000, 35673000
"01/01/1934", 36404000, 36404000, 36404000, 36404000, 36404000, 36404000
"01/01/1935", 37150000, 37150000, 37150000, 37150000, 37150000, 37150000
"01/01/1936", 37911000, 37911000, 37911000, 37911000, 37911000, 37911000
"01/01/1937", 38687000, 38687000, 38687000, 38687000, 38687000, 38687000
"01/01/1938", 39480000, 39480000, 39480000, 39480000, 39480000, 39480000
