@relation TimeSeriesData

@attribute date date "dd/MM/yyyy"
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute adjClose numeric

@data
"01/01/1949", 20.6, 20.6, 20.6, 20.6, 20.6, 20.6
"01/02/1949", 20.7, 20.7, 20.7, 20.7, 20.7, 20.7
"01/03/1949", 22.2, 22.2, 22.2, 22.2, 22.2, 22.2
"01/04/1949", 19.8, 19.8, 19.8, 19.8, 19.8, 19.8
"01/05/1949", 18, 18, 18, 18, 18, 18
"01/06/1949", 18.1, 18.1, 18.1, 18.1, 18.1, 18.1
"01/07/1949", 16.9, 16.9, 16.9, 16.9, 16.9, 16.9
"01/08/1949", 18, 18, 18, 18, 18, 18
"01/09/1949", 18.55, 18.55, 18.55, 18.55, 18.55, 18.55
"01/10/1949", 19.1, 19.1, 19.1, 19.1, 19.1, 19.1
"01/11/1949", 20.9, 20.9, 20.9, 20.9, 20.9, 20.9
"01/12/1949", 21.8, 21.8, 21.8, 21.8, 21.8, 21.8
"01/01/1950", 21.8, 21.8, 21.8, 21.8, 21.8, 21.8
"01/02/1950", 22.4, 22.4, 22.4, 22.4, 22.4, 22.4
"01/03/1950", 21.7, 21.7, 21.7, 21.7, 21.7, 21.7
"01/04/1950", 20.8, 20.8, 20.8, 20.8, 20.8, 20.8
"01/05/1950", 17.6, 17.6, 17.6, 17.6, 17.6, 17.6
"01/06/1950", 17.35, 17.35, 17.35, 17.35, 17.35, 17.35
"01/07/1950", 17.1, 17.1, 17.1, 17.1, 17.1, 17.1
"01/08/1950", 19.1, 19.1, 19.1, 19.1, 19.1, 19.1
"01/09/1950", 19.1, 19.1, 19.1, 19.1, 19.1, 19.1
"01/10/1950", 19.95, 19.95, 19.95, 19.95, 19.95, 19.95
"01/11/1950", 20.8, 20.8, 20.8, 20.8, 20.8, 20.8
"01/12/1950", 21.3, 21.3, 21.3, 21.3, 21.3, 21.3
"01/01/1951", 21.8, 21.8, 21.8, 21.8, 21.8, 21.8
"01/02/1951", 21.2, 21.2, 21.2, 21.2, 21.2, 21.2
"01/03/1951", 22.6, 22.6, 22.6, 22.6, 22.6, 22.6
"01/04/1951", 19.1, 19.1, 19.1, 19.1, 19.1, 19.1
"01/05/1951", 18.9, 18.9, 18.9, 18.9, 18.9, 18.9
"01/06/1951", 16.6, 16.6, 16.6, 16.6, 16.6, 16.6
"01/07/1951", 16.5, 16.5, 16.5, 16.5, 16.5, 16.5
"01/08/1951", 18.2, 18.2, 18.2, 18.2, 18.2, 18.2
"01/09/1951", 22, 22, 22, 22, 22, 22
"01/10/1951", 22.9, 22.9, 22.9, 22.9, 22.9, 22.9
"01/11/1951", 21.9, 21.9, 21.9, 21.9, 21.9, 21.9
"01/12/1951", 20.9, 20.9, 20.9, 20.9, 20.9, 20.9
"01/01/1952", 22.1, 22.1, 22.1, 22.1, 22.1, 22.1
"01/02/1952", 22.3, 22.3, 22.3, 22.3, 22.3, 22.3
"01/03/1952", 21.1, 21.1, 21.1, 21.1, 21.1, 21.1
"01/04/1952", 21, 21, 21, 21, 21, 21
"01/05/1952", 18.3, 18.3, 18.3, 18.3, 18.3, 18.3
"01/06/1952", 18.5, 18.5, 18.5, 18.5, 18.5, 18.5
"01/07/1952", 18, 18, 18, 18, 18, 18
